iteration,start,end
1,0,5298
2,898,7480
3,1785,8896
4,2672,13314
5,3482,14469
6,4208,15843
7,4925,17115
8,5728,18164
9,6622,22932
10,7521,24175
11,8247,25614
12,8945,26826
13,9661,28507
14,10470,30765
15,11374,32035
16,12347,33419
17,13162,34920
18,13930,37762
19,14638,39928
20,15455,41252
21,16368,43052
22,17212,44250
23,17922,46493
24,18618,48475
25,19321,50726
26,20140,52307
27,21031,54305
28,21910,56672
29,22686,57967
30,23397,60165
31,24122,62503
32,24924,64498
33,25817,65640
34,26575,67393
35,27040,70925
36,27560,71953
37,28277,72947
38,29046,74918
39,29749,77447
40,30367,79350
41,30961,81631
42,31533,82834
43,32032,84523
44,32606,86440
45,33223,88410
46,33808,89406
47,34368,91318
48,34850,92776
49,35353,93806
50,35925,95213
51,36542,96543
52,37144,98473
53,37758,100524
54,38306,101686
55,38793,102630
56,39370,103587
57,39995,104845
58,40626,106068
59,41169,107970
60,41676,109527
61,42174,110608
62,42745,111819
63,43355,113061
64,43974,114988
65,44578,116959
66,45163,118125
67,45636,119074
68,46190,120035
69,46768,121249
70,47367,122479
71,47974,124358
72,48428,125982
73,48908,127059
74,49538,128295
75,50143,129508
76,50728,131416
77,51336,133392
78,51893,134572
79,52355,135551
80,52901,136515
81,53497,137689
82,54080,138860
83,54643,140771
84,55131,142353
85,55619,143371
86,56431,144618
87,57049,145859
88,57625,147742
89,58220,149119
90,58804,150360
91,59332,151585
92,59884,152876
93,60487,154054
94,61085,155269
95,61708,157176
96,62224,158716
97,62724,159748
98,63359,160994
99,63988,162208
100,64583,163776
101,65173,165526
102,65751,166807
103,66219,168484
104,66790,169483
105,67361,170673
106,67942,171982
107,68481,173926
108,68934,175392
109,69382,176546
110,69930,177824
111,70509,179024
112,71106,180572
113,71681,182236
114,72279,183413
115,72730,185105
116,73274,186073
117,73850,187167
118,74432,188371
119,75002,190286
120,75459,191877
121,75941,192969
122,76520,194187
123,77120,195373
124,77745,197003
125,78568,198724
126,79268,199992
127,79830,201572
128,80546,202569
129,81156,203817
130,81795,205150
131,82354,207128
132,82817,208783
133,83283,209896
134,83842,211187
135,84419,212460
136,85005,214149
137,85597,215877
138,86166,217246
139,86616,219885
140,87219,220887
141,87802,221878
142,88364,222864
143,89110,224386
144,90770,226125
145,92356,227463
146,93728,228767
147,95209,230085
148,96582,231774
149,98049,234099
150,99758,235359
151,100975,237288
152,102827,238325
153,103579,239468
154,104751,240897
155,106134,243008
156,107538,245149
157,109251,246254
158,110569,247287
159,111796,248579
160,112965,250765
161,114538,252766
162,116211,254071
163,117418,255983
164,119356,257028
165,119999,258153
166,121159,259516
167,122513,261603
168,123930,263636
169,125687,264709
170,126994,265746
171,128230,267093
172,129422,269237
173,130963,270794
174,132614,272009
175,133837,274253
176,135712,275341
177,136406,276421
178,137598,277680
179,138909,279811
180,140291,281465
181,142021,282816
182,143340,284183
183,144583,285513
184,145772,287682
185,147327,289223
186,150574,290407
187,151058,292656
188,151613,293699
189,152908,294749
190,154022,296002
191,155337,298038
192,156709,299753
193,158412,301119
194,159726,302520
195,160921,303860
196,162137,306147
197,163698,307656
198,166710,308952
199,167192,311242
200,168067,312335
201,169337,313404
202,170606,314630
203,171971,316953
204,173405,318415
205,175145,319899
206,176505,321403
207,177744,322796
208,178966,325163
209,180484,326650
210,183521,327952
211,184023,330217
212,184723,331316
213,185922,332417
214,187068,333764
215,188433,336001
216,189789,337614
217,191566,339056
218,192888,340509
219,194127,341940
220,195329,344234
221,196877,345767
222,199930,347135
223,200396,349425
224,201171,350526
225,202481,351638
226,203724,353077
227,205114,354603
228,206625,356563
229,208380,357677
230,209794,359078
231,211092,360545
232,212354,362967
233,213976,364469
234,217033,365815
235,217497,368092
236,218462,369218
237,219716,370352
238,220993,371883
239,222411,373474
240,224027,375436
241,225953,376577
242,227357,377967
243,228669,379430
244,229951,381872
245,231614,383367
246,233750,384697
247,235167,387106
248,236642,388248
249,238014,389368
250,239355,390750
251,240810,392363
252,242409,394164
253,244295,395268
254,245735,396604
255,247123,398020
256,248461,400351
257,250162,401809
258,252367,403083
