iteration,start,end
1,0,10942
2,770,21624
3,1479,31048
4,2160,40185
5,2832,49296
6,3521,58447
7,4190,67681
8,4875,76938
9,5557,86329
10,6234,96257
11,6903,105548
12,7584,114742
13,8265,123936
14,8968,133124
15,9640,142317
16,10317,151498
17,11008,160672
18,11729,169878
19,12399,179131
20,13132,188381
21,13812,197635
22,14507,207543
23,15205,216844
24,15894,225817
25,16609,234643
26,17327,243523
27,18047,252284
28,18726,261086
29,19452,269889
30,20154,278680
31,20878,287530
32,21558,296311
33,22236,305101
34,22909,314374
35,23350,323163
36,23819,331976
37,31706,340697
38,40787,349381
39,49864,358066
40,59043,366780
41,68322,375400
42,77908,384075
43,86944,392650
44,96921,401324
45,106141,409969
46,115311,419189
47,124502,428015
48,133681,436843
49,142890,445611
50,152071,454417
51,161233,463290
52,170448,472135
53,179697,480949
54,188951,489732
55,198204,498545
56,208107,507426
57,217412,516249
58,226390,525584
59,235206,534351
60,244085,543144
61,252844,551944
62,261654,561264
63,270451,570158
64,279244,579066
65,288104,587945
66,296883,596877
67,305641,605750
68,314933,614590
69,323761,623457
70,332545,632899
71,341268,641736
72,349944,650621
73,358626,659485
74,367351,668288
75,375997,677092
76,384628,685921
77,393216,694828
78,401889,703749
79,410511,712606
80,419787,721432
81,428612,730154
82,437408,739492
83,446173,748340
84,454987,757172
85,463885,765972
86,472731,774737
87,481508,783498
88,490290,792253
89,499113,801052
90,508004,809807
91,516785,818590
92,526148,827462
93,534920,836306
94,543745,845681
95,552511,854459
96,561925,863291
97,570750,872166
98,579681,880970
99,588535,889790
100,597443,898677
101,606307,907632
102,615162,916502
103,623997,925419
104,633467,934444
105,642305,943452
106,651193,953015
107,660061,961932
108,668856,970855
109,677665,979808
110,686497,988767
111,695394,997749
112,704315,1006712
113,713181,1015597
114,722001,1024471
115,730690,1033381
116,740053,1042334
117,748905,1051269
118,757740,1060808
119,766544,1069744
120,775302,1078724
121,784055,1087697
122,792822,1096735
123,801617,1105701
124,810369,1114685
125,819162,1123644
126,828020,1132507
127,836843,1141369
128,846238,1150269
129,855025,1159153
130,863918,1169141
131,872718,1178209
132,881526,1187148
133,890360,1196077
134,899237,1205088
135,908197,1214023
136,917067,1222909
137,925980,1231775
138,935020,1240639
139,944019,1249482
140,953578,1258358
141,962496,1267230
142,971431,1276795
143,980363,1285781
144,989330,1294835
145,998321,1303856
146,1007278,1312799
147,1016164,1321765
148,1025038,1330758
