iteration,start,end
1,0,10365
2,760,19943
3,1554,29266
4,2426,38412
5,3238,47122
6,3924,55819
7,4612,64522
8,5282,73251
9,5993,82066
10,6697,91225
11,7366,100399
12,8036,109561
13,8729,118706
14,9403,127873
15,10165,137017
16,11049,146152
17,11870,155288
18,12595,164475
19,13291,173693
20,13974,182769
21,14705,191580
22,15432,200412
23,16152,209230
24,16898,218016
25,17675,226745
26,18365,235514
27,19132,244306
28,20018,253117
29,20881,261888
30,21651,270617
31,22378,279416
32,23129,288228
33,23866,296994
34,24576,305717
35,25029,314490
36,25474,323215
37,29825,331947
38,39013,340650
39,47752,349351
40,56419,358017
41,65095,366597
42,73818,375157
43,82630,383723
44,91789,392347
45,100977,400906
46,110131,409602
47,119275,418356
48,128436,427131
49,137591,435876
50,146716,444756
51,155943,453569
52,165040,462327
53,174257,471139
54,183334,479869
55,192153,488712
56,200979,497473
57,209794,506284
58,218590,515026
59,227313,523834
60,236075,532593
61,244876,541381
62,253680,550138
63,262509,559472
64,271177,568514
65,279986,577286
66,288794,586132
67,297557,594953
68,306279,603824
69,315058,612785
70,323783,621630
71,332553,630425
72,341210,639269
73,349914,648125
74,358589,656930
75,367219,665705
76,375712,674469
77,384322,683277
78,392912,691934
79,401469,700691
80,410159,709748
81,418923,718517
82,427697,727261
83,436477,736068
84,445321,744942
85,454132,753740
86,462902,762477
87,471760,771180
88,480461,779940
89,489284,788704
90,498041,797404
91,506849,806196
92,515584,815036
93,524435,823873
94,533159,832710
95,541951,841514
96,550702,850240
97,560142,859106
98,569345,867922
99,577915,876787
100,586687,885658
101,595532,894544
102,604430,903343
103,613359,912296
104,622195,921221
105,631002,930084
106,639838,938978
107,648708,947774
108,657497,956667
109,666274,965478
110,675050,974330
111,683900,983180
112,692527,992031
113,701263,1000898
114,710330,1009618
115,719088,1018416
116,727822,1027240
117,736703,1036076
118,745508,1044902
119,754317,1053734
120,763035,1062608
121,771750,1071489
122,780540,1080355
123,789324,1089175
124,797965,1098020
125,806769,1106838
126,815606,1115600
127,824486,1124465
128,833258,1133298
129,842075,1142108
130,850810,1150941
131,859668,1160462
132,868515,1169659
133,877344,1178573
134,886231,1187516
135,895164,1196506
136,903911,1205380
137,912859,1214215
138,921796,1223063
139,930652,1231928
140,939536,1240881
141,948382,1249755
142,957235,1258638
143,966043,1267463
144,974889,1276456
145,983754,1285378
146,992629,1294321
147,1001524,1303254
148,1010179,1312237
149,1018986,1321209
150,1027820,1330149
151,1036702,1339106
152,1045467,1348047
153,1054307,1357146
154,1063173,1366075
155,1072075,1375043
156,1080923,1383991
157,1089737,1392922
158,1098589,1401814
159,1107458,1410663
160,1116159,1419592
161,1125032,1428468
162,1133851,1437316
163,1142669,1446179
164,1151493,1455135
165,1161183,1464057
166,1170244,1473002
167,1179145,1481923
168,1188073,1490837
169,1197082,1499813
170,1205950,1508785
171,1214839,1517730
172,1223625,1526708
173,1232533,1535682
174,1241450,1544734
175,1250319,1553676
176,1259198,1562677
177,1268040,1571620
178,1277032,1580610
179,1285946,1589561
180,1294882,1598578
181,1303821,1607568
182,1312807,1616570
183,1321830,1625491
184,1330707,1634414
185,1339675,1643325
186,1348662,1652225
187,1357710,1661159
188,1366654,1670076
189,1375608,1679019
190,1384597,1687986
191,1393483,1696951
192,1402376,1705926
193,1411233,1714868
194,1420158,1723849
195,1429094,1732834
196,1437876,1741807
197,1446747,1750767
198,1455701,1760298
199,1464688,1769666
200,1473551,1778768
201,1482485,1787908
202,1491405,1797086
203,1500419,1806258
204,1509345,1815633
205,1518303,1825704
206,1527277,1835361
207,1536338,1844965
208,1545305,1854273
209,1554236,1863458
210,1563251,1872568
211,1572203,1881675
212,1581169,1890800
213,1590136,1899926
214,1599141,1909009
215,1608134,1918103
216,1617135,1927189
217,1626061,1936312
218,1634982,1945368
219,1643955,1954488
220,1652784,1963598
221,1661732,1972741
222,1670648,1981839
223,1679581,1990824
224,1688582,1999759
225,1697517,2008747
226,1706489,2017709
227,1715432,2026670
228,1724448,2035577
229,1733402,2044515
230,1742369,2053501
231,1751390,2062460
232,1761041,2071388
233,1770314,2080364
234,1779349,2089353
235,1788511,2098338
236,1797660,2107303
237,1807034,2116273
238,2117014,2122453
239,2117603,2124138
240,2118102,2125645
241,2118631,2128780
242,2119090,2130831
243,2119640,2135034
244,2120229,2137026
245,2120867,2138553
246,2121443,2139751
247,2122006,2141040
248,2122592,2142987
249,2123184,2144699
250,2123756,2146218
251,2124215,2148455
252,2124670,2150392
253,2125131,2151881
254,2125592,2154133
255,2126142,2155807
256,2126703,2157901
257,2127301,2160214
258,2127886,2162003
259,2128511,2163106
260,2129253,2165056
261,2129899,2167512
262,2130503,2169403
263,2131041,2170598
264,2131559,2171731
265,2132035,2173216
266,2132495,2174872
267,2133005,2176438
268,2133557,2177966
269,2134109,2180019
270,2134685,2181745
271,2135248,2183214
272,2135846,2184766
273,2136354,2187187
274,2136829,2189112
275,2137287,2190347
276,2137848,2191524
277,2138352,2192882
278,2138914,2194415
279,2139504,2195870
280,2140086,2197414
281,2140657,2199337
282,2141238,2201129
283,2141817,2202641
284,2142394,2204218
285,2142874,2206723
286,2143336,2208724
287,2143816,2209915
288,2144300,2211107
289,2144768,2212476
290,2145347,2214123
291,2145962,2215586
292,2146616,2217191
293,2147295,2219138
294,2147886,2220909
295,2148503,2222364
296,2149019,2223901
297,2149473,2226420
298,2149924,2228388
299,2150412,2229637
300,2150970,2230844
301,2151529,2232114
302,2152028,2233738
303,2152507,2235202
304,2152953,2236775
305,2153405,2238678
306,2153866,2240384
307,2154364,2241851
308,2155065,2243380
309,2155845,2245797
310,2156476,2247782
311,2157163,2249009
312,2157697,2250195
313,2158200,2251579
314,2158686,2253176
315,2159150,2254637
316,2159609,2256145
317,2160054,2258157
318,2160525,2259959
319,2160991,2261438
320,2161530,2263016
321,2162045,2265378
322,2162624,2267410
323,2163192,2268623
324,2163762,2269823
325,2164806,2271196
326,2166593,2272812
327,2168300,2274305
328,2169819,2275873
329,2171315,2277844
330,2172829,2279614
331,2174622,2281127
332,2176098,2282716
333,2177617,2284674
334,2179777,2286656
335,2181431,2287930
336,2182968,2289171
337,2184384,2290453
338,2186301,2292045
339,2187996,2293593
340,2189472,2295187
341,2190991,2297223
342,2192508,2298959
343,2194127,2300437
344,2195520,2302070
345,2196974,2304107
346,2199071,2306098
347,2200790,2307300
348,2202367,2308553
349,2203784,2309725
350,2205801,2311335
351,2207492,2312863
352,2209041,2314460
353,2210569,2316389
354,2212115,2318246
355,2213789,2319722
356,2215201,2321235
357,2216749,2323307
358,2218836,2325273
359,2220527,2326482
360,2222101,2327669
361,2223514,2328820
362,2225516,2330228
363,2227196,2331656
364,2228713,2333192
365,2230238,2335111
366,2231761,2336830
367,2233421,2338354
368,2234846,2339888
369,2236346,2341838
370,2238396,2343791
371,2240076,2345009
372,2241596,2346214
373,2242990,2347441
374,2244930,2349085
375,2246666,2350584
376,2248182,2352081
377,2249691,2354101
378,2251212,2355870
379,2252859,2357312
380,2254258,2359027
381,2255779,2361083
382,2257817,2363161
383,2259605,2364414
384,2261158,2365627
385,2262564,2366930
386,2264547,2368520
387,2266278,2370064
388,2267781,2371620
389,2269309,2373587
390,2270825,2375332
391,2272491,2376872
392,2273918,2378449
393,2275437,2380427
394,2277534,2382348
395,2279244,2383560
396,2280817,2384805
397,2282262,2386081
398,2283782,2387631
399,2285330,2389123
400,2286910,2390736
401,2288459,2392658
402,2290017,2394357
403,2291711,2395808
404,2293161,2397303
405,2294721,2399360
406,2296875,2401273
407,2298572,2402446
408,2300183,2403631
409,2301612,2404789
410,2303164,2406233
411,2304719,2407643
412,2306241,2409118
413,2307778,2410937
414,2309325,2412641
415,2311000,2414082
416,2312444,2415546
417,2314000,2417408
418,2316099,2419292
419,2317853,2420491
420,2319423,2421632
421,2320854,2422742
422,2322359,2423921
423,2323878,2425253
424,2325351,2426727
425,2326839,2428441
426,2328344,2430688
427,2329929,2431992
428,2331310,2433435
429,2332799,2435259
430,2334842,2436922
431,2336528,2438006
432,2338076,2439097
433,2339485,2440193
434,2340975,2441619
435,2342506,2442928
436,2344012,2444254
437,2345531,2446036
438,2347061,2448182
439,2348738,2449520
440,2350168,2450918
441,2351677,2452607
442,2353777,2454273
443,2355505,2455320
444,2357072,2456417
445,2358577,2457536
446,2360288,2458907
447,2361981,2460168
448,2363453,2461582
449,2364968,2463275
450,2366504,2465469
451,2368209,2466785
452,2369611,2468139
453,2371175,2470022
454,2373243,2471707
455,2374941,2472802
456,2376529,2473917
457,2377987,2475064
458,2379506,2476437
459,2381085,2477831
460,2382618,2479222
461,2384144,2480998
462,2385689,2483178
463,2387328,2484552
464,2388752,2485967
465,2390282,2487785
466,2392383,2489500
467,2393974,2490584
468,2395514,2491684
469,2396906,2492767
470,2398399,2494145
471,2399901,2495380
472,2401388,2496807
473,2402879,2498465
474,2404347,2500558
475,2405935,2501913
476,2407292,2503265
477,2408718,2505036
478,2410671,2506699
479,2412361,2507762
480,2413839,2508846
481,2415167,2509907
482,2416577,2511191
483,2417979,2512496
484,2419388,2513856
485,2420799,2515530
486,2422180,2517664
487,2423691,2518910
488,2424979,2520252
489,2426358,2522054
490,2428239,2523674
491,2430318,2524746
492,2431794,2525835
493,2433083,2526886
494,2434446,2528250
495,2435844,2529624
496,2437225,2530990
497,2438598,2532698
498,2439931,2534910
499,2441408,2536260
500,2442641,2537687
501,2443966,2539524
502,2445819,2541158
503,2447850,2542254
504,2449322,2543358
505,2450596,2544535
506,2451909,2545933
507,2453239,2547298
508,2454578,2548735
509,2455925,2550483
510,2457254,2552502
511,2458724,2553891
512,2459917,2555323
513,2461257,2557182
514,2463089,2558833
515,2465119,2559959
516,2466598,2561118
517,2467860,2562424
518,2469234,2563822
519,2470603,2565251
520,2471977,2566744
521,2473348,2568588
522,2474758,2570751
523,2476263,2572160
524,2477489,2573682
525,2478885,2575650
526,2480738,2577342
527,2482819,2578506
528,2484338,2579699
529,2485609,2581095
530,2486987,2582673
531,2488369,2584101
532,2489727,2585744
533,2491099,2587671
534,2492452,2589808
535,2493918,2591256
536,2495117,2592813
537,2496480,2594793
538,2498261,2596498
539,2500297,2597670
540,2501721,2598875
541,2502942,2600257
542,2504277,2601840
543,2505603,2603307
544,2506920,2604876
545,2508256,2606785
546,2509560,2608821
547,2511000,2610323
548,2512210,2611835
549,2513521,2613747
550,2515329,2615711
551,2517324,2616912
552,2518763,2618103
553,2519973,2619254
554,2521284,2620647
555,2522603,2622064
556,2523934,2623502
557,2525282,2625314
558,2526618,2626883
559,2528084,2628260
560,2529304,2629806
561,2530677,2631696
562,2532507,2633594
563,2534535,2634746
564,2536041,2635923
565,2537316,2637070
566,2538720,2638409
567,2540092,2639785
568,2541452,2641270
569,2542827,2643194
570,2544211,2644898
571,2545691,2646288
572,2546970,2647699
573,2548359,2649680
574,2550254,2651602
575,2552178,2652828
576,2553665,2654024
577,2554972,2655188
578,2556370,2656472
579,2557769,2657882
580,2559171,2659284
581,2560609,2661214
582,2562047,2662901
583,2563589,2664278
584,2564933,2665779
585,2566371,2667691
586,2568358,2669599
587,2570327,2670816
588,2571863,2671980
589,2573270,2673119
590,2574766,2674243
591,2576234,2675557
592,2577706,2677012
593,2579208,2678772
594,2580725,2680469
595,2582329,2681860
596,2583740,2683248
597,2585288,2685123
598,2587336,2686943
599,2589342,2688207
600,2590951,2689326
601,2592364,2690413
602,2593866,2691534
603,2595355,2692922
604,2596861,2694343
605,2598389,2696089
606,2599882,2697868
607,2601503,2699201
608,2602915,2700603
609,2604420,2702388
610,2606474,2704172
611,2608503,2705408
612,2610035,2706467
613,2611410,2707494
614,2612884,2708530
615,2614382,2709519
616,2615817,2710654
617,2617287,2712077
618,2618760,2713821
619,2620332,2715129
620,2621676,2716539
621,2623100,2718402
622,2625046,2720247
623,2626595,2721451
624,2628063,2722533
625,2629373,2723580
626,2630834,2724667
627,2632264,2725867
628,2633709,2727226
629,2635118,2728892
630,2636561,2730635
631,2638147,2731890
632,2639476,2733231
633,2640913,2734999
634,2642908,2736775
635,2644579,2738014
636,2646036,2739073
637,2647331,2740096
638,2648797,2741162
639,2650227,2742413
640,2651676,2743694
641,2653126,2745435
642,2654593,2747171
643,2656160,2748470
644,2657482,2749804
645,2658925,2751560
646,2660910,2753363
647,2662592,2754680
648,2664068,2755772
649,2665349,2756841
650,2666800,2757928
651,2668229,2759216
652,2669610,2760691
653,2671031,2762388
654,2672467,2764529
655,2673993,2765920
656,2675276,2767307
657,2676652,2769150
658,2678534,2770866
659,2680245,2771957
660,2681651,2773075
661,2682924,2774143
662,2684323,2775624
663,2685670,2776956
664,2687037,2778466
665,2688426,2780232
666,2689826,2782057
667,2691341,2783412
668,2692673,2784869
669,2693998,2786750
670,2695901,2788257
671,2697588,2789337
672,2699024,2790464
673,2700274,2791786
674,2701594,2793217
675,2702913,2794616
676,2704241,2795994
677,2705506,2797807
678,2706774,2799682
679,2708150,2801088
680,2709343,2802573
681,2710424,2804389
682,2712019,2805813
683,2713660,2806904
684,2715008,2808047
685,2716248,2809459
686,2717607,2810853
687,2718959,2812152
688,2720290,2813634
689,2721607,2815382
690,2722947,2817155
691,2724402,2818482
692,2725689,2819877
693,2726923,2821716
694,2728706,2823080
695,2730412,2824176
696,2731768,2825538
697,2732997,2826896
698,2734299,2828290
699,2735607,2829729
700,2736899,2831176
701,2738196,2832992
702,2739526,2834764
703,2740950,2836062
704,2742237,2837572
705,2743455,2839401
706,2745226,2840816
707,2746955,2841910
708,2748297,2843175
709,2749499,2844538
710,2750874,2846062
711,2752194,2847391
712,2753517,2848923
713,2754893,2850681
714,2756246,2852530
715,2757717,2853955
716,2758959,2855424
717,2760353,2857294
718,2762179,2858796
719,2764219,2859889
720,2765700,2861021
721,2766957,2862455
722,2768335,2863868
723,2769736,2865377
724,2771113,2866873
725,2772508,2868727
726,2773889,2870575
727,2775395,2871965
728,2776668,2873476
729,2778100,2875425
730,2779993,2876892
731,2781692,2878013
732,2783205,2879210
733,2784616,2880676
734,2785939,2882141
735,2787341,2883510
736,2788738,2885047
737,2790146,2886872
738,2791513,2888667
