iteration,start,end
1,0,104998
2,907,156057
3,1622,206726
4,2316,257735
5,3034,308666
6,3738,360140
7,4524,410999
8,5408,463126
9,6259,515738
10,6947,566987
11,7724,618988
12,8670,671879
13,9620,722789
14,10354,774992
15,11107,827720
16,11992,878853
17,13006,930808
18,13899,983574
19,14805,1034513
20,16131,1086449
21,17136,1138495
22,18029,1189848
23,18909,1242633
24,19968,1295287
25,20840,1346343
26,21576,1398460
27,22278,1451525
28,23067,1504321
29,24000,1557132
30,24827,1610273
31,25644,1661029
32,26535,1713127
33,27455,1765978
34,28168,1816857
35,28719,1868908
36,29293,1920147
37,29883,1972850
38,30444,2023832
39,30941,2076557
40,31509,2128699
41,32131,2180913
42,32721,2233540
43,33324,2284588
44,33926,2336659
45,34519,2389539
46,35042,2440527
47,35592,2492862
48,36168,2545187
49,36776,2596522
50,37344,2648566
51,37832,2701209
52,38309,2752259
53,38778,2804204
54,39254,2857282
55,39836,2907919
56,40432,2959929
57,41026,3013053
58,41642,3065941
59,42230,3119050
60,42841,3171993
61,43454,3223835
62,43963,3275901
63,44461,3328491
64,44928,3379802
65,45396,3431745
66,45879,3484328
67,46439,3535459
68,47043,3587609
69,47627,3640643
70,48217,3691570
71,48806,3743788
72,49404,3796277
73,50002,3847184
74,50572,3898558
75,51054,3951135
76,51508,4004283
77,51970,4057156
78,52454,4108237
79,53034,4159485
80,53491,4212158
81,53965,4263163
82,54424,4315962
83,54980,4368602
84,55478,4420997
85,56024,4471632
86,56601,4522988
87,57143,4575894
88,57639,4626991
89,58126,4678857
90,58598,4731494
91,59064,4782899
92,59505,4835672
93,59955,4888561
94,60411,4939515
95,60995,4990806
96,61505,5043500
97,62061,5094524
98,62952,5146290
99,63518,5199314
100,63985,5252267
101,64446,5305295
102,64913,5357934
103,65376,5409232
104,65851,5460989
105,66319,5513643
106,66771,5564888
107,67316,5616756
108,67811,5668221
109,68329,5720869
110,70082,5771769
111,74494,5823883
112,79137,5876909
113,83363,5927575
114,87675,5978755
115,92176,6029808
116,96410,6082525
117,100474,6134385
118,105507,6185708
119,109716,6238822
120,113841,6291606
121,118072,6342397
122,123076,6393760
123,127460,6446204
124,132275,6497268
125,136697,6549306
126,140840,6602204
127,145109,6653529
128,149208,6706123
129,153744,6759169
130,158838,6809898
131,162819,6862221
132,166668,6914728
133,170822,6965885
134,174909,7017927
135,178769,7070950
136,183269,7121781
137,187422,7173873
138,191365,7226605
139,195344,7277772
140,199259,7330836
141,203534,7383376
142,208768,7434491
143,212696,7485806
144,216598,7538506
145,220868,7589492
146,224927,7641492
147,228883,7694267
148,233382,7747434
149,237632,7800169
150,241704,7851412
151,245631,7904274
152,249588,7957223
153,253830,8008064
154,259003,8060159
155,263086,8113003
156,266918,8165581
157,271132,8216721
158,275280,8269082
159,279203,8321722
160,283658,8372926
161,287854,8425896
162,291806,8476670
163,295821,8528781
164,299743,8581621
165,303937,8634493
166,308989,8685441
167,314160,8736785
168,366443,8789603
169,430904,8841428
170,486848,8893473
171,522188,8945902
172,588973,8997492
173,642684,9050076
174,677697,9101134
175,740387,9152468
176,798681,9205258
177,833551,9257911
178,888404,9309145
179,954645,9361085
180,989740,9413743
181,1055574,9464826
182,1093725,9517035
183,1149869,9569802
184,1213162,9620839
185,1265883,9673906
186,1301466,9725393
187,1369192,9776773
188,1422062,9829705
189,1474852,9882435
190,1527819,9934495
191,1580894,9988512
192,1616082,10042368
193,1679552,10093470
194,1736527,10146509
195,1772062,10199466
196,1836454,10252463
197,1875389,10305192
198,1944337,10358204
199,1979408,10410964
200,2048654,10464142
201,2100191,10517111
202,2152012,10569882
203,2204728,10622899
204,2239732,10675861
205,2305078,10728666
206,2361070,10781819
207,2395565,10834773
208,2455904,10887500
209,2517836,10940476
210,2551541,10993446
211,2610908,11046330
212,2673031,11099349
213,2707642,11152437
214,2774514,11205233
215,2829438,11258211
216,2863105,11310950
217,2923332,11363939
218,2968546,11416954
219,3038824,11469872
220,3091677,11522916
221,3143857,11575765
222,3178107,11628510
223,3240754,11680698
224,3300864,11733760
225,3334356,11786808
226,3399966,11839517
227,3457037,11892524
228,3491094,11945414
229,3560825,11998367
230,3612766,12051428
231,3646563,12104477
232,3705216,12157208
233,3768983,12210193
234,3801872,12263012
235,3859900,12316080
236,3924431,12369047
237,3976288,12421969
238,4029496,12474864
239,4063182,12527613
240,4120351,12580825
241,4167134,12633754
242,4221084,12686730
243,4289823,12739636
244,4342278,12792528
245,4394220,12845373
246,4426517,12898295
247,4482918,12951161
248,4549356,13003365
249,4581891,13056290
250,4640541,13109087
251,4686798,13162064
252,4742516,13214964
253,4809278,13268139
254,4861408,13320971
255,4894434,13373871
256,4949527,13426842
257,5017286,13479671
258,5049438,13532761
259,5106788,13585801
260,5172872,13638719
261,5223977,13691512
262,5277864,13744287
263,5331530,13797440
264,5364408,13850426
265,5427508,13903411
266,5487484,13956434
267,5519743,14009178
268,5571529,14061697
269,5628233,14112906
270,5694619,14166128
271,5726751,14219008
272,5795001,14272112
273,5850258,14324883
274,5882571,14377640
275,5939118,14430681
276,5987435,14483777
277,6037628,14536739
278,6095760,14589769
279,6142711,14642531
280,6212191,14695390
281,6265257,14748417
282,6297133,14801343
283,6352699,14854437
284,6420228,14907343
285,6452409,14960185
286,6521035,15012968
287,6556353,15066114
288,6615599,15118932
289,6680118,15172103
290,6732002,15225005
291,6765419,15277569
292,6830263,15330622
293,6888564,15383735
294,6920737,15436708
295,6988639,15489769
296,7044296,15542738
297,7076734,15595402
298,7138590,15648411
299,7181866,15701343
300,7237128,15754312
301,7304377,15807407
302,7357575,15860423
303,7389144,15912873
304,7445465,15965404
305,7512442,16017964
306,7544429,16071038
307,7608676,16123971
308,7668348,16177095
309,7720207,16229707
310,7755047,16282744
311,7809883,16335617
312,7878527,16388766
313,7930469,16441627
314,7963078,16494696
315,8021853,16547303
316,8087338,16600419
317,8140054,16653426
318,8171436,16706448
319,8232528,16759429
320,8277402,16811903
321,8332828,16865086
322,8399716,16917877
323,8431480,16971056
324,8495546,17023946
325,8555311,17077099
326,8608232,17129608
327,8640246,17182685
328,8698206,17235723
329,8763298,17288774
330,8795876,17341715
331,8861603,17394673
332,8900706,17447387
333,8957332,17500418
334,9024215,17553371
335,9055977,17606437
336,9115206,17659398
337,9178797,17711884
338,9231805,17765058
339,9263291,17817911
340,9319957,17871017
341,9387297,17923938
342,9419382,17976990
343,9480241,18029673
344,9526203,18082587
345,9579086,18135692
346,9647177,18188641
347,9679801,18241676
348,9740915,18294637
349,9802970,18347380
350,9846968,18400413
351,18408931,18470217
352,18411824,18521105
353,18413140,18572819
354,18413641,18625870
355,18414140,18678701
356,18414652,18731656
357,18415215,18784739
358,18415769,18837640
359,18416342,18890736
360,18416933,18943254
361,18417511,18996430
362,18418127,19049936
363,18418789,19101198
364,18419434,19154376
365,18420071,19207299
366,18420735,19260075
367,18421936,19312837
368,18422464,19365877
369,18423066,19418914
370,18423677,19471741
371,18424315,19523592
372,18424898,19575691
373,18425410,19627452
374,18426036,19680715
375,18426666,19733671
376,18427269,19786720
377,18427869,19839674
378,18428467,19892754
379,18429063,19945256
380,18429677,19998386
381,18430719,20049890
382,18431313,20102924
383,18432669,20154227
384,18433350,20207138
385,18433947,20260078
386,18434578,20312900
387,18435124,20365977
388,18435583,20418781
389,18436167,20472039
390,18436837,20524653
391,18437746,20577838
392,18438629,20630612
393,18439181,20683704
394,18439763,20736321
395,18440361,20787483
396,18440946,20840288
397,18441517,20891394
398,18442155,20943677
399,18442758,20996407
400,18443353,21049265
401,18444461,21102436
402,18445080,21155366
403,18445684,21208107
404,18446714,21260811
405,18447270,21313902
406,18447911,21366688
407,18448720,21418603
408,18449636,21471647
409,18450327,21523584
410,18450812,21577028
411,18451404,21629649
412,18451934,21682643
413,18452504,21735418
414,18453133,21788700
415,18453729,21841677
416,18454315,21894133
417,18455783,21947332
418,18456315,21999972
419,18456817,22051155
420,18457313,22103884
421,18457827,22154993
422,18458313,22208429
423,18458901,22260792
424,18459470,22313894
425,18460022,22367043
426,18460642,22419850
427,18461209,22473050
428,18461798,22525732
429,18462342,22578613
430,18462952,22631280
431,18463571,22682597
432,18464192,22735279
433,18464806,22786396
434,18465401,22839509
435,18466030,22892696
436,18466596,22945256
437,18467068,22997959
438,18467576,23049290
439,18468050,23102342
440,18468559,23154829
441,18469075,23206270
442,18469661,23258991
443,18470341,23310791
444,18471041,23363640
445,18471738,23414781
446,18472753,23468018
447,18473326,23520854
448,18473877,23573985
449,18474483,23626526
450,18475051,23679677
451,18475558,23732635
452,18476115,23785641
453,18476667,23838650
454,18477269,23891630
455,18477832,23944113
456,18478403,23997021
457,18478980,24048214
458,18479553,24101352
459,18480191,24154980
460,18480839,24206130
461,18481356,24258898
462,18482119,24310170
463,18482864,24363009
464,18483443,24415805
465,18483978,24469007
466,18484566,24521848
467,18485121,24575015
468,18485685,24627393
469,18486161,24680666
470,18486628,24733630
471,18487109,24786377
472,18487621,24838418
473,18488152,24891264
474,18488726,24944092
475,18489312,24997274
476,18489952,25050331
477,18490548,25103381
478,18491108,25156339
479,18491715,25209404
480,18492252,25262642
481,18492765,25314703
482,18493343,25367901
483,18493938,25421478
484,18494511,25472624
485,18495049,25525782
486,18495604,25578596
487,18496269,25631634
488,18496849,25684639
489,18497422,25737497
490,18497938,25790491
491,18498465,25843201
492,18499012,25896358
493,18499532,25949271
494,18500032,26002330
495,18500562,26054882
496,18501059,26105863
497,18501624,26158999
498,18502882,26211613
499,18504443,26264987
500,18505936,26317845
501,18507475,26370858
502,18508994,26423814
503,18511117,26476993
504,18512207,26530025
505,18513680,26581573
506,18515257,26634603
507,18516781,26687265
508,18518094,26738367
509,18519130,26791382
510,18520173,26844082
511,18521261,26897126
512,18522445,26950251
513,18523912,27003157
514,18524913,27056187
515,18586084,27109346
516,18638328,27161947
517,18691226,27214833
518,18744208,27267964
519,18797313,27321449
520,18850275,27372721
521,18903373,27425743
522,18955818,27478583
523,19009043,27531449
524,19053920,27584663
525,19113838,27637602
526,19167033,27690626
527,19220395,27743211
528,19272625,27796347
529,19325401,27849281
530,19378395,27902367
531,19431889,27954879
532,19474852,28006122
533,19531732,28058825
534,19579317,28111690
535,19639775,28164958
536,19693365,28217823
537,19746319,28271065
538,19799603,28323772
539,19852948,28376649
540,19905395,28429331
541,19964549,28482570
542,20003646,28535590
543,20062536,28588245
544,20107126,28639351
