iteration,start,end
1,0,104237
2,814,155235
3,1538,206172
4,2227,257421
5,2952,308348
6,3668,359613
7,4361,410296
8,5141,461607
9,6038,514465
10,6915,567624
11,7609,620579
12,8310,671491
13,10417,723406
14,11186,774525
15,11922,826175
16,12713,877350
17,13472,930287
18,14194,981482
19,14909,1034297
20,15713,1087315
21,16660,1140060
22,17493,1191165
23,18232,1243032
24,18939,1295653
25,19719,1346975
26,20490,1399182
27,21207,1451930
28,21900,1503914
29,22738,1555049
30,23674,1607850
31,24574,1660593
32,25480,1711634
33,26221,1763946
34,26953,1815496
35,27519,1866807
36,28215,1919614
37,28833,1970619
38,29479,2023403
39,30064,2076267
40,30597,2129292
41,31196,2182348
42,31791,2235527
43,32300,2288267
44,32768,2341141
45,33259,2393806
46,33739,2444965
47,34219,2496883
48,34693,2547993
49,35210,2599737
50,35703,2650902
51,36275,2702924
52,36804,2753923
53,37374,2805741
54,37920,2856814
55,38459,2909681
56,38934,2962498
57,39431,3013590
58,40047,3065508
59,40621,3118672
60,41094,3169594
61,41579,3221604
62,42058,3272588
63,42627,3325253
64,43153,3376040
65,43769,3428952
66,44358,3479984
67,44935,3532311
68,45411,3585283
69,45883,3636239
70,46361,3688292
71,46846,3740889
72,47312,3791911
73,47797,3843909
74,48383,3895028
75,48932,3948031
76,49517,3998881
77,50166,4050635
78,50756,4101940
79,51213,4154920
80,51673,4205983
81,52139,4258688
82,52820,4311640
83,53271,4364642
84,53743,4415604
85,54208,4467448
86,54816,4518604
87,55368,4570614
88,55948,4621583
89,56554,4673521
90,57174,4726144
91,57675,4777116
92,58146,4829399
93,58642,4882364
94,59121,4933250
95,59682,4985169
96,60274,5036033
97,60824,5089309
98,61462,5139973
99,62052,5191933
100,62546,5243013
101,63017,5295852
102,63489,5347239
103,63960,5399960
104,64535,5452939
105,65194,5505942
106,65785,5556731
107,66301,5608805
108,66852,5661530
109,67429,5712589
110,70626,5764833
111,76050,5817633
112,81331,5868572
113,86611,5920852
114,91992,5973349
115,97244,6026529
116,102626,6079147
117,107804,6130248
118,113059,6182457
119,118365,6235307
120,123782,6286159
121,129245,6338193
122,134559,6389212
123,140179,6440812
124,145737,6492129
125,151016,6543871
126,156562,6594906
127,162011,6646963
128,167609,6699842
129,173811,6750883
130,177965,6801936
131,181838,6854923
132,185835,6905872
133,189663,6957642
134,193900,7008654
135,198036,7061521
136,201892,7112600
137,205823,7164292
138,209960,7215585
139,213861,7267500
140,218227,7320585
141,222061,7371699
142,225994,7424465
143,229994,7477124
144,234483,7528243
145,238339,7580139
146,242363,7631317
147,246748,7684331
148,250646,7735232
149,254585,7787125
150,258648,7838227
151,263402,7891121
152,267058,7944140
153,270933,7996939
154,274919,8049933
155,278968,8102861
156,283326,8153846
157,287162,8205846
158,291112,8256649
159,295170,8308472
160,299639,8359558
161,303650,8412410
162,307588,8463746
163,311669,8516637
164,316162,8569552
165,320067,8622566
166,324024,8673233
167,327974,8724637
168,365361,8777056
169,420813,8827992
170,488294,8879452
171,540549,8932285
172,593873,8983123
173,626432,9034308
174,684749,9087185
175,730459,9138439
176,790457,9191083
177,833825,9243508
178,884538,9294871
179,940984,9347716
180,1007860,9398851
181,1058519,9450549
182,1112133,9501920
183,1145517,9554914
184,1199921,9605724
185,1267916,9657734
186,1301807,9710163
187,1362201,9763516
188,1406438,9816496
189,1461152,9868960
190,1511919,9920815
