iteration,start,end
1,0,87867
2,762,139687
3,1471,190995
4,2185,242543
5,2886,293743
6,3575,344759
7,4383,396657
8,5276,448057
9,6153,500605
10,6836,551920
11,7558,603865
12,8246,656552
13,8932,708595
14,9603,760561
15,10268,812771
16,10961,865652
17,11759,917578
18,12453,970414
19,13237,1021676
20,14087,1074063
21,14873,1125398
22,15588,1178211
23,16254,1230580
24,16958,1282066
25,17718,1334418
26,18401,1386942
27,19145,1439708
28,19828,1491263
29,20528,1542386
30,21226,1597554
31,22038,1648746
32,22936,1700284
33,23802,1751705
34,24488,1802664
35,88846,1853938
36,140443,1907663
37,191879,1960669
38,243439,2013621
39,294908,2065527
40,347314,2117538
41,398125,2169843
42,450623,2221290
43,502194,2273357
44,554420,2325364
45,606450,2377215
46,659090,2429245
47,711171,2481353
48,763081,2533229
49,815373,2585339
50,868241,2637395
51,920187,2689889
52,971933,2741903
53,1024293,2793891
54,1075514,2845886
55,1128462,2897858
56,1180710,2949904
57,1231483,3001881
58,1284620,3054000
59,1337006,3106674
60,1389469,3159479
61,1440408,3210411
62,1492220,3262704
63,1543934,3315548
64,1599089,3367571
65,1650011,3419688
66,1701544,3472601
67,1753149,3525393
68,1804675,3578233
69,3580706,3644526
70,3583120,3695454
71,3585263,3746737
72,3586349,3798021
73,3586916,3850777
74,3587404,3902948
75,3587921,3955154
76,3588413,4007474
77,3589042,4059480
78,3589631,4111526
79,3590211,4163484
80,3590705,4215510
81,3591222,4267614
82,3591810,4319594
83,3592400,4372245
84,3596789,4423329
85,3597378,4475161
86,3601172,4527143
87,3602345,4579263
88,3604682,4631193
89,3605265,4683133
90,3605841,4735065
91,3606402,4787130
92,3606966,4839000
93,3610723,4890850
94,3611586,4942717
95,3613480,4994451
96,3614074,5045786
97,3617057,5098579
98,3617609,5149764
99,3618903,5201785
100,3621062,5253744
101,3624042,5305597
102,3624627,5357453
103,3625883,5409499
104,3627595,5461532
105,3628131,5513430
106,3628650,5565617
107,3629194,5617480
108,3629681,5669463
109,3630210,5721692
