iteration,start,end
1,0,8028
2,806,14729
3,1508,17748
4,2206,23990
5,2937,27659
6,3642,33192
7,4333,38682
8,5022,43917
9,5738,49812
10,6431,54928
11,7127,60479
12,8049,65506
13,8975,69900
14,9856,74814
15,10586,78988
16,11362,83131
17,12152,87498
18,12904,91715
19,13701,95850
20,14514,100505
21,15249,104638
22,15953,108757
23,16655,112856
24,17449,116951
25,18363,121067
26,19217,125922
27,20100,130034
28,20855,134165
29,21656,138331
30,22528,142462
31,23346,146600
32,24065,151287
33,24765,155103
34,25463,158996
35,25924,162889
36,26491,166783
37,27102,170704
38,27722,175304
39,28257,179217
40,28720,183131
41,29197,186982
42,29672,190886
43,30138,194768
44,30609,199211
45,31106,203063
46,31605,206961
47,32085,210833
48,32653,214753
49,33274,218667
50,33872,223282
51,34413,227139
52,34900,231064
53,35365,234972
54,35834,238911
55,36311,242751
56,36777,247202
57,37253,251105
58,37736,255010
59,38221,258997
60,38815,262913
61,39458,266769
62,40046,271329
63,40610,275180
64,41070,279055
65,41545,282960
66,42020,286817
67,42497,290683
68,42964,295106
69,43433,299016
70,43926,302951
71,44414,306795
72,44982,310705
73,45573,314607
74,46170,319241
75,46715,323111
76,47177,327022
77,47636,330972
78,48087,334832
79,48551,338736
80,49008,343172
81,49521,347013
82,50013,350909
83,50470,354689
84,51026,358575
85,51602,362452
86,52178,367008
87,52735,370820
88,53189,374674
89,53647,378522
90,54102,382378
91,54555,386199
92,55025,390563
93,55487,394438
94,55946,398320
95,56454,402143
96,57015,406000
97,57607,409822
98,58501,414301
99,58989,418124
100,59437,421971
101,59918,425845
102,60402,429684
103,60882,433482
104,61344,437855
105,61851,441701
106,62322,445541
107,62780,449400
108,63330,453280
109,66012,457181
110,71153,461748
111,75466,465624
112,79566,469532
113,83688,473457
114,88170,477393
115,92319,481323
116,96401,485817
117,101082,489755
118,105192,493709
119,109328,497634
120,113509,501596
121,117509,505570
122,121621,510187
123,126469,514250
124,130584,518192
125,134741,522151
126,138909,526101
127,143036,530045
128,147166,534546
129,151856,538474
130,155906,542418
131,159794,546320
132,163749,550250
133,167567,554489
134,171463,559241
135,176067,563162
136,180027,567144
137,183888,571048
138,187809,575007
139,191670,578958
140,195592,583401
141,200024,587323
142,203853,591271
143,207753,595229
144,211723,599204
145,215601,603221
146,219485,607968
147,224080,613100
148,227936,617434
149,231832,621817
150,235801,626074
151,239674,630452
152,243588,634600
153,248009,639022
154,251903,643235
155,255832,647392
156,259902,651530
157,263669,655681
158,267624,659791
159,272137,664363
160,275993,668458
161,279863,672547
162,283769,676652
163,287643,680792
164,291503,684897
165,295926,689046
166,299837,693164
167,303754,697369
168,307737,701520
169,311534,705661
170,315474,709824
171,320048,713963
172,323928,718123
173,327848,722269
174,331780,726410
175,335641,730538
176,339585,734673
177,343974,738803
178,347829,743480
179,351683,747484
180,355604,751360
181,359416,755294
182,363288,759213
183,367803,763127
184,371621,767077
185,375471,771016
186,379348,774955
187,383207,778876
188,387048,782821
189,391398,786763
190,395292,790709
191,399157,794638
192,403048,798546
193,406787,802433
194,410629,806333
195,415123,810223
196,418960,814111
197,422776,817982
198,426662,821825
199,430471,825667
200,434292,829533
201,438667,833385
202,442508,837260
203,446326,841125
204,450304,845024
205,454095,848929
206,457982,852831
207,462547,856723
208,466431,860640
209,470330,864534
210,474303,868444
211,478197,872443
212,482159,876349
213,486621,880286
214,490563,884211
215,494493,888083
216,498543,891976
217,502403,895794
218,506394,899603
219,511107,903447
220,515075,907273
221,519050,911139
222,522981,915003
223,526953,918799
224,530882,922615
225,535384,926432
226,539312,930264
227,543258,934064
228,547239,937866
229,551092,941683
230,555433,945525
231,560118,949285
232,563974,953153
233,567964,957014
234,571866,960857
235,575787,964692
236,579771,968558
237,584208,972362
238,588134,976170
239,592087,979925
240,596118,983674
241,599993,987447
242,604330,991219
243,992512,998657
244,993197,1000220
245,993703,1001574
246,994203,1002585
247,994694,1005605
248,995166,1005610
249,995719,1010707
250,996312,1011650
251,996846,1012687
252,997401,1013208
253,997983,1014119
254,998583,1015635
255,999250,1020880
256,999888,1021497
257,1000504,1022101
258,1001095,1022690
259,1001646,1023233
260,1002203,1026833
261,1002724,1027319
262,1003281,1027821
263,1003851,1028533
264,1004564,1032721
265,1005132,1033217
266,1005700,1034502
267,1006314,1038216
268,1007309,1039136
269,1008005,1039926
270,1008754,1040884
271,1009377,1045861
272,1009967,1046389
273,1010521,1047271
274,1011153,1048951
275,1011982,1053249
276,1012485,1053559
277,1013055,1053838
278,1013669,1058071
279,1014278,1058468
280,1014835,1058803
281,1016935,1059116
282,1017445,1060125
283,1017965,1061897
284,1018498,1062984
285,1019132,1064361
286,1019647,1066988
287,1020858,1067252
288,1021621,1068940
