iteration,start,end
1,0,10647
2,792,15099
3,1473,19745
4,2144,24096
5,2836,30330
6,3542,35262
7,4228,40140
8,4901,44501
9,5626,50781
10,6323,55429
11,7051,61413
12,7729,66391
13,8424,70538
14,9205,74676
15,9970,78852
16,10681,83517
17,11422,87651
18,12110,91737
19,12794,95874
20,13507,99947
21,14205,104038
22,14903,108896
23,15595,112985
24,16326,117095
25,17173,121230
26,17921,125318
27,18720,129425
28,19588,134042
29,20323,138227
30,21004,142387
31,21674,146520
32,22356,150669
33,23048,154467
34,23747,159102
35,24212,162986
36,24687,166940
37,25162,170870
38,25665,174770
39,26207,178657
40,26741,183213
41,27379,187068
42,27975,191049
43,28544,194956
44,29462,198877
45,30195,202779
46,30700,207447
47,31193,211380
48,31668,215314
49,32158,219341
50,32651,223300
51,33265,227244
52,34091,231747
53,35092,235710
54,35843,239682
55,36362,243663
56,36829,247643
57,37292,251619
58,37877,256297
59,38476,260223
60,39080,264171
61,39674,268114
62,40237,272087
63,40787,275994
64,41249,280461
65,41723,284367
66,42220,288303
67,42751,292208
68,43226,296256
69,43684,300222
70,44293,304960
71,44897,308873
72,45412,312837
73,45937,316765
74,46536,320665
75,47075,324638
76,47592,329105
77,48056,333079
78,48510,337002
79,48964,340961
80,49421,344910
81,50043,348835
82,50736,353427
83,51384,357327
84,52021,361228
85,52640,365146
86,53443,368969
87,53911,372819
88,54362,377329
89,54810,381234
90,55278,385105
91,55722,388954
92,56166,392818
93,56606,396732
94,57051,401276
95,57595,405125
96,58086,409059
97,58600,412951
98,59186,416807
99,59715,420673
100,60222,425069
101,60703,428964
102,61280,432864
103,61814,436699
104,62383,440580
105,62972,444445
106,63539,449021
107,64047,452910
108,64496,456804
109,66846,460719
110,71072,464643
111,75261,468527
112,79427,472928
113,84132,476926
114,88304,480887
115,92314,484866
116,96444,488841
117,100523,492817
118,104599,497495
119,109428,501430
120,113501,505431
121,117673,509404
122,121791,513406
123,125904,517382
124,129995,521911
125,134656,526050
126,138815,530067
127,142926,534068
128,147117,538021
129,151253,542076
130,155271,546757
131,159889,550704
132,163751,554653
133,167723,558610
134,171647,562606
135,175611,566554
136,179519,571106
137,183985,575080
138,187977,579077
139,191804,583075
140,195728,587114
141,199673,591191
142,203619,596477
143,208231,600581
144,212163,604573
145,216104,608599
146,220033,612682
147,224100,616713
148,228058,621615
149,232527,625678
150,236586,629656
151,240449,633627
152,244435,637663
153,248368,641666
154,252401,646194
155,257082,650161
156,261013,654131
157,264939,658091
158,268938,662035
159,272810,665972
160,276860,670898
161,281315,674897
162,285311,678870
163,289148,682810
164,293073,686770
165,297043,690743
166,301061,695289
167,305740,699217
168,309670,703126
169,313630,707074
170,317542,710968
171,321563,714942
172,325426,719426
173,329892,723343
174,333956,727286
175,337767,731213
176,341726,735138
177,345686,739021
178,349536,744001
179,354155,747918
180,358120,751796
181,362019,755797
182,365932,759735
183,369852,763674
184,373624,768196
185,378096,772170
186,382130,776148
187,385883,780074
188,389765,784049
189,393596,787988
190,397527,792995
191,402032,796991
192,405989,800941
193,409848,804861
194,413750,808882
195,417687,812849
196,421481,817367
197,425844,821314
198,429788,825257
199,433620,829210
200,437455,833145
201,441324,837022
202,445238,842016
203,449805,845987
204,453717,849968
205,457589,853955
206,461512,857953
207,465517,861988
208,469333,866565
209,473693,870526
210,477837,874519
211,481677,878539
212,485665,882544
213,489636,886544
214,493615,891549
215,498282,895538
216,502174,899559
217,506206,903497
218,510173,907523
219,514223,911465
220,518163,916060
221,522853,920055
222,527005,924052
223,530853,928030
224,534923,931990
225,538824,935961
226,542893,940877
227,547531,944936
228,551498,948878
229,555427,952841
230,559419,956814
231,563478,960772
232,567361,965200
233,571851,969232
234,575989,973155
235,579912,977183
236,583951,981139
237,587909,985123
238,591979,990008
239,597275,993967
240,601375,997879
241,605378,1001816
242,609447,1005756
243,613551,1009675
244,617505,1014142
245,622455,1018059
246,626563,1022007
247,630446,1025851
248,634453,1029830
249,638459,1033725
250,642456,1038679
251,646970,1042678
252,650963,1046592
253,654910,1050577
254,658880,1054532
255,662922,1058460
256,666766,1062941
257,671639,1066885
258,675704,1070812
259,679658,1074752
260,683610,1078706
261,687550,1082611
262,691539,1087495
263,696071,1091379
264,699974,1095310
265,703868,1099180
266,707913,1103026
267,711925,1106917
268,715770,1111376
269,720244,1115241
270,724235,1119163
271,728028,1123053
272,731977,1127075
273,735876,1131011
274,739749,1136020
275,744729,1140005
276,748664,1143910
277,752560,1147895
278,756542,1151908
279,760602,1155829
280,764466,1160346
281,768949,1164284
282,773019,1168273
283,776916,1172195
284,780857,1176219
285,784836,1180138
286,788792,1185095
287,793783,1189028
288,797796,1192988
289,801722,1196923
290,805595,1200920
291,809669,1204886
292,813644,1209726
293,818124,1213935
294,822208,1218244
295,826049,1222428
296,829906,1226642
297,833930,1230935
298,837880,1235287
299,842795,1239474
300,846788,1243659
301,850737,1247818
302,854753,1251996
303,858799,1256164
304,862789,1260348
305,867355,1264483
