iteration,start,end
1,0,3883
2,760,5356
3,1495,6828
4,2177,8718
5,2890,9599
6,3641,12197
7,4366,13102
8,5186,14477
9,6106,15871
10,6980,17371
11,7732,18646
12,8428,21007
13,9167,22058
14,9864,23603
15,10555,26280
16,11245,26599
17,11934,28933
18,12635,30005
19,13327,32436
20,14112,32826
21,15001,34888
22,15827,38661
23,16509,38668
24,17198,39174
25,17921,41288
26,18693,44369
27,19393,44375
28,20066,46219
29,20759,47642
30,21463,50346
31,22296,50534
32,23372,53672
33,24264,54165
34,25065,55555
35,25601,57615
36,26064,59234
37,26514,61085
38,26983,61816
39,27435,63124
40,27879,64448
41,28337,65635
42,28797,66860
43,29365,68114
44,29940,69339
45,30556,70590
46,31086,71888
47,31548,73343
48,32006,74779
49,32475,76057
50,32925,77918
51,33395,78623
52,33861,79849
53,34330,81072
54,34899,82336
55,35454,83561
56,35909,84823
57,36367,86093
58,36875,87309
59,37375,88508
60,37836,89754
61,38301,90991
62,38858,92220
63,39432,93463
64,40002,94690
65,40580,95926
66,41164,97181
67,41629,98454
68,42079,99667
69,42527,100932
70,42994,102174
71,43456,103370
72,43906,104615
73,44387,105864
74,44943,107088
75,45503,108308
76,46054,109572
77,46627,110823
78,47192,112054
79,47666,113271
80,48113,114484
81,48566,115702
82,49035,116903
83,49589,118166
84,50178,119364
85,50775,120610
86,51351,121848
87,51832,123080
88,52294,124335
89,52879,125644
90,53472,126885
91,54048,128125
92,54704,129374
93,55349,130600
94,56362,131813
95,57087,133036
96,57803,134213
97,58532,135667
98,59134,136879
99,59605,138125
100,60056,139369
101,62141,140633
102,62722,141956
103,63302,143227
104,63891,144503
105,65193,145785
106,66359,147057
107,67688,148368
108,68879,150272
109,70035,151553
110,72962,152817
111,73528,154073
112,74410,155299
113,75668,156548
114,76876,157778
115,78113,158994
116,79317,160203
117,80729,161441
118,81795,162671
119,83120,163949
120,84315,165930
121,85596,167192
122,88316,168431
123,88778,169682
124,89416,170920
125,90703,172180
126,91861,173413
127,93125,174673
128,94253,175947
129,95594,177216
130,96735,178502
131,97983,179866
132,99208,181857
133,100318,183179
134,103095,184473
135,103556,185785
136,104281,187084
137,105453,188405
138,106749,189712
139,107957,191031
140,109116,192308
141,110452,193589
142,111583,194891
143,112900,196260
144,114088,198211
145,115251,199533
146,118150,200911
147,118624,202251
148,119070,203588
149,120349,204950
150,121507,206286
151,122720,207646
152,123897,209011
153,125225,210384
154,126391,211745
155,127769,213320
156,128954,215269
157,130113,216655
158,133006,218031
159,133462,219407
160,133909,220762
161,135218,222154
162,136535,223502
163,137752,224852
164,138930,226243
165,140292,227594
166,141446,228948
167,142811,230507
168,144056,232390
169,145269,233792
170,148043,235160
171,148495,236527
172,149247,237914
173,151137,239320
174,152366,240699
175,153656,242087
176,154790,243485
177,156121,244897
178,157303,246294
179,158557,248003
