step,start,end,latency,execution
1,0,80479,80479,116310
2,35864,121174,85310,76577
3,71767,162545,90778,77277
4,107692,204465,96773,77746
5,143564,245708,102144,77250
6,179613,286757,107144,77683
7,216291,328031,111740,77869
8,252923,369032,116109,78011
9,289972,410379,120407,78050
10,326714,452590,125876,78874
11,363429,494928,131499,78997
12,400145,536705,136560,79571
13,438000,578013,140013,79598
14,476344,620298,143954,80709
15,514834,662561,147727,80750
16,553369,704244,150875,78131
17,589886,745774,155888,79959
18,628359,787971,159612,80590
19,666811,830258,163447,80615
20,705175,872182,167007,78207
21,741518,914586,173068,80817
22,779990,956581,176591,80328
23,818376,999231,180855,80960
24,856739,1042037,185298,81134
25,895132,1084228,189096,80523
26,933528,1126580,193052,80736
27,971992,1169167,197175,81049
28,1010525,1210793,200268,80230
29,1049166,1251510,202344,79122
30,1087619,1293218,205599,80614
31,1126586,1335821,209235,81498
32,1165537,1378150,212613,78602
33,1201883,1419390,217507,78936
34,1239611,1460801,221190,77639
35,1275901,1502887,226986,80248
36,1314141,1545184,231043,81126
37,1353053,1587211,234158,80950
38,1392022,1629110,237088,78189
39,1428383,1670489,242106,79963
40,1467009,1712738,245729,80985
41,1505805,1754746,248941,80942
42,1544814,1797281,252467,81298
43,1583659,1840095,256436,81645
44,1622546,1881452,258906,77694
45,1658938,1922731,263793,79829
46,1697549,1964542,266993,80443
47,1736260,2006773,270513,80761
48,1774859,2049138,274279,80820
49,1813380,2091131,277751,80485
50,1851915,2133618,281703,78787
51,1888266,2175516,287250,78784
52,1925220,2216686,291466,79573
53,1963678,2257867,294189,79613
54,2002167,2299777,297610,80517
55,2040854,2342178,301324,82045
56,2080574,2384272,303698,80763
57,2119321,2426440,307119,80734
58,2157967,2468562,310595,80843
59,2196745,2511072,314327,78791
60,2233086,2553851,320765,80706
61,2271090,2596196,325106,80849
62,2309674,2638317,328643,79378
63,2346997,2680503,333506,79451
64,2384332,2722631,338299,79599
65,2421881,2764540,342659,79327
66,2459400,2805572,346172,78714
67,2497143,2847155,350012,79271
68,2534897,2889141,354244,79515
69,2572494,2930454,357960,79966
70,2611204,2971647,360443,78861
71,2648937,3013940,365003,79559
72,2686269,3056770,370501,80105
73,2723608,3097929,374321,78615
74,2761098,3140132,379034,78175
75,2797119,3182796,385677,79498
76,2834028,3224237,390209,78959
77,2871602,3265789,394187,78863
78,2908953,3308018,399065,78389
79,2945185,3350764,405579,79690
80,2982206,3391963,409757,78557
81,3019609,3434122,414513,79400
82,3056884,3476574,419690,78564
83,3093058,3518496,425438,79044
84,3130258,3560817,430559,79625
85,3167641,3602980,435339,79605
86,3205135,3645011,439876,78003
87,3241189,3687441,446252,79392
88,3278230,3737651,459421,87581
89,3315667,3779722,464055,79358
90,3352993,3821384,468391,77729
91,3389109,3862898,473789,78832
92,3426489,3905813,479324,80420
93,3464073,3948099,484026,79872
94,3501737,3988903,487166,78575
95,3539567,4030391,490824,78898
96,3577037,4072560,495523,79484
97,3614425,4113669,499244,78427
98,3651786,4154802,503016,78428
99,3689128,4197084,507956,79626
100,3726550,4238067,511517,78330
101,3763953,4279740,515787,79099
102,3801440,4322090,520650,78323
103,3837491,4363596,526105,78949
104,3874986,4405944,530958,79717
105,3912407,4448399,535992,79693
106,3949694,4491116,541422,78765
107,3985807,4533388,547581,78959
108,4022572,4575535,552963,79767
109,4060270,4617682,557412,79595
110,4097772,4659783,562011,78068
111,4133810,4701742,567932,79417
112,4171337,4744343,573006,79906
113,4208686,4786971,578285,78563
114,4244686,4829574,584888,79864
115,4282001,4870478,588477,78321
116,4319451,4912773,593322,78369
117,4355600,4954943,599343,78982
118,4392493,4997074,604581,79783
119,4430237,5038309,608072,78781
120,4467841,5080724,612883,79936
121,4505443,5123556,618113,80360
122,4543050,5164430,621380,78185
123,4580403,5205960,625557,78789
124,4617719,5248016,630297,79822
125,4655569,5290792,635223,80411
126,4693288,5332385,639097,79353
