step,start,end,latency,execution
1,0,86770,86770,127592
2,41449,127255,85806,81368
3,82351,168174,85823,81797
4,123248,209620,86372,82311
5,164191,250568,86377,82084
6,205348,291912,86564,82244
7,246284,332864,86580,82765
8,288130,374301,86171,82995
9,329712,415716,86004,82470
10,370797,457926,87129,83171
11,411825,500012,88187,84675
12,454479,542399,87920,84744
13,496918,584345,87427,85486
14,540553,626374,85821,84322
15,582922,675647,92725,91947
16,625632,717711,92079,83259
17,666893,759942,93049,84650
18,709381,802032,92651,84604
19,751962,844391,92429,84752
20,794421,886354,91933,84441
21,836968,928686,91718,84872
22,879575,970656,91081,84525
23,922196,1012949,90753,84757
24,964731,1055943,91212,85521
25,1007335,1098026,90691,84615
26,1049935,1139029,89094,83468
27,1092467,1184307,91840,87633
28,1134852,1226700,91848,83420
29,1175947,1268651,92704,84390
30,1218454,1311037,92583,84824
31,1260960,1352948,91988,84472
32,1303588,1395360,91772,84863
33,1346106,1437392,91286,84514
34,1388655,1479641,90986,84857
35,1431330,1521658,90328,84429
36,1473808,1564640,90832,85484
37,1516386,1607041,90655,84840
38,1558892,1648590,89698,84053
39,1601463,1691794,90331,85628
40,1643917,1733227,89310,82620
41,1685152,1774569,89417,83752
42,1727600,1816679,89079,83269
43,1768826,1858937,90111,84664
44,1811299,1901009,89710,84610
45,1853905,1943371,89466,84896
46,1896516,1985156,88640,84090
47,1938889,2027652,88763,84778
48,1981237,2069643,88406,84409
49,2023729,2112006,88277,84887
50,2066320,2153941,87621,84457
51,2108909,2202473,93564,91096
52,2151543,2244374,92831,84309
53,2194019,2286338,92319,84539
54,2236661,2328651,91990,84946
55,2279362,2370591,91229,84435
56,2321923,2411878,89955,83847
57,2364530,2452859,88329,83496
58,2407097,2495333,88236,83607
59,2448296,2537259,88963,84416
60,2490851,2579323,88472,84532
61,2533392,2621684,88292,84772
62,2575871,2663665,87794,84498
63,2618474,2712443,93969,91434
64,2661217,2754941,93724,85237
65,2704023,2796816,92793,84296
66,2746512,2839352,92840,84991
67,2789044,2881445,92401,84630
68,2831648,2922540,90892,83477
69,2874085,2963791,89706,83741
70,2916612,3005986,89374,83372
71,2957857,3047887,90030,84461
72,3000483,3090340,89857,84976
73,3043080,3132347,89267,84778
74,3085918,3174684,88766,85005
75,3128658,3222999,94341,91039
76,3171456,3264641,93185,84251
77,3214133,3306968,92835,84762
78,3256637,3348966,92329,84482
79,3299190,3391249,92059,84885
80,3341865,3432168,90303,83622
81,3384617,3473573,88956,83996
82,3427242,3515703,88461,83206
83,3468386,3557880,89494,84685
84,3510966,3600030,89064,84904
85,3553795,3642364,88569,84786
86,3596319,3684376,88057,84535
87,3638915,3734096,95181,92346
88,3681616,3776667,95051,85332
89,3724447,3818693,94246,84523
90,3767013,3860903,93890,84832
91,3809707,3902867,93160,84747
92,3852558,3944268,91710,84188
93,3895395,3985355,89960,83835
94,3938181,4027654,89473,83435
95,3979390,4069604,90214,84673
96,4022185,4112691,90506,85854
97,4065032,4154819,89787,84807
98,4107783,4197010,89227,84835
99,4150499,4245428,94929,91039
100,4193191,4287365,94174,84655
101,4235979,4329199,93220,84465
102,4278686,4371595,92909,85032
103,4321395,4413603,92208,85214
104,4364674,4455860,91186,84893
105,4407381,4498959,91578,85842
106,4450204,4541318,91114,85055
107,4492971,4583251,90280,84584
108,4535695,4625551,89856,84757
109,4578219,4667604,89385,84738
110,4620976,4710019,89043,85088
111,4663721,4759270,95549,92006
112,4706548,4801990,95442,85401
113,4749301,4844660,95359,85229
114,4791932,4886240,94308,84331
