iteration,actor,exectime
1,D1,102
2,D1,100
3,D1,99
4,D1,114
5,D1,1272
6,D1,1261
7,D1,1256
8,D1,1303
9,D1,1308
10,D1,2202
11,D1,2205
12,D1,2196
13,D1,2172
14,D1,2151
15,D1,3184
16,D1,3170
17,D1,3203
18,D1,3166
19,D1,3077
20,D1,4165
21,D1,4193
22,D1,4197
23,D1,4194
24,D1,4161
25,D1,5165
26,D1,5185
27,D1,5164
28,D1,5182
29,D1,5164
30,D1,6200
31,D1,6224
32,D1,6208
33,D1,6217
34,D1,6366
35,D1,7283
36,D1,7299
37,D1,7163
38,D1,7297
39,D1,7255
40,D1,8296
41,D1,8305
42,D1,8320
43,D1,8282
44,D1,8333
45,D1,9309
46,D1,9185
47,D1,9354
48,D1,9085
49,D1,9168
50,D1,10360
51,D1,10355
52,D1,10259
53,D1,10303
54,D1,10377
55,D1,11357
56,D1,11337
57,D1,11300
58,D1,11324
59,D1,11301
60,D1,12331
61,D1,12307
62,D1,12352
63,D1,12209
64,D1,12346
65,D1,13175
66,D1,13308
67,D1,13352
68,D1,13297
69,D1,13354
70,D1,14319
71,D1,14277
72,D1,14322
73,D1,14301
74,D1,14355
75,D1,15309
76,D1,15300
77,D1,15309
78,D1,15303
79,D1,15337
80,D1,16229
81,D1,16211
82,D1,16083
83,D1,16304
84,D1,16179
85,D1,17300
86,D1,17452
87,D1,17421
88,D1,17103
89,D1,17420
90,D1,18299
91,D1,18470
92,D1,18308
93,D1,18448
94,D1,18449
95,D1,19320
96,D1,19408
97,D1,19242
98,D1,19424
99,D1,19104
100,D1,20298
101,D1,20307
102,D1,20393
103,D1,20332
104,D1,20389
105,D1,21324
106,D1,21403
107,D1,21460
108,D1,21412
109,D1,21293
110,D1,22392
111,D1,22309
112,D1,22401
113,D1,22312
114,D1,22456
115,D1,23224
116,D1,23356
117,D1,23225
118,D1,23177
119,D1,23382
120,D1,24283
121,D1,24378
122,D1,24305
123,D1,24394
124,D1,24225
125,D1,25394
126,D1,25343
127,D1,25361
128,D1,25350
129,D1,25284
130,D1,26198
131,D1,26334
132,D1,26311
133,D1,26358
134,D1,26392
135,D1,27134
