iteration,start,end,latency,execution
1,0,102994,102994,127061
2,901,154410,153509,63299
3,1817,205031,203214,61609
4,2697,256456,253759,63138
5,3601,307438,303837,64939
6,4324,358961,354637,64413
7,5033,410494,405461,61293
8,5737,462720,456983,63149
9,6455,515505,509050,64600
10,7237,567768,560531,65392
11,8025,620401,612376,67342
12,8803,673554,664751,65001
13,9687,726607,716920,66727
14,10571,779338,768767,64213
15,11585,830367,818782,62347
16,12607,883416,870809,63423
17,13430,934334,920904,62499
18,14163,987391,973228,64499
19,14860,1039984,1025124,62966
20,15559,1091348,1075789,61878
21,16295,1143964,1127669,63016
22,17050,1195094,1178044,63039
23,17758,1248080,1230322,64578
24,18561,1301191,1282630,63993
25,19417,1354042,1334625,64783
26,20266,1406508,1386242,63134
27,21120,1457940,1436820,62001
28,22047,1509620,1487573,66195
29,22903,1560712,1537809,60856
30,23619,1613773,1590154,65955
31,24310,1666785,1642475,63629
32,25032,1718595,1693563,61997
33,25787,1771694,1745907,63881
34,26720,1824590,1797870,63306
35,27497,1877171,1849674,64091
36,28213,1930190,1901977,98030
37,29164,1983321,1954157,110249
38,29934,2036084,2006150,111324
39,30518,2087211,2056693,112929
40,31092,2139306,2108214,116105
41,31694,2192225,2160531,114886
42,32240,2245316,2213076,116328
43,32719,2298112,2265393,115086
44,33183,2349031,2315848,113487
45,33703,2401991,2368288,116483
46,34295,2455020,2420725,115337
47,34888,2505804,2470916,113165
48,35473,2557986,2522513,113059
49,36086,2610673,2574587,114540
50,36683,2663673,2626990,114280
51,37158,2716770,2679612,118443
52,37640,2767673,2730033,111808
53,38145,2820634,2782489,113395
54,38610,2871422,2832812,112382
55,39085,2923214,2884129,112944
56,39537,2974675,2935138,113390
57,39995,3027447,2987452,115356
58,40559,3080430,3039871,114828
59,41158,3132198,3091040,113508
60,41747,3184607,3142860,113502
61,42367,3237080,3194713,113200
62,43034,3289111,3246077,114127
63,43568,3341968,3298400,115787
64,44038,3393073,3349035,112314
65,44503,3446047,3401544,114018
66,44987,3496992,3452005,114219
67,45467,3549021,3503554,114774
68,45936,3599895,3553959,112436
69,46517,3653042,3606525,115258
70,47102,3704045,3656943,113659
71,47660,3755824,3708164,162422
72,48252,3808473,3760221,175281
73,48885,3861699,3812814,162741
74,49498,3913682,3864184,166646
75,50044,3966742,3916698,168706
76,50492,4018578,3968086,166377
77,50952,4070728,4019776,166436
78,51399,4122309,4070910,166221
79,51944,4174193,4122249,152054
80,52511,4225577,4173066,176776
81,53131,4278190,4225059,152113
82,53671,4329314,4275643,179161
83,54138,4382345,4328207,167708
84,54695,4435329,4380634,152265
85,55283,4488373,4433090,179059
86,55906,4540939,4485033,152631
87,56469,4591989,4535520,177539
88,56950,4643799,4586849,164972
89,57476,4695058,4637582,165722
90,58068,4747812,4689744,167354
91,58658,4800933,4742275,152066
92,59241,4853716,4794475,178512
93,59740,4904987,4845247,151155
94,60233,4956869,4896636,179732
95,60738,5008708,4947970,165919
96,61289,5061385,5000096,151967
97,61878,5112571,5050693,179122
98,62782,5164734,5101952,166984
99,63268,5217728,5154460,168208
100,63815,5270671,5206856,164264
101,64437,5321557,5257120,163800
102,65059,5372533,5307474,164549
103,65652,5425113,5359461,199298
104,66127,5476393,5410266,238154
105,66666,5529147,5462481,216706
106,67138,5582262,5515124,217483
107,67604,5633290,5565686,213933
108,68152,5685433,5617281,199034
109,68752,5738248,5669496,230915
110,70271,5790151,5719880,217787
111,74771,5842996,5768225,187408
112,78853,5894033,5815180,238273
113,83041,5947122,5864081,208518
114,87177,5997978,5910801,230311
115,92322,6050125,5957803,218140
116,96536,6101043,6004507,186964
117,100706,6153931,6053225,248523
118,104779,6206356,6101577,188196
119,109094,6257841,6148747,244070
120,113878,6311469,6197591,204246
121,118429,6365787,6247358,236195
122,123119,6418772,6295653,217440
123,127243,6471784,6344541,187410
124,131403,6524515,6393112,247157
125,135443,6577354,6441911,204559
126,139667,6630613,6490946,231381
127,145360,6683310,6537950,219856
128,149608,6736444,6586836,186565
129,153768,6789010,6635242,249557
130,157741,6841296,6683555,201714
131,163144,6894047,6730903,234653
132,167401,6946273,6778872,201099
133,171208,6999117,6827909,233796
134,175134,7052077,6876943,200267
135,179061,7105015,6925954,262076
136,183915,7157889,6973974,296317
137,187838,7210916,7023078,268003
138,191712,7263903,7072191,262587
139,196901,7316727,7119826,275886
140,200659,7369758,7169099,232436
141,204556,7422501,7217945,298624
142,208599,7474645,7266046,249669
143,212541,7527509,7314968,242374
144,217472,7580658,7363186,284738
145,221306,7633078,7411772,269552
146,225306,7685421,7460115,262225
147,229288,7738426,7509138,283608
148,233694,7791342,7557648,234173
149,237572,7844198,7606626,297459
150,241537,7897316,7655779,233743
151,246327,7950062,7703735,279219
152,250596,8003071,7752475,266807
153,254557,8055199,7800642,268954
154,258762,8107782,7849020,282418
155,262752,8160905,7898153,232870
156,267560,8213928,7946368,299396
157,271358,8266946,7995588,236256
158,275323,8319702,8044379,288202
159,279275,8372526,8093251,260258
160,283555,8425525,8141970,249781
161,287529,8478650,8191121,283685
162,291435,8531591,8240156,262974
163,296116,8584505,8288389,286251
164,300244,8637415,8337171,249686
165,304176,8690087,8385911,265172
166,308253,8743287,8435034,253560
167,313345,8796306,8482961,323490
168,365695,8849281,8483586,330470
169,434351,8902108,8467757,334172
170,486453,8955031,8468578,308869
171,539118,9007824,8468706,309078
172,592165,9060972,8468807,295585
173,644319,9113867,8469548,350192
174,697262,9166935,8469673,290902
175,750237,9219693,8469456,295381
176,785649,9272506,8486857,318081
177,854023,9325508,8471485,335134
178,889710,9378637,8488927,295747
179,958409,9431485,8473076,348733
180,1011558,9484603,8473045,264834
181,1046242,9537175,8490933,364066
182,1114987,9590331,8475344,280375
183,1150579,9643272,8492693,312677
184,1219594,9696224,8476630,332609
185,1271866,9749268,8477402,320718
186,1325067,9802265,8477198,330636
187,1378025,9855077,8477052,278170
188,1412450,9907934,8495484,350299
189,1480125,9960960,8480835,282992
190,1516425,10013853,8497428,339304
191,1584514,10066949,8482435,309098
192,1638029,10119692,8481663,297131
193,1673107,10172408,8499301,332972
194,1743379,10225502,8482123,312235
195,1795774,10278632,8482858,336170
196,1850956,10331352,8480396,297641
197,1901750,10384650,8482900,313884
198,1954758,10437375,8482617,300524
199,2006629,10490309,8483680,323259
200,2041494,10543273,8501779,315671
201,2107803,10596179,8488376,336334
202,2164480,10649057,8484577,308742
203,2216389,10702257,8485868,309020
204,2270093,10754927,8484834,294631
205,2304250,10807846,8503596,352522
206,2374510,10860960,8486450,290045
207,2427341,10913724,8486383,312420
208,2461427,10966960,8505533,302921
209,2524892,11019674,8494782,353632
210,2582918,11072447,8489529,278099
211,2634425,11125335,8490910,350553
212,2687745,11178575,8490830,280353
213,2722910,11231415,8508505,351566
214,2793456,11284595,8491139,295808
215,2827274,11337195,8509921,296973
216,2894958,11390260,8495302,335482
217,2930078,11443253,8513175,311002
218,3001526,11496221,8494695,337299
219,3052941,11549275,8496334,295731
220,3086927,11602248,8515321,336620
221,3157052,11655158,8498106,299838
222,3210522,11707833,8497311,323949
223,3261099,11760954,8499855,308339
224,3315213,11813713,8498500,313784
225,3348212,11866956,8518744,317123
226,3419393,11919935,8500542,311383
227,3452143,11972406,8520263,335115
228,3521999,12025472,8503473,298528
229,3555908,12077730,8521822,314002
230,3626261,12129245,8502984,299335
231,3659283,12181623,8522340,342508
232,3726199,12234557,8508358,301650
233,3781917,12287635,8505718,333121
234,3834259,12340122,8505863,308592
235,3878392,12393301,8514909,308881
236,3940856,12446250,8505394,311958
237,3972969,12499194,8526225,337307
238,4044302,12552176,8507874,287859
239,4076364,12605275,8528911,333248
240,4138499,12657878,8519379,290142
241,4183894,12710699,8526805,350705
242,4252805,12763942,8511137,277787
243,4284539,12816943,8532404,352634
244,4357057,12869864,8512807,296685
245,4408350,12922354,8514004,333954
246,4461746,12975596,8513850,315395
247,4512491,13028322,8515831,280630
248,4547118,13080942,8533824,354231
249,4617190,13132198,8515008,290145
250,4650565,13185038,8534473,340653
251,4721836,13238216,8516380,315649
252,4772266,13290544,8518278,317933
253,4826961,13342591,8515630,297209
254,4859581,13395034,8535453,327334
255,4922128,13448008,8525880,305400
256,4964315,13500172,8535857,335522
257,5035614,13553222,8517608,296162
258,5067887,13606186,8538299,333980
259,5136861,13658838,8521977,318018
260,5191671,13711928,8520257,317543
261,5244578,13764937,8520359,295363
262,5276200,13817719,8541519,320440
263,5333224,13870896,8537672,329630
264,5399710,13923423,8523713,295616
265,5431281,13976547,8545266,335637
266,5502073,14029486,8527413,317462
267,5555350,14082570,8527220,297641
268,5588047,14135379,8547332,334151
269,5658384,14188557,8530173,319307
270,5711913,14241173,8529260,308147
271,5756111,14294213,8538102,324554
272,5816515,14347099,8530584,296623
273,5849069,14400219,8551150,335995
274,5920325,14453007,8532682,297088
275,5953705,14505284,8551579,334550
276,6024626,14557922,8533296,296403
277,6056550,14610924,8554374,335230
278,6127135,14663904,8536769,317913
279,6180291,14716934,8536643,297906
280,6212664,14769936,8557272,339225
281,14821896,14883630,61734,116984
282,14824868,14935036,110168,68111
283,14827078,14986258,159180,61743
284,14827573,15037965,210392,66198
285,14828063,15091194,263131,63522
286,14828600,15144135,315535,64100
287,14829132,15197233,368101,63452
288,14829700,15250164,420464,65605
289,14830293,15303024,472731,62875
290,14830835,15355672,524837,64593
291,14831369,15408732,577363,62191
292,14831995,15461847,629852,66366
293,14832585,15514924,682339,64960
294,14833195,15567922,734727,61854
295,14833718,15620853,787135,69740
296,14834380,15674227,839847,66755
297,14836341,15725525,889184,61637
298,14836998,15778594,941596,62853
299,14837546,15832163,994617,65672
300,14838064,15883546,1045482,62383
301,14838654,15936363,1097709,63388
302,14839329,15989035,1149706,62100
303,14839951,16042360,1202409,66656
304,14840674,16095257,1254583,63651
305,14841302,16147764,1306462,63470
306,14841950,16199252,1357302,66441
307,14843020,16251870,1408850,63423
308,14844095,16303169,1459074,65316
309,14844647,16356488,1511841,65506
310,14845257,16407902,1562645,60956
311,14845869,16460790,1614921,63731
312,14846478,16513914,1667436,69809
313,14847083,16566899,1719816,62272
314,14847710,16619784,1772074,67815
315,14848303,16672349,1824046,111012
316,14848952,16725505,1876553,113674
317,14849529,16778080,1928551,114158
318,14850085,16829355,1979270,113774
319,14850665,16881747,2031082,115159
320,14851239,16933508,2082269,118806
321,14852191,16986195,2134004,116254
322,14852826,17038314,2185488,112135
323,14853303,17090976,2237673,113887
324,14853911,17144097,2290186,115598
325,14854524,17197259,2342735,114729
326,14855103,17250186,2395083,116083
327,14856042,17302903,2446861,115333
328,14856619,17355657,2499038,113729
329,14857162,17408884,2551722,116033
330,14857709,17461898,2604189,113375
331,14858327,17514556,2656229,116671
332,14858896,17565735,2706839,116470
333,14859488,17618852,2759364,113791
334,14860142,17671556,2811414,114717
