iteration,start,end
1,0,105088
2,894,156275
3,1634,206858
4,2359,257838
5,3056,309061
6,3773,360382
7,4525,411990
8,5245,464774
9,6083,516884
10,7006,569667
11,7962,622023
12,8895,674577
13,9741,725551
14,10515,777601
15,11271,829692
16,12067,882302
17,12939,933376
18,13965,984335
19,15088,1036602
20,16333,1088877
21,17407,1141514
22,18601,1194332
23,19559,1247353
24,20414,1299984
25,21137,1351057
26,21874,1403976
27,22594,1455174
28,23314,1508008
29,24073,1558888
30,24798,1611590
31,25639,1662864
32,26518,1715668
33,27426,1766711
34,28178,1818894
35,28703,1871878
36,29231,1924597
37,29710,1975326
38,30193,2028261
39,30643,2079204
40,31089,2131417
41,31554,2182539
42,32027,2234751
43,32609,2287679
44,33087,2340644
45,33578,2392887
46,34093,2444465
47,34589,2497402
48,35065,2550052
49,35665,2601222
50,36296,2654076
51,36859,2705252
52,37487,2758086
53,38121,2808868
54,38725,2861837
55,39227,2914619
56,39754,2965943
57,40357,3018675
58,40960,3069777
59,41474,3122082
60,41961,3174569
61,42442,3225572
62,43031,3278325
63,43653,3329616
64,44250,3382311
65,44866,3433370
66,45442,3485706
67,45938,3538392
68,46434,3589736
69,47005,3642050
70,47586,3693387
71,48206,3746445
72,48780,3798973
73,49366,3850047
74,49953,3903050
75,50440,3954218
76,50922,4007032
77,51413,4058073
78,51903,4109907
79,52368,4162606
80,52832,4213938
81,53414,4266522
82,54011,4317942
83,54630,4370982
84,55268,4423771
85,55878,4474566
86,56679,4527381
87,57248,4578505
88,57860,4631388
89,58525,4682520
90,59100,4734743
91,59600,4787323
92,60067,4838718
93,60694,4891263
94,61431,4942219
95,62125,4994105
96,62753,5047057
97,63442,5098125
98,64027,5151032
99,64610,5201948
100,65266,5254088
101,65880,5305126
102,66446,5357412
103,66898,5410032
104,67403,5462486
105,67955,5514039
106,68554,5566966
107,69164,5619065
108,69783,5671609
109,70377,5722739
110,71000,5775489
111,71526,5826762
112,71984,5879266
113,72442,5930521
114,72899,5982663
115,73364,6035718
116,73932,6088673
117,74541,6141352
118,75146,6192137
119,75727,6244175
120,76218,6297002
121,76705,6348224
122,77173,6401388
123,77636,6454439
124,78114,6507291
125,78604,6559835
126,79111,6611984
127,79705,6664968
128,80319,6718073
129,80868,6770894
130,81467,6823060
131,82061,6875834
132,82594,6928719
133,83083,6981700
134,83549,7034724
135,84000,7087678
136,84456,7140707
137,84918,7193314
138,85545,7246424
139,86104,7299315
140,86674,7351285
141,87276,7404371
142,87866,7457399
143,88391,7509980
144,89685,7562985
145,91411,7616052
146,94357,7668961
147,94850,7721811
148,95312,7773953
149,96577,7826657
150,99799,7879650
151,100488,7932720
152,101266,7985649
153,103262,8038726
154,106425,8091653
155,107189,8144304
156,107697,8197338
157,109597,8250343
158,112465,8303294
159,112949,8356357
160,113461,8409056
161,113964,8461919
162,117483,8514393
163,158844,8565926
164,210232,8618957
165,265069,8671944
166,314667,8724763
167,366409,8777591
168,422207,8830669
169,475051,8883581
170,527189,8936668
171,579897,8989483
172,632574,9041710
173,677913,9094215
174,736242,9146923
175,787915,9198217
176,840109,9250286
177,886690,9303262
178,936957,9355374
179,994719,9408305
180,1047365,9460932
181,1100429,9513992
182,1152689,9566854
183,1205519,9618933
184,1258152,9671949
185,1303553,9724907
186,1362529,9777581
187,1407935,9830323
188,1466000,9881612
189,1511729,9934584
190,1563556,9987557
191,1615903,10039564
192,1669455,10092635
193,1719608,10145263
194,1777980,10198051
195,1830230,10250334
196,1883380,10303115
197,1927895,10355344
198,1986845,10408285
199,2032110,10460859
200,2092105,10513980
201,2134939,10566881
202,2194255,10619631
203,2246384,10670969
204,2299262,10723994
205,2352137,10776445
206,2397051,10828654
207,2455923,10881594
208,2508817,10934544
209,2553844,10987499
210,2613150,11039664
211,2657736,11092617
212,2716529,11145317
213,2761545,11198099
214,2820143,11250336
215,2866766,11303233
216,2920303,11355873
217,2977442,11406957
218,3022403,11459891
219,3081213,11512725
220,3133572,11564950
221,3178298,11617981
222,3237561,11670879
223,3282051,11722966
224,3341088,11775935
225,3385977,11828631
226,3445029,11881573
227,3490872,11934293
228,3543392,11985448
229,3601887,12037645
230,3645506,12090577
231,3705034,12143189
232,3758118,12196278
233,3802658,12249321
234,3862419,12302020
235,3906896,12354298
236,3965996,12407271
237,4010633,12459829
238,4069208,12511961
239,4115347,12564931
240,4167302,12617963
241,4225781,12670946
242,4270633,12723619
243,4329748,12774840
244,4382832,12827596
245,4427197,12880552
246,4486524,12933646
247,4531285,12986487
248,4590499,13038640
249,4635304,13091552
250,4694657,13144309
251,4739319,13197245
252,4792057,13250305
253,4851124,13303256
254,4895243,13355826
255,4954289,13406869
256,5006235,13459878
257,5051247,13511945
