iteration,start,end,latency,execution
1,0,82507,82507,112750
2,1936,123268,121332,88386
3,12999,163855,150856,95064
4,23910,205204,181294,98964
5,34624,246400,211776,96636
6,46792,287356,240564,93287
7,56389,327967,271578,118669
8,70249,370069,299820,93962
9,83375,411523,328148,89191
10,92202,453615,361413,95492
11,103261,496119,392858,105623
12,114889,538299,423410,92421
13,125042,579272,454230,93135
14,136281,620554,484273,99032
15,147866,662566,514700,100776
16,159008,704538,545530,133556
17,170304,747063,576759,134464
18,181677,788921,607244,114893
19,192174,831584,639410,127563
20,203362,879000,675638,141553
21,214800,921240,706440,123949
22,226203,963565,737362,129683
23,237743,1005487,767744,128029
24,248663,1047219,798556,128806
25,259343,1088891,829548,122843
26,270193,1131476,861283,127257
27,280984,1179733,898749,134817
28,292036,1222342,930306,137535
29,303227,1264571,961344,125776
30,314681,1305456,990775,129466
31,326310,1347344,1021034,131481
32,338404,1390241,1051837,147538
33,349998,1432311,1082313,120871
34,361484,1474692,1113208,130590
35,373395,1517410,1144015,131198
36,385028,1559809,1174781,141374
37,396785,1602207,1205422,122544
38,408257,1643870,1235613,163124
39,419985,1685171,1265186,169459
40,432143,1727128,1294985,167856
41,444906,1768500,1323594,154856
42,457043,1810851,1353808,163518
43,469339,1852918,1383579,164575
44,482289,1894873,1412584,173780
45,494844,1936085,1441241,154029
46,507336,1978177,1470841,164777
47,520105,2019519,1499414,163557
48,532477,2061746,1529269,164306
49,542976,2103912,1560936,157423
50,553750,2146157,1592407,159386
51,564880,2188254,1623374,159534
52,576298,2230514,1654216,167993
53,588046,2272580,1684534,155963
54,600258,2314837,1714579,163396
55,612644,2356840,1744196,170611
56,625422,2399323,1773901,172260
57,637874,2442294,1804420,150960
58,650246,2485058,1834812,166798
59,663126,2527484,1864358,165055
60,675445,2569491,1894046,186864
61,687776,2611842,1924066,194430
62,700115,2653863,1953748,193467
63,712339,2696166,1983827,201190
64,724682,2738906,2014224,204804
65,737174,2780450,2043276,175576
66,749693,2822506,2072813,194343
67,762187,2864910,2102723,196608
68,775245,2907574,2132329,189534
