iteration,start,end,latency,execution
1,0,11305,11305,41456
2,967,17943,16976,18253
3,1651,20876,19225,12639
4,2337,26831,24494,17820
5,3058,29993,26935,13533
6,3856,34818,30962,16231
7,4569,39741,35172,16451
8,5270,44414,39144,15830
9,5997,48877,42880,15298
10,6815,53681,46866,16337
11,7592,58946,51354,17286
12,8338,64538,56200,19053
13,9111,68927,59816,15579
14,9847,73062,63215,16649
15,10579,77437,66858,14613
16,11391,81672,70281,14286
17,12284,85820,73536,14294
18,13030,90000,76970,14788
19,13728,95014,81286,17134
20,14422,99146,84724,14619
21,15186,103277,88091,14707
22,15916,107382,91466,14314
23,16618,111466,94848,14369
24,17313,115555,98242,15002
25,18105,120565,102460,16986
26,18839,124713,105874,14453
27,19535,128813,109278,14354
28,20256,132921,112665,14272
29,20976,137054,116078,14572
30,21679,141175,119496,15051
31,22409,145861,123452,16793
32,23416,150011,126595,14828
33,24173,153802,129629,14461
34,25054,157672,132618,12720
35,25686,161592,135906,13104
36,26165,165469,139304,12848
37,26640,170332,143692,18315
38,27223,174216,146993,17846
39,27809,178157,150348,17784
40,28395,182045,153650,17652
41,28990,185958,156968,17547
42,29561,189806,160245,18145
43,30075,194269,164194,18245
44,30546,198200,167654,18002
45,31045,202139,171094,17630
46,31514,206045,174531,16897
47,31970,210022,178052,17091
48,32427,213960,181533,17003
49,32895,218888,185993,20042
50,33463,222822,189359,17121
51,34055,226795,192740,18215
52,34699,230722,196023,17224
53,35332,234688,199356,17042
54,35874,238619,202745,16846
55,36348,243119,206771,18468
56,36817,247047,210230,16815
57,37288,251043,213755,17961
58,37769,254966,217197,16815
59,38227,258922,220695,16890
60,38700,262774,224074,16625
61,39184,267636,228452,19851
62,39764,271476,231712,16793
63,40368,275364,234996,17475
64,40952,279216,238264,16908
65,41553,283098,241545,17183
66,42349,286913,244564,16283
67,42830,291306,248476,18020
68,43304,295158,251854,16374
69,43776,299063,255287,17531
70,44275,302898,258623,16580
71,44887,306810,261923,16764
72,45479,310682,265203,16600
73,46071,315483,269412,21954
74,46644,319363,272719,21599
75,47097,323283,276186,20618
76,47547,327153,279606,21133
77,48002,331033,283031,20893
78,48469,334881,286412,20887
79,48954,339279,290325,21208
80,49425,343134,293709,20195
81,49885,347010,297125,21088
82,50341,350814,300473,20186
83,50892,354682,303790,20893
84,51412,358554,307142,20288
85,51973,363328,311355,22903
86,52520,367123,314603,19941
87,53051,370943,317892,20441
88,53518,374728,321210,19919
89,54063,378566,324503,20989
90,54612,382362,327750,19895
91,55064,386737,331673,21531
92,55508,390540,335032,19869
93,55965,394395,338430,21038
94,56485,398172,341687,19855
95,57039,402031,344992,20531
96,57507,405862,348355,20089
97,58058,410672,352614,22790
98,58639,414428,355789,19603
99,59244,418279,359035,20395
100,59833,422061,362228,19693
101,60436,425949,365513,20929
102,61014,429741,368727,19564
103,61487,434126,372639,21402
104,61948,437940,375992,19691
105,62408,441794,379386,20653
106,62877,445598,382721,19620
107,63348,449476,386128,20425
108,63819,453323,389504,19964
109,64440,458145,393705,27118
110,69335,462058,392723,24902
111,74710,465945,391235,23339
112,78127,469823,391696,23569
113,82284,473747,391463,24646
114,86390,477626,391236,23948
115,90949,482071,391122,25742
116,95616,486045,390429,23857
117,99703,489992,390289,24623
118,103831,493899,390068,23578
119,107932,497865,389933,24167
120,112024,501769,389745,23574
121,116120,506699,390579,27485
122,121116,510564,389448,23630
123,125339,514512,389173,24072
124,129343,518440,389097,23637
125,133478,522389,388911,24584
126,137602,526341,388739,23637
127,141725,530807,389082,25694
128,146396,534716,388320,23551
129,150590,538655,388065,24420
130,154573,542476,387903,23032
131,158475,546396,387921,23838
132,162393,550278,387885,23173
133,166283,555270,388987,27536
134,171128,559362,388234,23878
135,175096,563338,388242,23964
136,178966,567267,388301,23385
137,182885,571329,388444,24684
138,186781,575246,388465,23279
139,190596,579841,389245,25974
140,195062,583758,388696,23431
141,199033,587691,388658,24346
142,202939,591610,388671,23488
143,206874,595611,388737,24099
144,210810,599507,388697,23413
145,214776,604350,389574,27147
146,219672,608411,388739,23963
147,223708,613898,390190,28297
148,227567,618119,390552,24542
149,231550,622394,390844,25422
150,235491,627010,391519,25393
151,239421,631401,391980,25424
152,243866,635678,391812,24463
153,247866,640033,392167,25732
154,251807,644425,392618,24886
155,255777,648692,392915,25046
156,259721,652822,393101,24050
157,263580,657011,393431,25097
158,268454,661165,392711,24172
159,272396,665397,393001,24709
160,276137,670061,393924,25586
161,280016,674302,394286,25285
162,283883,678484,394601,24050
163,287693,682717,395024,24779
164,292080,686926,394846,24147
165,295968,691177,395209,25467
166,299861,695388,395527,24400
167,303717,699621,395904,24824
168,307563,703797,396234,24179
169,311453,708004,396551,25289
170,316250,712180,395930,24265
171,320226,716379,396153,24839
172,324053,720564,396511,24211
173,327949,724775,396826,25219
174,331826,728931,397105,24292
175,335688,733134,397446,24644
176,340041,737305,397264,24235
177,343937,741509,397572,25214
178,347812,746227,398415,25947
179,351639,750287,398648,25660
180,355506,754206,398700,23880
181,359369,758192,398823,24877
182,364114,762046,397932,23937
183,368019,765933,397914,23678
184,371718,769816,398098,23650
185,375540,773731,398191,24851
186,379376,777613,398237,23694
187,383186,781507,398321,24219
188,387527,785357,397830,23533
189,391384,789221,397837,23478
190,395189,793055,397866,23417
191,399025,796947,397922,24145
192,402857,800776,397919,23904
193,406686,804674,397988,24564
194,411463,808497,397034,23452
195,415351,812346,396995,23380
196,419125,816150,397025,23341
197,422928,819998,397070,24551
198,426789,823790,397001,23466
199,430562,827625,397063,24036
200,434937,831426,396489,23358
201,438775,835296,396521,23669
202,442608,839121,396513,23375
203,446409,842990,396581,24225
204,450266,846818,396552,23477
205,454129,850736,396607,24658
206,458987,854595,395608,23748
207,462979,858486,395507,23523
208,466771,862364,395593,23633
209,470658,866277,395619,24607
210,474537,870156,395619,24443
