iteration,start,end
1,0,11069
2,843,13503
3,1687,18040
4,2587,22287
5,3407,27320
6,4150,31748
7,4853,36868
8,5558,41538
9,6264,46000
10,6959,50880
11,7661,55679
12,8349,60452
13,9165,65447
14,9969,70546
15,10794,74636
16,11709,79029
17,12525,83331
18,13384,87463
19,14324,91625
20,15036,95990
21,15734,101052
22,16445,105185
23,17138,109292
24,17861,113396
25,18585,117524
26,19295,121669
27,20093,125795
28,20982,129890
29,21812,134065
30,22556,138211
31,23265,142367
32,23993,146502
33,24900,151223
34,25702,155141
35,26298,159046
36,27049,162958
37,27794,166876
38,28487,170788
39,29081,174674
40,29687,178585
41,30327,182466
42,30925,186364
43,31422,190252
44,31928,194189
45,32423,199033
46,32896,202967
47,33363,206916
48,33842,210888
49,34437,214855
50,35029,218801
51,35600,222736
52,36166,226688
53,36781,230635
54,37386,234611
55,37979,238537
56,38568,242505
57,39157,247429
58,39719,251385
59,40198,255341
60,40670,259279
61,41280,263228
62,41936,267147
63,42515,271056
64,43113,274993
65,43708,278927
66,44301,282774
67,44868,286684
68,45474,290576
69,46073,295434
70,46649,299344
71,47138,303211
72,47580,307144
73,48135,311065
74,48718,314974
75,49291,318845
76,49850,322741
77,50437,326673
78,51015,330557
79,51561,334469
80,52088,338368
81,52660,343197
82,53215,347055
83,53675,350910
84,54139,354765
85,54685,358621
86,55277,362444
87,55885,366243
88,56523,370092
89,57118,373932
90,57703,377730
91,58264,381625
92,58739,385461
93,59209,390278
94,59775,394101
95,60325,397950
96,60811,401786
97,61371,405622
98,62300,409431
99,62889,413233
100,63458,417068
101,64030,420940
102,64576,424763
103,65150,428592
104,65718,432438
105,66297,437203
106,66873,441062
107,67338,444901
108,67776,448784
109,68315,452691
110,68882,456602
111,70942,460470
112,75338,464372
113,79742,468296
114,83832,472213
115,88117,476153
116,92322,480109
117,96615,484980
118,101622,488963
119,105742,492912
120,109844,496867
121,114041,500807
122,118091,504763
123,122211,508791
124,126358,512739
125,130447,516706
126,134620,520667
127,138877,524561
128,142906,528522
129,147061,533321
130,152038,537276
131,155928,541194
132,159831,545117
133,163839,549052
134,167674,552986
135,171544,557231
136,175489,561337
137,179337,565256
138,183255,569236
139,187224,573298
140,191033,577293
141,194977,581892
142,199823,585825
143,203763,589795
144,207717,593763
145,211749,597708
146,215657,601622
147,219581,605782
148,223509,611900
149,227456,616160
150,231433,620339
151,235482,624572
152,239341,628999
153,243285,633231
154,248230,637367
155,252213,641565
156,256129,646015
157,260144,650127
158,264039,654316
159,267923,658464
160,271841,662578
161,275819,666684
162,279732,670791
163,283659,674920
164,287496,679089
165,291382,683273
166,296206,687457
167,300145,691618
168,304045,695783
169,308039,699932
170,311883,704075
171,315785,708215
172,319660,712366
173,323560,716532
174,327490,720669
175,331456,724798
176,335287,728939
177,339169,733106
178,344014,737242
179,347863,742379
180,351710,746388
181,355664,750290
182,359431,754225
183,363230,758148
184,367046,762081
185,370883,766023
186,374752,770002
187,378649,773935
188,382444,777798
189,386263,781674
190,391074,785597
191,394901,789518
192,398800,793391
193,402686,797303
194,406439,801228
195,410229,805103
196,414074,808971
197,417904,812822
198,421793,816680
199,425680,820521
200,429414,824413
201,433236,828262
202,438061,832159
203,441915,836040
204,445737,839972
205,449712,843865
206,453480,847774
207,457401,851686
208,461296,855588
209,465154,859488
210,469109,863404
211,473116,867328
212,476954,871313
213,480930,875186
214,485821,879078
215,489817,882949
216,493715,886836
217,497804,890651
218,501647,894464
219,505685,898275
220,509644,902108
221,513564,905979
222,517538,909798
223,521561,913637
224,525364,917480
225,529331,921309
226,534158,925108
227,538116,928921
228,542040,932733
229,546037,936550
230,549924,940379
231,553913,944171
232,558284,947962
233,562213,951776
234,566073,955570
235,570147,959373
236,574193,963180
237,578118,966983
238,582716,970771
239,586909,974536
240,590579,978276
241,594637,982067
242,598508,985846
243,602757,989610
244,991147,1000330
245,991827,1000676
246,992346,1002626
247,992862,1005252
248,993375,1006962
249,993914,1007509
250,994457,1009611
251,994933,1010289
252,995467,1012419
253,996069,1013879
254,996634,1016312
255,997128,1017406
256,999159,1019185
257,999711,1020907
258,1000248,1022360
259,1000896,1024385
260,1001706,1025793
261,1002543,1027594
262,1003321,1029823
263,1004179,1031625
264,1005030,1032614
265,1005630,1034692
266,1006161,1039157
267,1006736,1039626
268,1007379,1040142
269,1007973,1040651
270,1008588,1042880
271,1009174,1044572
272,1010110,1046404
273,1011450,1047771
274,1012025,1049412
275,1012517,1053785
276,1013023,1054032
277,1013555,1054384
278,1014091,1055898
279,1014697,1056968
280,1015400,1061044
281,1016420,1061432
282,1016975,1061753
283,1017587,1063322
284,1018603,1068014
285,1019410,1068310
286,1023420,1068551
287,1024232,1069293
288,1024838,1070861
289,1025460,1072471
290,1026045,1073994
291,1026623,1075455
292,1027278,1076943
293,1027823,1078537
294,1028364,1080057
295,1028892,1081632
296,1029737,1083149
297,1030334,1084638
298,1030964,1086222
299,1031578,1087745
300,1032216,1089283
301,1032744,1090869
302,1033324,1092751
303,1033890,1095611
304,1034447,1095849
305,1034970,1097061
306,1035452,1098562
307,1036091,1100079
308,1036646,1101582
309,1037185,1103018
310,1037879,1104576
311,1038500,1106107
312,1039132,1107767
313,1040017,1111072
314,1040695,1111600
315,1041275,1112724
316,1041896,1114138
317,1042407,1115629
318,1042935,1117157
319,1043539,1118877
320,1044125,1120311
321,1044725,1121879
322,1045341,1123388
323,1046020,1125503
324,1046599,1126937
325,1047159,1129048
326,1047719,1130155
327,1048339,1131473
328,1048966,1133024
329,1049594,1134524
330,1050219,1136065
331,1050806,1137735
332,1054021,1139171
333,1054651,1140739
334,1055269,1142226
335,1055902,1143796
336,1056492,1145391
337,1057032,1146859
338,1057547,1148404
339,1058157,1149973
340,1058748,1151631
341,1059299,1153808
342,1059920,1154651
343,1060516,1156303
344,1061107,1157873
345,1061737,1159824
346,1062342,1161230
347,1062993,1162814
348,1063593,1164318
349,1064149,1165870
350,1064725,1167442
351,1065328,1168995
352,1065874,1170626
353,1066403,1172986
354,1067002,1173653
355,1067589,1175277
356,1068239,1176780
357,1068848,1178356
358,1069426,1179862
359,1070034,1181518
360,1070659,1183030
361,1071146,1184552
362,1071602,1186118
363,1072188,1187664
364,1072732,1189220
365,1073245,1191247
366,1073865,1192306
367,1074439,1193896
368,1075016,1195995
369,1075591,1196996
370,1076148,1198519
371,1079330,1200120
372,1079838,1201695
373,1080314,1203153
374,1080787,1204734
375,1081251,1206309
376,1081780,1207831
377,1082290,1209913
378,1082792,1210892
379,1083287,1212541
380,1083793,1214744
381,1084391,1215580
382,1084929,1217088
383,1085498,1218697
384,1086055,1220271
385,1086603,1221774
386,1087156,1223359
387,1087802,1224893
388,1088399,1226469
389,1088978,1228520
390,1089614,1229497
391,1090190,1231166
392,1090864,1234297
393,1091374,1234301
394,1091841,1235787
395,1092482,1237373
396,1093065,1238926
397,1093638,1240431
398,1094229,1242000
399,1095390,1243528
400,1096025,1245121
401,1096619,1248183
402,1097640,1248366
403,1099049,1249664
