iteration,start,end
1,0,6983
2,810,8388
3,1510,10890
4,2190,14772
5,2918,14778
6,3602,15898
7,4301,16783
8,5011,18414
9,5766,23743
10,6470,23749
11,7167,23832
12,7953,25318
13,8890,27028
14,9757,29194
15,10462,31192
16,11190,33115
17,11926,34746
18,12680,36148
19,13408,37670
20,14162,39834
21,14944,41355
22,15697,42723
23,16395,44180
24,17195,46397
25,18084,47910
26,18901,49332
27,19613,51071
28,20303,53187
29,21053,54651
30,21759,56037
31,22479,57587
32,23202,59785
33,23904,61432
34,24628,62631
35,25093,64029
36,25656,66054
37,26249,67688
38,26846,68980
39,27382,70295
40,27859,71896
41,28348,73796
42,28831,75095
43,29322,76371
44,29851,77588
45,30547,79660
46,31188,81734
47,31924,83405
48,32524,84728
49,33139,86397
50,33721,88205
51,34272,89490
52,34767,90766
53,35254,92031
54,35732,93295
55,36231,94542
56,36712,96304
57,37198,97097
58,37708,98423
59,38207,99736
60,38786,101708
61,39397,103266
62,40002,104513
63,40576,105754
64,41172,107034
65,41680,108295
66,42159,109526
67,42630,110755
68,43180,112671
69,43643,113280
70,44337,114535
71,44808,115855
72,45388,117834
73,45992,119308
74,46600,120537
75,47174,121786
76,47648,123060
77,48155,124309
78,48645,125556
79,49113,126764
80,49567,128543
81,50029,129255
82,50487,130494
83,51013,131871
84,51617,133543
85,52233,134778
86,52859,136021
87,53432,137313
88,53910,138590
89,54497,139843
90,55118,141086
91,55709,142340
92,56300,144692
93,56911,144822
94,57522,146056
95,58035,147266
96,58616,148539
97,59229,149772
98,59878,151007
99,60467,152242
100,60941,153535
101,61510,154820
102,62159,156084
103,62770,157356
104,63375,159777
105,63982,159952
106,64581,161218
107,65061,162486
108,65598,163725
109,66185,165056
110,66788,166316
111,67311,167555
112,67764,168824
113,68321,170079
114,68895,171294
115,69473,172501
116,70041,174946
117,70624,174950
118,71211,176216
119,71676,177449
120,72226,178758
121,72904,180006
122,73482,181245
123,74048,182494
124,74518,183776
125,75091,185049
126,75686,186306
127,76263,187565
128,76833,190043
129,77414,190147
130,78001,191450
131,78525,192728
132,79092,194111
133,79742,195356
134,80589,196720
135,81298,198027
136,81859,199381
137,82595,200721
138,83225,202074
139,83853,203372
140,84418,204653
141,85019,205965
142,85595,207264
143,86085,208598
144,86621,209919
145,87903,211241
146,88362,212575
147,89050,213908
148,90317,215283
149,91804,216630
150,92979,217985
151,94224,219342
152,95390,220657
153,96722,222049
154,100014,223464
155,100538,224881
156,101098,226312
157,102613,227665
158,104128,229081
159,105349,230424
160,106626,231844
161,108079,233229
162,109217,234605
163,110384,235971
164,111640,237294
165,112885,238673
166,115913,240051
167,116377,241453
168,116916,242817
169,118704,244174
170,120124,245576
171,121343,246919
172,122595,248349
173,124055,249759
174,125210,251160
175,126426,252544
176,127537,253981
177,128759,255415
178,131759,256820
179,132220,258203
180,132751,259614
181,134407,261054
182,135655,262449
183,136925,263774
184,138181,265181
185,139628,266582
186,140746,267963
187,141986,269330
188,143785,270721
189,144413,272125
190,147470,273490
191,147942,274879
192,148482,276332
193,149467,277728
194,150646,279155
195,151856,280507
196,153118,281965
197,154590,283396
198,155719,284805
199,156981,286215
200,158767,287648
201,159499,289091
202,162503,290464
203,162961,291935
204,163495,293415
205,164679,294883
206,165928,296371
207,167151,297797
208,168453,299303
209,169849,300777
210,170992,302253
211,172165,303703
212,173901,305172
213,174579,307682
214,177610,308075
215,178074,309535
216,178621,311039
217,179666,312487
218,180889,313983
219,182114,315403
220,183372,316914
221,184815,318407
222,185955,319892
223,187188,321351
224,188970,322850
225,189697,325301
226,192689,325803
227,193176,327300
228,193732,328830
229,195017,330324
230,196292,331851
231,197584,333321
232,198895,334870
233,200418,336387
234,201594,337901
235,202969,339399
236,205044,340894
237,205497,343469
238,207494,343948
239,208112,345509
240,209497,347002
241,210951,348522
242,212058,350065
243,213296,351548
244,214718,353110
245,216327,354618
246,217667,356126
247,218803,357633
248,220706,359137
249,221554,361865
250,223852,362112
251,224401,363596
252,225836,365120
253,227265,366575
254,228643,368065
255,229897,369472
256,231312,370971
257,232905,372415
258,234251,373852
259,235397,375259
260,237331,376681
261,238161,379233
262,239804,379498
263,241015,380904
264,242325,382423
265,243767,383841
266,245080,385335
267,246355,386767
268,247764,388265
269,249384,389729
270,250667,391230
271,251954,392719
272,254242,394225
273,255872,396834
274,257357,397206
275,257892,398722
276,259139,400274
277,260607,401788
278,261910,403338
279,263262,404794
280,264613,406339
281,266206,407849
282,267503,409386
283,268780,410912
284,271057,412455
285,272709,413981
286,273172,415539
287,274634,417142
288,275835,418673
289,277271,420217
290,278598,421804
291,279961,423312
292,281353,424909
293,283003,426460
294,284275,428031
295,285631,429560
296,287948,431123
297,289503,432626
298,289972,434180
299,291449,435757
300,292890,437285
301,294348,438820
302,295749,440391
303,297178,441883
304,298663,443446
305,300323,444962
306,301655,446485
307,303086,448015
308,305337,449521
309,306882,451003
310,307492,452498
311,309023,454005
312,310463,455554
313,311979,457075
314,313349,458641
315,314786,460139
316,316280,461717
317,317935,463252
318,319248,464794
319,320697,466310
320,322936,467846
321,324413,469362
322,325202,470888
323,326766,472455
324,328255,473975
325,329781,475490
326,331185,477071
327,332651,478569
328,334196,480154
329,335888,481699
330,337248,483257
331,338705,484799
332,340984,486359
333,342480,487891
334,343314,489444
335,344913,491053
336,346903,492613
337,347954,494183
338,349412,495789
339,350882,497330
340,352417,498947
341,354128,500535
342,355476,502129
343,356932,503693
344,359284,505260
345,360872,506798
346,361486,508351
347,363005,509950
348,364850,511494
349,366050,513038
350,367438,514620
351,368877,516129
352,370339,517743
353,371988,519310
354,373283,520883
355,374650,522436
356,376831,523967
357,378340,525474
358,378951,526988
359,380380,528539
360,382264,530032
361,383357,531508
362,384714,533009
363,386130,534476
364,387630,536015
365,389294,537535
366,390612,539054
367,392031,540563
368,394361,542098
369,395922,543590
370,396570,545117
371,398091,546695
372,400125,548224
373,401223,549746
374,402658,551323
375,404143,552815
376,405666,554394
377,407360,555983
378,408739,557715
379,410193,559385
380,412501,560947
381,414097,564218
382,414840,564223
383,416430,565522
384,418478,567087
385,419614,568622
386,421092,570211
387,422614,571712
