step,start,end,latency,execution
1,0,118534,118534,161303
2,42866,160162,117296,84843
3,86107,201994,115887,84980
4,129306,243324,114018,84293
5,172322,284735,112413,86889
6,217857,325472,107615,83717
7,260875,366437,105562,84120
8,304072,408336,104264,85739
9,347958,450523,102565,86095
10,391937,492591,100654,86460
11,436407,533791,97384,85646
12,480910,574979,94069,85622
13,525385,617268,91883,85777
14,568940,659337,90397,86479
15,613422,701674,88252,87466
16,658621,743839,85218,86599
17,703126,790601,87475,91053
18,747490,832990,85500,86685
19,791855,875765,83910,86972
20,836123,917289,81166,85814
21,880445,960223,79778,85909
22,923489,1001480,77991,85662
23,967925,1044832,76907,86522
24,1011174,1095861,84687,95333
25,1055544,1138310,82766,86681
26,1099847,1183818,83971,89963
27,1144396,1225183,80787,86239
28,1189303,1267512,78209,85351
29,1232391,1319466,87075,96402
30,1276916,1361600,84684,86439
31,1321293,1405458,84165,88324
32,1365831,1446572,80741,85665
33,1410414,1488907,78493,85275
34,1453413,1531961,78548,87494
35,1497888,1575067,77179,86129
36,1540990,1621233,80243,90467
37,1585359,1666400,81041,89523
38,1629744,1709170,79426,85702
39,1672720,1750773,78053,84432
40,1715590,1793702,78112,86094
41,1758821,1845533,86712,96080
42,1803141,1887110,83969,85995
43,1847593,1929227,81634,85166
44,1890714,1980118,89404,95617
45,1935522,2023069,87547,87488
46,1980129,2064375,84246,85984
47,2024839,2106996,82157,85578
48,2067869,2148743,80874,86330
49,2112489,2190594,78105,84751
50,2155458,2239111,83653,92952
51,2199966,2286985,87019,92884
52,2245047,2329131,84084,86646
53,2289608,2378088,88480,93688
54,2334420,2420313,85893,86747
55,2379014,2462664,83650,86770
56,2423496,2514344,90848,96342
57,2468240,2560044,91804,90337
58,2512978,2601523,88545,86246
59,2557777,2643570,85793,85184
60,2600989,2685083,84094,86018
61,2645527,2727830,82303,85729
62,2688581,2769209,80628,85926
63,2733160,2812225,79065,86151
64,2776359,2857530,81171,89788
65,2820886,2899655,78769,85012
66,2863841,2949626,85785,94420
67,2908361,2990937,82576,85763
68,2952846,3032993,80147,85043
69,2995902,3084144,88242,95871
70,3040706,3126678,85972,87041
71,3085285,3168400,83115,86241
72,3129837,3210458,80621,85042
73,3172891,3256530,83639,90548
74,3217437,3305380,87943,93483
75,3262154,3346764,84610,86042
76,3306847,3389132,82285,85325
77,3349876,3437917,88041,93514
78,3394687,3480800,86113,87360
79,3439224,3522233,83009,85881
80,3483702,3564473,80771,85148
81,3526679,3615531,88852,95708
82,3571412,3658005,86593,86934
83,3615942,3699537,83595,86043
84,3660490,3741892,81402,85228
85,3703431,3787004,83573,89563
86,3747954,3835680,87726,93390
87,3792752,3877088,84336,86447
88,3837823,3919279,81456,85071
89,3880773,3969404,88631,94906
90,3925636,4012115,86479,87217
91,3970214,4053618,83404,85976
92,4014736,4095648,80912,85003
93,4057780,4146898,89118,96014
94,4102627,4189908,87281,87466
95,4147154,4231078,83924,85609
96,4191641,4273098,81457,84976
97,4234668,4318431,83763,89807
98,4279215,4366997,87782,93195
99,4323926,4408440,84514,86514
100,4369028,4450637,81609,85145
101,4412047,4500526,88479,94639
102,4456880,4542579,85699,86579
103,4501468,4583814,82346,85749
104,4546014,4626120,80106,85189
105,4588953,4678134,89181,96696
106,4633719,4721101,87382,87470
107,4678293,4762421,84128,85775
108,4722781,4804678,81897,85185
109,4765781,4849682,83901,89517
110,4810389,4898368,87979,93122
111,4854905,4940009,85104,86575
112,4899872,5006394,106522,109250
113,4942814,5067196,124382,105351
114,4987445,5126013,138568,103303
115,5031979,5188095,156116,106701
116,5076644,5248485,171841,103429
117,5119766,5307426,187660,103536
118,5164423,5369334,204911,106400
119,5208976,5429689,220713,105073
120,5253752,5489024,235272,102400
121,5296877,5550451,253574,106080
122,5341602,5612441,270839,106464
123,5386242,5674193,287951,106873
124,5431421,5735153,303732,104068
125,5474611,5795765,321154,105109
126,5520142,5856493,336351,107081
127,5861393,6015860,154467,199074
128,5906044,6057597,151553,85084
129,5949437,6101667,152230,87149
130,5992579,6142597,150018,85708
131,6037390,6194277,156887,94761
132,6080532,6235678,155146,86600
133,6125763,6279642,153879,86967
134,6168832,6321215,152383,86201
135,6213494,6367180,153686,89045
136,6256640,6409155,152515,86594
137,6301312,6464112,162800,98142
138,6344551,6505657,161106,86052
139,6389118,6548502,159384,87148
