iteration,actor,exectime
1,D,30168
2,D,30224
3,D,30195
4,D,30220
5,D,30252
6,D,30231
7,D,30301
8,D,30413
9,D,30350
10,D,30122
11,D,30166
12,D,30206
13,D,30197
14,D,30171
15,D,30320
16,D,30178
17,D,30210
18,D,30157
19,D,30342
20,D,30207
21,D,30347
22,D,30440
23,D,30262
24,D,30257
25,D,30221
26,D,30160
27,D,30207
28,D,30160
29,D,30328
30,D,30170
31,D,30184
32,D,30187
33,D,30163
34,D,30284
35,D,30135
36,D,30243
37,D,30176
38,D,30202
39,D,30350
40,D,30351
41,D,30298
42,D,30184
43,D,30170
44,D,30176
45,D,30312
46,D,30281
47,D,30387
48,D,30157
49,D,30258
50,D,30157
51,D,30350
52,D,30361
53,D,30089
54,D,30161
55,D,30085
56,D,30234
57,D,30265
58,D,30153
59,D,30229
60,D,30306
61,D,30086
62,D,30157
63,D,30211
64,D,30333
65,D,30372
66,D,30175
67,D,30358
68,D,30306
69,D,30203
70,D,30363
71,D,30081
72,D,30206
73,D,30207
74,D,30216
75,D,30209
76,D,30274
77,D,30267
78,D,30353
79,D,30296
80,D,30235
81,D,30321
82,D,30282
83,D,30289
84,D,30308
85,D,30158
86,D,30255
87,D,30299
88,D,30288
89,D,30116
90,D,30266
91,D,30351
92,D,30207
93,D,30214
94,D,30360
95,D,30291
96,D,30206
97,D,30300
98,D,30116
99,D,30358
100,D,30343
101,D,30294
102,D,30323
103,D,30377
104,D,30223
105,D,30316
106,D,30088
107,D,30280
108,D,30166
109,D,30258
110,D,30409
111,D,30327
112,D,60329
113,D,60307
114,D,60476
115,D,60385
116,D,60276
117,D,60434
118,D,60227
119,D,60454
120,D,60399
121,D,60473
122,D,60417
123,D,60490
124,D,60168
125,D,60321
126,D,61680
127,D,60877
128,D,60659
129,D,60892
130,D,60706
131,D,60946
132,D,60324
132,Z3,30290
133,D,60287
133,Z3,60201
134,D,60328
134,Z3,60296
135,D,60250
135,Z3,60299
136,D,60347
136,Z3,60550
137,D,60134
137,Z3,60289
138,D,60236
138,Z3,60610
139,D,60195
139,Z3,60613
140,D,60365
140,Z3,60761
141,D,60306
141,Z3,60111
142,D,60285
142,Z3,60285
143,D,60279
143,Z3,60279
144,D,60171
144,Z3,60164
145,D,60178
145,Z3,60178
146,D,60268
146,Z3,60153
147,D,60275
147,Z3,60092
148,D,60410
148,Z3,60410
149,D,60293
149,Z3,60293
150,D,60268
150,Z3,60264
151,D,60260
151,Z3,60262
152,D,60387
152,Z3,60141
153,D,60352
153,Z3,60187
154,D,60283
154,Z3,60283
155,D,60315
155,Z3,60315
156,D,60288
156,Z3,60288
157,D,60179
157,Z3,60179
158,D,60265
158,Z3,60210
159,D,60155
159,Z3,60083
160,D,60181
160,Z3,60181
161,D,60172
161,Z3,60172
162,D,60322
162,Z3,60322
163,D,60291
163,Z3,60346
164,D,60232
164,Z3,60156
165,D,60145
165,Z3,60088
166,D,60183
166,Z3,60183
167,D,60402
167,Z3,60402
168,D,60200
168,Z3,60183
169,D,60414
169,Z3,60397
170,D,60254
170,Z3,60249
171,D,60185
171,Z3,60347
172,D,60309
172,Z3,60309
173,D,60263
173,Z3,60263
174,D,60423
174,Z3,60423
175,D,60120
175,Z3,60120
176,D,60255
176,Z3,60391
177,D,60289
177,Z3,60101
178,D,60419
178,Z3,60396
179,D,60395
179,Z3,60395
180,D,60154
180,Z3,60154
181,D,60308
181,Z3,60308
182,D,60300
182,Z3,60342
183,D,60192
183,Z3,60097
184,D,60211
184,Z3,60211
185,D,60271
185,Z3,60322
186,D,60178
186,Z3,60178
187,D,60300
187,Z3,60300
188,D,60331
188,Z3,60190
189,D,60313
189,Z3,60288
190,D,60423
190,Z3,60423
191,D,60302
191,Z3,60112
192,D,60181
192,Z3,60181
193,D,60423
193,Z3,60435
194,D,60309
194,Z3,60187
195,D,60230
195,Z3,60167
196,D,60445
196,Z3,60445
197,D,60156
197,Z3,60287
198,D,60308
198,Z3,60308
199,D,60432
199,Z3,60432
200,D,60314
200,Z3,60348
201,D,60230
201,Z3,60235
202,D,120520
202,Z3,120520
203,D,120267
203,Z3,120270
204,D,120544
204,Z3,120544
205,D,120431
205,Z3,120431
206,D,120554
206,Z3,120554
207,D,120411
207,Z3,120411
208,D,121168
208,Z3,121168
209,D,121108
209,Z3,121108
210,D,121181
210,Z3,121181
211,D,121283
211,Z3,121283
212,D,120140
212,Z3,120140
212,Z4,30504
213,D,120330
213,Z3,120330
213,Z4,120368
214,D,120160
214,Z3,120292
214,Z4,120454
215,D,120141
215,Z3,120141
215,Z4,120187
216,D,120208
216,Z3,120208
216,Z4,120411
217,D,120177
217,Z3,120177
217,Z4,120116
218,D,120095
218,Z3,120107
218,Z4,120119
219,D,120183
219,Z3,120183
219,Z4,120118
220,D,120290
220,Z3,120290
220,Z4,120228
221,D,120288
221,Z3,120288
221,Z4,120216
222,D,120384
222,Z3,120235
222,Z4,120214
223,D,120098
223,Z3,120094
223,Z4,120097
224,D,120117
224,Z3,120173
224,Z4,120307
225,D,120136
225,Z3,120136
225,Z4,120091
226,D,120122
226,Z3,120265
226,Z4,120239
227,D,120187
227,Z3,120187
227,Z4,120112
228,D,120143
228,Z3,120143
228,Z4,120260
229,D,120215
229,Z3,120215
229,Z4,120413
230,D,120152
230,Z3,120288
230,Z4,120247
231,D,120197
231,Z3,120193
231,Z4,120101
232,D,120143
232,Z3,120143
232,Z4,120087
233,D,120168
233,Z3,120168
233,Z4,120316
234,D,120110
234,Z3,120148
234,Z4,120281
235,D,120181
235,Z3,120181
235,Z4,120097
236,D,120140
236,Z3,120140
236,Z4,120095
237,D,120205
237,Z3,120205
237,Z4,120324
238,D,120113
238,Z3,120130
238,Z4,120293
239,D,120159
239,Z3,120159
239,Z4,120118
240,D,120142
240,Z3,120142
240,Z4,120117
241,D,120188
241,Z3,120188
241,Z4,120313
242,D,120199
242,Z3,120213
242,Z4,120206
243,D,120455
243,Z3,120455
243,Z4,120325
244,D,120197
244,Z3,120197
244,Z4,120109
245,D,120174
245,Z3,120174
245,Z4,120094
246,D,120059
246,Z3,120101
246,Z4,120149
247,D,120174
247,Z3,120174
247,Z4,120112
248,D,120199
248,Z3,120199
248,Z4,120102
249,D,120176
249,Z3,120176
249,Z4,120084
250,D,120117
250,Z3,120309
250,Z4,120177
251,D,120167
251,Z3,120167
251,Z4,120168
252,D,120175
252,Z3,120175
252,Z4,120163
253,D,120271
253,Z3,120271
253,Z4,120216
254,D,120155
254,Z3,120175
254,Z4,120175
