step,start,end,latency,execution
1,0,90921,90921,133739
2,42870,131713,88843,83625
3,85729,174080,88351,85387
4,128817,216270,87453,87595
5,174285,257954,83669,87559
6,220200,299143,78943,85281
7,264340,340658,76318,85446
8,308331,382809,74478,86658
9,352898,423855,70957,85356
10,397244,465137,67893,84344
11,440377,507327,66950,86608
12,484869,549077,64208,85998
13,529196,596715,67519,93142
14,574781,639501,64720,87294
15,619368,681003,61635,85962
16,663864,723026,59162,85288
17,707203,768027,60824,89466
18,751748,812541,60793,88968
19,796281,857318,61037,89320
20,840903,904894,63991,91947
21,885352,946596,61244,86133
22,929816,987984,58168,84379
23,972870,1033275,60405,89632
24,1017291,1074894,57603,85953
25,1061659,1117940,56281,86178
26,1104863,1167919,63056,94324
27,1149286,1210464,61178,86908
28,1193719,1252085,58366,85921
29,1238069,1299259,61190,91485
30,1282460,1340450,57990,85648
31,1326952,1382018,55066,84843
32,1370293,1434486,64193,96777
33,1414665,1475916,61251,85818
34,1459087,1517992,58905,85124
35,1502200,1563475,61275,89886
36,1546683,1607407,60724,88443
37,1591274,1656962,65688,93863
38,1635656,1698293,62637,85585
39,1679954,1739524,59570,84433
40,1723224,1783752,60528,88721
41,1767751,1825078,57327,84392
42,1810883,1871779,60896,90963
43,1855224,1916015,60791,88580
44,1899647,1963516,63869,91958
45,1944182,2004894,60712,85637
46,1988478,2046833,58355,85145
47,2031752,2092697,60945,90155
48,2076119,2136422,60303,88125
49,2120599,2179086,58487,86996
50,2165000,2228072,63072,93227
51,2209319,2270011,60692,86333
52,2253793,2315626,61833,89987
53,2298243,2359410,61167,88065
54,2342599,2403125,60526,88173
55,2387136,2447793,60657,89082
56,2431624,2495899,64275,92469
57,2476066,2538240,62174,86820
58,2520651,2579844,59193,86095
59,2565178,2620937,55759,84147
60,2608304,2664098,55794,87646
61,2652832,2708293,55461,87282
62,2695984,2752876,56892,89054
63,2740491,2794905,54414,85265
64,2783786,2840418,56632,89891
65,2828199,2882239,54040,85125
66,2871561,2927782,56221,90097
67,2916150,2969947,53797,85168
68,2959216,3022948,63732,97466
69,3003748,3064213,60465,85744
70,3048275,3105291,57016,84219
71,3091481,3152257,60776,91437
72,3136031,3193586,57555,85838
73,3180575,3236442,55867,86010
74,3223794,3286470,62676,94478
75,3268310,3328948,60638,86843
76,3312746,3373964,61218,89379
77,3357189,3415173,57984,85695
78,3401709,3456423,54714,84374
79,3444899,3505378,60479,93180
80,3489202,3552914,63712,91849
81,3533595,3594404,60809,85775
82,3577914,3636274,58360,84802
83,3620915,3677645,56730,85750
84,3665330,3720124,54794,85548
85,3708465,3766109,57644,90380
86,3752892,3807489,54597,84455
87,3796029,3854968,58939,91922
88,3840506,3896804,56298,84903
89,3883635,3940278,56643,87993
90,3928188,3982052,53864,84867
91,3971334,4032198,60864,94560
92,4015827,4080067,64240,92307
93,4060344,4121660,61316,86061
94,4104849,4163493,58644,84998
95,4148083,4208287,60204,89070
96,4192437,4252886,60449,88988
97,4236904,4294472,57568,85906
98,4281260,4336620,55360,85342
99,4324523,4385477,60954,93188
