iteration,actor,exectime
1,D1,30222
2,D1,30242
3,D1,30205
4,D1,30205
5,D1,30290
6,D1,30577
7,D1,30429
8,D1,30296
9,D1,30446
10,D1,30295
11,D1,30211
12,D1,30086
13,D1,30234
14,D1,30396
15,D1,30306
16,D1,30180
17,D1,30325
18,D1,30216
19,D1,30210
20,D1,30210
21,D1,30206
22,D1,30206
23,D1,30204
24,D1,30207
25,D1,30207
26,D1,30192
27,D1,30308
28,D1,30174
29,D1,30203
30,D1,30206
31,D1,30204
32,D1,30202
33,D1,30208
34,D1,30207
35,D1,30203
36,D1,30305
37,D1,30288
38,D1,30285
39,D1,30252
40,D1,30286
41,D1,30116
42,D1,30292
43,D1,30206
44,D1,30240
45,D1,30294
46,D1,30309
47,D1,30219
48,D1,30408
49,D1,30226
50,D1,30257
51,D1,30273
52,D1,30343
53,D1,30294
54,D1,30203
55,D1,30210
56,D1,30201
57,D1,30195
58,D1,30209
59,D1,30225
60,D1,30214
61,D1,30233
62,D1,30392
63,D1,30208
64,D1,30149
65,D1,30267
66,D1,30402
67,D1,30321
68,D1,30217
69,D1,30212
70,D1,30215
71,D1,30226
72,D1,30202
73,D1,30211
74,D1,30207
75,D1,30182
76,D1,30186
77,D1,30179
78,D1,30185
79,D1,30178
80,D1,30238
81,D1,30202
82,D1,30170
83,D1,30223
84,D1,30163
85,D1,30117
86,D1,30302
87,D1,30179
88,D1,30156
89,D1,30120
90,D1,30206
91,D1,30206
92,D1,30207
93,D1,30170
94,D1,30173
95,D1,30230
96,D1,30215
97,D1,30156
98,D1,30177
99,D1,30206
100,D1,30153
101,D1,30206
102,D1,30212
103,D1,30224
104,D1,30196
105,D1,30203
106,D1,30193
107,D1,30209
108,D1,30165
109,D1,30351
110,D1,30081
111,D1,30164
112,D1,60225
113,D1,60189
114,D1,60160
115,D1,60189
116,D1,60372
117,D1,60378
118,D1,60484
119,D1,60423
120,D1,60248
121,D1,60413
122,D1,60467
123,D1,60223
124,D1,60475
125,D1,60341
126,D1,60394
127,D1,60440
128,D1,60333
129,D1,60152
130,D1,60374
131,D1,60352
132,D1,60485
133,D1,60458
134,D1,60201
135,D1,60281
136,D1,60174
137,D1,60391
138,D1,60393
139,D1,60453
140,D1,60444
141,D1,60492
142,D1,60417
143,D1,60243
144,D1,60318
145,D1,60512
146,D1,60403
147,D1,60447
148,D1,60465
149,D1,60484
150,D1,60219
151,D1,60418
152,D1,60389
153,D1,60328
154,D1,60380
155,D1,60310
156,D1,60430
157,D1,60465
158,D1,60419
159,D1,60220
160,D1,60370
161,D1,60445
162,D1,60469
163,D1,60357
164,D1,60500
165,D1,60395
166,D1,60219
167,D1,60492
168,D1,60115
169,D1,60472
170,D1,60440
171,D1,60261
172,D1,60375
173,D1,60248
174,D1,60479
175,D1,60238
176,D1,60467
177,D1,60437
178,D1,60334
179,D1,60325
180,D1,60199
181,D1,60371
182,D1,60460
183,D1,60481
184,D1,60472
185,D1,60507
186,D1,60214
187,D1,60285
188,D1,60476
189,D1,60205
190,D1,60296
191,D1,60228
192,D1,60468
193,D1,60480
194,D1,60462
195,D1,60200
196,D1,60132
197,D1,60266
198,D1,60450
199,D1,60384
200,D1,60472
201,D1,60441
202,D1,120404
203,D1,120478
204,D1,120473
205,D1,120469
206,D1,120466
207,D1,120381
208,D1,120487
209,D1,120486
210,D1,120475
211,D1,120485
212,D1,120515
213,D1,120393
214,D1,120481
215,D1,120443
216,D1,120381
217,D1,120470
218,D1,120459
219,D1,120476
220,D1,120467
221,D1,120404
222,D1,120214
223,D1,120277
224,D1,120371
225,D1,120467
226,D1,120464
227,D1,120458
228,D1,120514
229,D1,120466
230,D1,120472
231,D1,120471
232,D1,120485
233,D1,120482
234,D1,120468
235,D1,120466
236,D1,120387
237,D1,120502
238,D1,120440
239,D1,120475
240,D1,120482
241,D1,120502
242,D1,120486
243,D1,120480
244,D1,120424
245,D1,120473
246,D1,120454
247,D1,120474
248,D1,120468
249,D1,120493
250,D1,120481
251,D1,120463
252,D1,120405
253,D1,120492
254,D1,120478
255,D1,120487
256,D1,120485
257,D1,120277
258,D1,120478
259,D1,120424
260,D1,120299
261,D1,120475
262,D1,120474
263,D1,120475
264,D1,120470
265,D1,120312
266,D1,120417
267,D1,120411
268,D1,120483
269,D1,120464
270,D1,120472
271,D1,120467
272,D1,120493
273,D1,120473
274,D1,120482
275,D1,120469
276,D1,120473
277,D1,120474
278,D1,120489
279,D1,120461
280,D1,120226
281,D1,120307
282,D1,120404
283,D1,120479
284,D1,120451
285,D1,120456
286,D1,120366
287,D1,120485
288,D1,120502
289,D1,120481
290,D1,120471
291,D1,120437
292,D1,120472
293,D1,120467
294,D1,120464
295,D1,120458
296,D1,120483
297,D1,120418
298,D1,120478
299,D1,120455
300,D1,120463
301,D1,120470
302,D1,120523
303,D1,120222
304,D1,120320
305,D1,120478
306,D1,120472
307,D1,120468
308,D1,120462
309,D1,120463
310,D1,120350
311,D1,120402
312,D1,120233
313,D1,120494
314,D1,120437
315,D1,120467
316,D1,120468
317,D1,120487
318,D1,120465
319,D1,120482
320,D1,120480
321,D1,120497
322,D1,120482
323,D1,120468
324,D1,120465
325,D1,120370
326,D1,120267
327,D1,120201
328,D1,120474
329,D1,120433
330,D1,120448
331,D1,120460
332,D1,120482
333,D1,120470
334,D1,120488
335,D1,120310
336,D1,120471
337,D1,120480
338,D1,120489
339,D1,120481
340,D1,120464
341,D1,120440
342,D1,120228
343,D1,120473
344,D1,120504
345,D1,120476
346,D1,120486
347,D1,120478
348,D1,120489
349,D1,120475
350,D1,120395
351,D1,120476
352,D1,120448
353,D1,120454
354,D1,120468
355,D1,120462
356,D1,120333
357,D1,120513
358,D1,120465
359,D1,120480
360,D1,120464
361,D1,120455
362,D1,120468
363,D1,120485
364,D1,120478
365,D1,120391
366,D1,120478
367,D1,120437
368,D1,120470
369,D1,120481
370,D1,120465
371,D1,120393
372,D1,120491
373,D1,120485
374,D1,120457
375,D1,120472
376,D1,120494
377,D1,120485
378,D1,120479
379,D1,120511
380,D1,120403
381,D1,120420
382,D1,120443
383,D1,120469
384,D1,120471
385,D1,120502
386,D1,120397
387,D1,120479
388,D1,120468
389,D1,120429
390,D1,120471
391,D1,120477
392,D1,120484
393,D1,120508
394,D1,120484
395,D1,120400
396,D1,120351
397,D1,120443
398,D1,120475
399,D1,120463
400,D1,120465
401,D1,120232
402,D1,120494
403,D1,120477
404,D1,120481
405,D1,120454
406,D1,120486
407,D1,120482
408,D1,120487
409,D1,120480
410,D1,120397
411,D1,120476
412,D1,120454
413,D1,120465
414,D1,120465
415,D1,120384
416,D1,120484
417,D1,120484
418,D1,120462
419,D1,120485
420,D1,120476
421,D1,120485
422,D1,120460
423,D1,120473
424,D1,120474
425,D1,120412
426,D1,120474
427,D1,120468
428,D1,120461
429,D1,120412
430,D1,120463
431,D1,120388
432,D1,120479
433,D1,120464
434,D1,120480
435,D1,120464
436,D1,120477
437,D1,120474
438,D1,120492
439,D1,120473
440,D1,120414
441,D1,120478
442,D1,120463
443,D1,120453
444,D1,120236
445,D1,120474
446,D1,120470
447,D1,120486
448,D1,120471
449,D1,120510
450,D1,120482
451,D1,120487
452,D1,120495
453,D1,120481
454,D1,120475
455,D1,120416
456,D1,120443
457,D1,120486
458,D1,120437
459,D1,120315
460,D1,120465
461,D1,120395
462,D1,120471
463,D1,120416
464,D1,120477
465,D1,120479
466,D1,120487
467,D1,120464
468,D1,120485
