step,start,end,latency,execution
1,0,80166,80166,120966
2,40859,121432,80573,82220
3,81830,162246,80416,81681
4,122714,203011,80297,81614
5,163588,254795,91207,92904
6,204764,305877,101113,94322
7,248032,358736,110704,93887
8,289094,410878,121784,93202
9,330194,470047,139853,100490
10,371565,519577,148012,90762
11,412851,577924,165073,101859
12,456433,634567,178134,100178
13,500028,684386,184358,91128
14,541418,738494,197076,97791
15,585166,796327,211161,101267
16,628680,852213,223533,99423
17,672274,909372,237098,98725
18,713907,965047,251140,98976
19,757279,1021459,264180,100248
20,801192,1074120,272928,96278
21,844861,1130782,285921,100157
22,888436,1187484,299048,100292
23,932106,1238492,306386,94370
24,975512,1295138,319626,100296
25,1019206,1352480,333274,98752
26,1060695,1408142,347447,99288
27,1104401,1465800,361399,101000
28,1147800,1522657,374857,100787
29,1191784,1573496,381712,92266
30,1233269,1634580,401311,104501
31,1276757,1685092,408335,94005
32,1320306,1740389,420083,98680
33,1363738,1791538,427800,94779
34,1407426,1846783,439357,98726
35,1450978,1900343,449365,96990
36,1494467,1957453,462986,100577
37,1537990,2019087,481097,103150
38,1579594,2069524,489930,93736
39,1622949,2125046,502097,99047
40,1666514,2183434,516920,99849
41,1708060,2233489,525429,93459
42,1751496,2290560,539064,98473
43,1792968,2346466,553498,99158
44,1836287,2403096,566809,97763
45,1877488,2458454,580966,97789
46,1919970,2515078,595108,100002
47,1963428,2571501,608073,99900
48,2006986,2624033,617047,96103
49,2050586,2680643,630057,97847
50,2091906,2737311,645405,99778
51,2135082,2788621,653539,94941
52,2178740,2846419,667679,99184
53,2220204,2903137,682933,100236
54,2263798,2959461,695663,99733
55,2307271,3010030,702759,94365
56,2351124,3066735,715611,100212
57,2394721,3117711,722990,94304
58,2438106,3174141,736035,99984
59,2481728,3225584,743856,94604
60,2524932,3281364,756432,99400
61,2568597,3332535,763938,92665
62,2610150,3386941,776791,96841
63,2652654,3440752,788098,96063
64,2694953,3498096,803143,99651
65,2737315,3554203,816888,97256
66,2778549,3604893,826344,93272
67,2821187,3661126,839939,98534
68,2863541,3717930,854389,99537
69,2906355,3773923,867568,98530
70,2948973,3830646,881673,99073
71,2991383,3886562,895179,97058
72,3032604,3942578,909974,98260
73,3074895,3999357,924462,97843
74,3116039,4058446,942407,101569
75,3158598,4108991,950393,93007
76,3201093,4163132,962039,95010
77,3242014,4218645,976631,98138
78,3284696,4272121,987425,94626
79,3325907,4323765,997858,94095
80,3368390,4378732,1010342,95822
81,3409301,4431488,1022187,94684
82,3451267,4488710,1037443,99621
83,3493744,4545412,1051668,99162
84,3536284,4595402,1059118,92430
85,3578780,4649047,1070267,94883
86,3620062,4706319,1086257,99699
87,3662568,4762833,1100265,98858
88,3704992,4818930,1113938,98519
89,3747482,4874953,1127471,98274
90,3789798,4931494,1141696,99239
91,3832575,4987379,1154804,98308
92,3875067,5044671,1169604,99736
93,3917591,5100712,1183121,98355
94,3959969,5152210,1192241,94309
95,4002832,5208738,1205906,99026
96,4045409,5265761,1220352,99267
97,4087707,5317059,1229352,92289
98,4128755,5374718,1245963,100001
99,4171175,5424718,1253543,92445
100,4213654,5481475,1267821,97644
101,4254610,5532192,1277582,93149
102,4297096,5587133,1290037,95803
103,4337984,5639352,1301368,92940
104,4378738,5698599,1319861,100263
105,4419827,5755084,1335257,98773
106,4462194,5805933,1343739,93205
107,4504593,5863778,1359185,100495
108,4547310,5919905,1372595,98642
109,4589880,5976032,1386152,97141
110,4630970,6032742,1401772,99147
111,4673488,6088506,1415018,98201
112,4715992,6139401,1423409,93332
113,4758486,6196293,1437807,99346
114,4801008,6248224,1447216,94249
115,4843373,6299028,1455655,93040
116,4885653,6354211,1468558,97661
117,4928195,6411211,1483016,99433
118,4970741,6467063,1496322,98372
119,5013328,6524035,1510707,99242
120,5055664,6573473,1517809,91950
121,5098230,6625668,1527438,93290
122,5139373,6678619,1539246,94916
123,5181399,6731743,1550344,95402
124,5223723,6783408,1559685,94193
125,5266308,6836550,1570242,94240
126,5307466,6893748,1586282,99624
127,5349970,6950133,1600163,98693
128,5392333,7006991,1614658,97951
129,5433485,7058121,1624636,93433
130,5475846,7115400,1639554,99719
131,5518331,7166945,1648614,92451
132,5559288,7224850,1665562,100132
133,5601562,7281626,1680064,97887
134,5642752,7337479,1694727,98305
135,5685284,7394579,1709295,99447
136,5727710,7451387,1723677,99332
137,5770290,7508250,1737960,97964
138,5811455,7565068,1753613,98641
139,5853356,7621605,1768249,98879
140,5895777,7672859,1777082,93538
141,5938106,7730757,1792651,100409
142,5980697,7787405,1806708,98882
143,6023011,7838250,1815239,93255
144,6065479,7896179,1830700,100185
145,6107784,7953409,1845625,98103
146,6148719,8009030,1860311,97710
147,6190863,8066031,1875168,97830
148,6231768,8123612,1891844,99765
149,6274013,8176953,1902940,94336
150,6315050,8225596,1910546,91209
151,6357665,8281310,1923645,98121
152,6400135,8332454,1932319,93451
153,6442498,8392183,1949685,101928
154,6484762,8450058,1965296,100639
155,6527605,8500969,1973364,93451
156,6570181,8559366,1989185,99605
157,6611446,8616454,2005008,98165
158,6652577,8673742,2021165,98017
159,6693356,8725687,2032331,93350
160,6734866,8783695,2048829,100449
161,6777359,8841695,2064336,99045
162,6818481,8898196,2079715,98860
163,6861010,8955339,2094329,99337
