iteration,actor,exectime
1,D1,110
2,D1,108
3,D1,101
4,D1,100
5,D1,1160
6,D1,1190
7,D1,1321
8,D1,1189
9,D1,1180
10,D1,2135
11,D1,2331
12,D1,2210
13,D1,2213
14,D1,2352
15,D1,3114
16,D1,3308
17,D1,3195
18,D1,3281
19,D1,3343
20,D1,4206
21,D1,4178
22,D1,4161
23,D1,4205
24,D1,4328
25,D1,5188
26,D1,5347
27,D1,5276
28,D1,5158
29,D1,5186
30,D1,6369
31,D1,6295
32,D1,6201
33,D1,6213
34,D1,6448
35,D1,7355
36,D1,7308
37,D1,7366
38,D1,7222
39,D1,7297
40,D1,8307
41,D1,8343
42,D1,8288
43,D1,8387
44,D1,8349
45,D1,9305
46,D1,9314
47,D1,9343
48,D1,9349
49,D1,9220
50,D1,10295
51,D1,10214
52,D1,10347
53,D1,10342
54,D1,10169
55,D1,11325
56,D1,11348
57,D1,11339
58,D1,11407
59,D1,11351
60,D1,12348
61,D1,12303
62,D1,12380
63,D1,12338
64,D1,12315
65,D1,13208
66,D1,13390
67,D1,13349
68,D1,13210
69,D1,13169
70,D1,14310
71,D1,14349
72,D1,14357
73,D1,14310
74,D1,14211
75,D1,15369
76,D1,15335
77,D1,15174
78,D1,15351
79,D1,15214
80,D1,16319
81,D1,16312
82,D1,16148
83,D1,16168
84,D1,16463
85,D1,17355
86,D1,17353
87,D1,17294
88,D1,17390
89,D1,17333
90,D1,18321
91,D1,18318
92,D1,18360
93,D1,18301
94,D1,18141
95,D1,19359
96,D1,19352
97,D1,19217
98,D1,19367
99,D1,19355
100,D1,20447
101,D1,20298
102,D1,20331
103,D1,20325
104,D1,20308
105,D1,21233
106,D1,21379
107,D1,21360
108,D1,21356
109,D1,21354
110,D1,22174
111,D1,22448
112,D1,22267
113,D1,22369
114,D1,22355
115,D1,23079
116,D1,23158
117,D1,23310
118,D1,23282
119,D1,23356
120,D1,24198
121,D1,24209
122,D1,24182
123,D1,24353
124,D1,24217
125,D1,25212
126,D1,25346
127,D1,25449
128,D1,25176
129,D1,25301
130,D1,26205
131,D1,26450
132,D1,26175
133,D1,26413
134,D1,26170
135,D1,27464
136,D1,27194
137,D1,27161
138,D1,27119
139,D1,27151
140,D1,28331
141,D1,28298
142,D1,28300
143,D1,28352
144,D1,28302
145,D1,29293
146,D1,29308
147,D1,29289
148,D1,29212
149,D1,29415
150,D1,30200
151,D1,30209
152,D1,30339
153,D1,30312
154,D1,30269
155,D1,31225
156,D1,31297
157,D1,31164
158,D1,31172
159,D1,31216
160,D1,32086
161,D1,32405
162,D1,32217
163,D1,32232
164,D1,32171
165,D1,33177
166,D1,33105
167,D1,33091
168,D1,33217
169,D1,33174
170,D1,34277
171,D1,34298
172,D1,34291
173,D1,34298
174,D1,34084
175,D1,35166
176,D1,35084
177,D1,35294
178,D1,35235
179,D1,35297
180,D1,36441
181,D1,36099
182,D1,36131
183,D1,36116
184,D1,36289
185,D1,37202
186,D1,37205
187,D1,37159
188,D1,37232
189,D1,37171
190,D1,38155
191,D1,38179
192,D1,38212
193,D1,38122
194,D1,38165
195,D1,39114
196,D1,39141
197,D1,39110
198,D1,39151
199,D1,39116
200,D1,40127
201,D1,40190
202,D1,40192
203,D1,40168
204,D1,40284
205,D1,41171
206,D1,41377
207,D1,41237
208,D1,41188
209,D1,41209
210,D1,42494
211,D1,42278
212,D1,42216
213,D1,42281
214,D1,42351
215,D1,43221
216,D1,43434
217,D1,43407
218,D1,43434
219,D1,43218
220,D1,44367
221,D1,44452
222,D1,44439
223,D1,44451
224,D1,44344
225,D1,45399
226,D1,45466
227,D1,45233
228,D1,45218
229,D1,45260
230,D1,46388
231,D1,46418
232,D1,46465
233,D1,46465
234,D1,46418
235,D1,47339
236,D1,47467
237,D1,47219
238,D1,47459
239,D1,47374
240,D1,48401
241,D1,48255
242,D1,48477
243,D1,48404
244,D1,48197
245,D1,49444
246,D1,49427
247,D1,49435
248,D1,49488
249,D1,49168
250,D1,50299
251,D1,50399
252,D1,50422
253,D1,50508
254,D1,50435
255,D1,51229
256,D1,51459
257,D1,51486
258,D1,51354
259,D1,51166
260,D1,52483
261,D1,52394
262,D1,52443
263,D1,52225
264,D1,52477
265,D1,53363
266,D1,53368
267,D1,53473
268,D1,53225
269,D1,53469
270,D1,54476
271,D1,54175
272,D1,54399
273,D1,54408
274,D1,54420
275,D1,55401
276,D1,55373
277,D1,55498
278,D1,55162
279,D1,55487
280,D1,56435
281,D1,56185
282,D1,56386
283,D1,56475
284,D1,56227
285,D1,57464
286,D1,57443
287,D1,57223
288,D1,57484
289,D1,57336
290,D1,58478
291,D1,58263
292,D1,58173
293,D1,58353
294,D1,58395
295,D1,59478
296,D1,59399
297,D1,59484
298,D1,59422
299,D1,59506
300,D1,60245
301,D1,60385
302,D1,60218
303,D1,60481
304,D1,60229
305,D1,61498
306,D1,61140
307,D1,61407
308,D1,61465
309,D1,61420
310,D1,62482
311,D1,62506
312,D1,62403
313,D1,62499
314,D1,62394
315,D1,63429
316,D1,63404
317,D1,63464
318,D1,63402
319,D1,63515
320,D1,64289
321,D1,64501
322,D1,64263
323,D1,65177
324,D1,65257
325,D1,64824
326,D1,65005
327,D1,64974
328,D1,64982
329,D1,64952
330,D1,65013
331,D1,64969
332,D1,64478
333,D1,64382
334,D1,64374
335,D1,64520
336,D1,64264
337,D1,64390
338,D1,64418
339,D1,64438
340,D1,64370
341,D1,64372
342,D1,64351
343,D1,64474
344,D1,64421
345,D1,64471
346,D1,64430
347,D1,64475
348,D1,64387
349,D1,64379
350,D1,64264
351,D1,64483
352,D1,64496
353,D1,64382
353,D2,39
354,D1,64380
354,D2,150
355,D1,64446
355,D2,89
356,D1,64287
356,D2,24
357,D1,64395
357,D2,1195
358,D1,64188
358,D2,1215
359,D1,64262
359,D2,1101
360,D1,64334
360,D2,1170
361,D1,64373
361,D2,1304
362,D1,64290
362,D2,2192
363,D1,64365
363,D2,2359
364,D1,64344
364,D2,2206
365,D1,64155
365,D2,2202
366,D1,64345
366,D2,2205
367,D1,64378
367,D2,3263
368,D1,64301
368,D2,3357
369,D1,64392
369,D2,3354
370,D1,64302
370,D2,3268
371,D1,64193
371,D2,3217
372,D1,64452
372,D2,4448
373,D1,64520
373,D2,4248
374,D1,64219
374,D2,4201
375,D1,64459
375,D2,4308
376,D1,64278
376,D2,4311
377,D1,64215
377,D2,5302
378,D1,64296
378,D2,5320
379,D1,64520
379,D2,5418
380,D1,64386
380,D2,5180
381,D1,64160
381,D2,5213
382,D1,64417
382,D2,6268
383,D1,64396
383,D2,6185
384,D1,64475
384,D2,6421
385,D1,64328
385,D2,6151
386,D1,64294
386,D2,6173
387,D1,64159
387,D2,7187
388,D1,64322
388,D2,7093
389,D1,64347
389,D2,7197
390,D1,64365
390,D2,7434
391,D1,64524
391,D2,7285
392,D1,64312
392,D2,8361
393,D1,64261
393,D2,8424
394,D1,64455
394,D2,8170
395,D1,64196
395,D2,8202
396,D1,64317
396,D2,8188
397,D1,64292
397,D2,9331
398,D1,64291
398,D2,9208
399,D1,64164
399,D2,9181
400,D1,64358
400,D2,9354
401,D1,64190
401,D2,9170
402,D1,64334
402,D2,10170
403,D1,64427
403,D2,10285
404,D1,64284
404,D2,10158
405,D1,64292
405,D2,10313
406,D1,64247
406,D2,10322
407,D1,64250
407,D2,11310
408,D1,64352
408,D2,11349
409,D1,64333
409,D2,11334
410,D1,64423
410,D2,11401
411,D1,64134
411,D2,11146
412,D1,64307
412,D2,12343
413,D1,64416
413,D2,12200
414,D1,64289
414,D2,12308
415,D1,64308
415,D2,12234
416,D1,64318
416,D2,12306
417,D1,64286
417,D2,13169
418,D1,64379
418,D2,13349
419,D1,64406
419,D2,13139
420,D1,64442
420,D2,13196
421,D1,64420
421,D2,13191
422,D1,64503
422,D2,14316
423,D1,64411
423,D2,14179
424,D1,64208
424,D2,14214
425,D1,64095
425,D2,14167
426,D1,64329
426,D2,14193
427,D1,64327
427,D2,15203
428,D1,64515
428,D2,15284
429,D1,64403
429,D2,15454
430,D1,64479
430,D2,15362
431,D1,64307
431,D2,15163
432,D1,64341
432,D2,16344
433,D1,64504
433,D2,16247
434,D1,64425
434,D2,16231
435,D1,64380
435,D2,16150
436,D1,64426
436,D2,16422
437,D1,64444
437,D2,17344
438,D1,64478
438,D2,17402
439,D1,64512
439,D2,17415
440,D1,64316
440,D2,17266
441,D1,64374
441,D2,17325
442,D1,64398
442,D2,18364
443,D1,64469
443,D2,18416
444,D1,64270
444,D2,18337
445,D1,64521
445,D2,18419
446,D1,64311
446,D2,18314
447,D1,64390
447,D2,19313
448,D1,64511
448,D2,19275
449,D1,64319
449,D2,19160
450,D1,64313
450,D2,19196
451,D1,64404
451,D2,19524
452,D1,64437
452,D2,20199
453,D1,64394
453,D2,20245
454,D1,64312
454,D2,20338
455,D1,64461
455,D2,20356
456,D1,64293
456,D2,20193
457,D1,64187
457,D2,21453
458,D1,64333
458,D2,21193
459,D1,64367
459,D2,21238
460,D1,64337
460,D2,21352
461,D1,64448
461,D2,21366
462,D1,64514
462,D2,22415
463,D1,64184
463,D2,22351
464,D1,64310
464,D2,22315
465,D1,64290
465,D2,22356
466,D1,64457
466,D2,22397
467,D1,64510
467,D2,23415
468,D1,64305
468,D2,23446
469,D1,64283
469,D2,23542
470,D1,64413
470,D2,23268
471,D1,64428
471,D2,23217
472,D1,64211
472,D2,24427
473,D1,64529
473,D2,24328
474,D1,64449
474,D2,24275
475,D1,64475
475,D2,24491
476,D1,64392
476,D2,24333
477,D1,64467
477,D2,25246
478,D1,64324
478,D2,25290
479,D1,64512
479,D2,25271
480,D1,64373
480,D2,25314
481,D1,64302
481,D2,25180
482,D1,64149
482,D2,26472
483,D1,64321
483,D2,26329
484,D1,64302
484,D2,26325
485,D1,64301
485,D2,26290
486,D1,64454
486,D2,26222
487,D1,64522
487,D2,27277
488,D1,64521
488,D2,27266
489,D1,64179
489,D2,27176
490,D1,64363
490,D2,27278
491,D1,64365
491,D2,27185
492,D1,64363
492,D2,28331
493,D1,64297
493,D2,28296
494,D1,64287
494,D2,28209
495,D1,64268
495,D2,28344
496,D1,64311
496,D2,28326
497,D1,64359
497,D2,29203
498,D1,64332
498,D2,29328
499,D1,64418
499,D2,29260
500,D1,64364
500,D2,29168
501,D1,64226
501,D2,29191
502,D1,64254
502,D2,30237
503,D1,64430
503,D2,30246
504,D1,64333
504,D2,30317
505,D1,64408
505,D2,30238
506,D1,64270
506,D2,30332
507,D1,64223
507,D2,31187
508,D1,64508
508,D2,31237
509,D1,64398
509,D2,31221
510,D1,64336
510,D2,31215
511,D1,64423
511,D2,31266
512,D1,64430
512,D2,32287
513,D1,64220
513,D2,32320
514,D1,64544
514,D2,32310
515,D1,64507
515,D2,32398
516,D1,64334
516,D2,32340
517,D1,64355
517,D2,33141
518,D1,64428
518,D2,33266
519,D1,64376
519,D2,33297
520,D1,64349
520,D2,33214
521,D1,64358
521,D2,33229
522,D1,64415
522,D2,34276
523,D1,64425
523,D2,34389
524,D1,64294
524,D2,34293
525,D1,64223
525,D2,34263
526,D1,64467
526,D2,34270
527,D1,64526
527,D2,35338
528,D1,64331
528,D2,35188
529,D1,64517
529,D2,35277
530,D1,64424
530,D2,35231
531,D1,64111
531,D2,35087
532,D1,64290
532,D2,36280
533,D1,64230
533,D2,36216
534,D1,64280
534,D2,36389
535,D1,64276
535,D2,36437
536,D1,64370
536,D2,36453
537,D1,64264
537,D2,37090
538,D1,64403
538,D2,37268
539,D1,64509
539,D2,37454
540,D1,64316
540,D2,37195
541,D1,64280
541,D2,37200
542,D1,64512
542,D2,38281
543,D1,64103
543,D2,38147
544,D1,64313
544,D2,38143
545,D1,64424
545,D2,38156
546,D1,64287
546,D2,38125
547,D1,64314
547,D2,39141
548,D1,64401
548,D2,39286
549,D1,64289
549,D2,39085
550,D1,64414
550,D2,39178
551,D1,64350
551,D2,39260
552,D1,64487
552,D2,40426
553,D1,64424
553,D2,40526
554,D1,64377
554,D2,40310
555,D1,64240
555,D2,40272
556,D1,64384
556,D2,40418
557,D1,64509
557,D2,41297
558,D1,64317
558,D2,41321
559,D1,64528
559,D2,41279
560,D1,64478
560,D2,41166
561,D1,64221
561,D2,41194
562,D1,64428
562,D2,42113
563,D1,64396
563,D2,42069
564,D1,64457
564,D2,42242
565,D1,64432
565,D2,42177
566,D1,64495
566,D2,42457
567,D1,64389
567,D2,43131
568,D1,64410
568,D2,43179
569,D1,64399
569,D2,43149
570,D1,64415
570,D2,43184
571,D1,64375
571,D2,43176
572,D1,64423
572,D2,44424
573,D1,64400
573,D2,44320
574,D1,64416
574,D2,44410
575,D1,64412
575,D2,44277
576,D1,64428
576,D2,44389
577,D1,64528
577,D2,45285
578,D1,64512
578,D2,45279
579,D1,64185
579,D2,45377
580,D1,64345
580,D2,45222
581,D1,64444
581,D2,45264
582,D1,64336
582,D2,46230
583,D1,64335
583,D2,46225
584,D1,64419
584,D2,46187
585,D1,64466
585,D2,46293
586,D1,64149
586,D2,46257
587,D1,64387
587,D2,47214
588,D1,64417
588,D2,47271
589,D1,64527
589,D2,47443
590,D1,64307
590,D2,47310
591,D1,64346
591,D2,47354
592,D1,64281
592,D2,48229
593,D1,64540
593,D2,48426
594,D1,64269
594,D2,48297
595,D1,64523
595,D2,48395
596,D1,64511
596,D2,48249
597,D1,64500
597,D2,49321
598,D1,64341
598,D2,49227
599,D1,64222
599,D2,49434
600,D1,64370
600,D2,49324
601,D1,64406
601,D2,49351
602,D1,64514
602,D2,50285
603,D1,64530
603,D2,50437
604,D1,64160
604,D2,50315
605,D1,64448
605,D2,50363
606,D1,64410
606,D2,50425
607,D1,64433
607,D2,51319
608,D1,64371
608,D2,51417
609,D1,64470
609,D2,51464
610,D1,64382
610,D2,51296
611,D1,64484
611,D2,51363
612,D1,64409
612,D2,52321
613,D1,64508
613,D2,52411
614,D1,64426
614,D2,52419
615,D1,64512
615,D2,52183
616,D1,64271
616,D2,52298
617,D1,64271
617,D2,53448
618,D1,64222
618,D2,53178
619,D1,64406
619,D2,53319
620,D1,64346
620,D2,53348
621,D1,64453
621,D2,53442
622,D1,64279
622,D2,54291
623,D1,64525
623,D2,54441
624,D1,64330
624,D2,54351
625,D1,64371
625,D2,54421
626,D1,64520
626,D2,54358
627,D1,64452
627,D2,55473
628,D1,64400
628,D2,55165
629,D1,64196
629,D2,55448
630,D1,64141
630,D2,55193
631,D1,64291
631,D2,55486
632,D1,64350
632,D2,56233
633,D1,64302
633,D2,56326
634,D1,64413
634,D2,56421
635,D1,64441
635,D2,56451
636,D1,64161
636,D2,56296
637,D1,64413
637,D2,57270
638,D1,64271
638,D2,57412
639,D1,64505
639,D2,57437
640,D1,64427
640,D2,57146
641,D1,64510
641,D2,57435
642,D1,64407
642,D2,58142
643,D1,64370
643,D2,58407
644,D1,64368
644,D2,58409
645,D1,64519
645,D2,58280
646,D1,64241
646,D2,58416
647,D1,64417
647,D2,59220
648,D1,64141
648,D2,59264
649,D1,64410
649,D2,59280
650,D1,64466
650,D2,59444
651,D1,64339
651,D2,59532
652,D1,64190
652,D2,60185
653,D1,64485
653,D2,60475
654,D1,64300
654,D2,60165
655,D1,64432
655,D2,60419
656,D1,64404
656,D2,60209
657,D1,64419
657,D2,61411
658,D1,64391
658,D2,61218
659,D1,64219
659,D2,61413
660,D1,64189
660,D2,61312
661,D1,64286
661,D2,61403
662,D1,64419
662,D2,62437
663,D1,64294
663,D2,62460
664,D1,64343
664,D2,62307
665,D1,64524
665,D2,62543
666,D1,64419
666,D2,62326
667,D1,64376
667,D2,63177
668,D1,64378
668,D2,63277
669,D1,64260
669,D2,63430
670,D1,64383
670,D2,63239
671,D1,64382
671,D2,63391
672,D1,64267
672,D2,64286
673,D1,64270
673,D2,64270
674,D1,64280
674,D2,64280
675,D1,64525
675,D2,64525
676,D1,64350
676,D2,64342
