it,start,end,latency,sol,period
1,0,121221,121221,1,41030
2,40923,162251,121328,1,41030
3,81978,204037,122059,1,41710
4,122859,244910,122051,1,40956
5,163820,285762,121942,1,40862
6,207698,327402,119704,1,41562
7,249635,369187,119552,1,41762
8,291260,411627,120367,1,42372
9,333366,453317,119951,1,41758
10,375542,495382,119840,1,42034
11,418220,537419,119199,1,42036
12,459267,579691,120424,1,42248
13,501805,621951,120146,1,42258
14,546244,664032,117788,1,42098
15,588882,705922,117040,1,41910
16,631609,748345,116736,1,42371
17,674237,790465,116228,1,42145
18,716915,832309,115394,1,41874
19,759262,874754,115492,1,42387
20,801863,917047,115184,1,42302
21,844346,959682,115336,1,42601
22,886860,1000873,114013,1,41332
23,929656,1043011,113355,1,42057
24,972321,1084748,112427,1,41769
25,1013572,1126763,113191,1,41990
26,1056558,1169672,113114,1,42817
27,1097954,1210870,112916,1,41359
28,1140430,1253301,112871,1,42323
29,1182982,1295379,112397,1,42102
30,1224092,1337514,113422,1,42131
31,1266783,1379691,112908,1,42172
32,1309442,1421821,112379,1,42134
33,1352191,1464814,112623,1,42907
34,1394924,1507226,112302,1,42461
35,1437693,1548180,110487,1,41104
36,1480413,1590610,110197,1,42297
37,1523008,1632616,109608,1,42035
38,1564314,1675020,110706,1,42367
39,1606885,1716729,109844,1,41774
40,1649586,1758135,108549,1,41442
41,1692151,1800919,108768,1,42649
42,1733233,1843058,109825,1,42190
43,1775789,1885335,109546,1,42268
44,1818412,1927687,109275,1,42343
45,1861009,1970470,109461,1,42739
46,1903656,2011704,108048,1,41384
47,1946233,2053851,107618,1,42070
48,1988711,2095110,106399,1,41340
49,2029815,2137071,107256,1,41898
50,2072858,2179742,106884,1,42593
51,2114061,2221620,107559,1,41949
52,2156443,2262768,106325,1,41228
53,2198870,2304991,106121,1,42123
54,2241247,2346020,104773,1,41138
55,2282292,2387493,105201,1,41439
56,2324580,2428411,103831,1,40970
57,2365486,2469843,104357,1,41385
58,2407835,2511034,103199,1,41210
59,2448859,2553096,104237,1,41976
60,2491324,2594473,103149,1,41436
61,2532291,2635929,103638,1,41454
62,2575442,2678512,103070,1,42470
63,2616447,2719520,103073,1,41154
64,2658818,2760841,102023,1,41304
65,2701177,2803179,102002,1,42234
66,2742198,2844482,102284,1,41396
67,2784660,2886512,101852,1,41966
68,2827226,2928549,101323,1,42029
69,2868446,2971001,102555,1,42409
70,2911015,3012535,101520,1,41621
71,2953379,3054383,101004,1,41825
72,2995852,3097082,101230,1,42611
73,3036827,3139682,102855,1,42601
74,3079764,3182357,102593,1,42667
75,3122122,3223674,101552,1,41452
76,3164611,3265482,100871,1,41772
77,3207102,3307321,100219,1,41832
78,3248340,3348822,100482,1,41534
79,3290841,3390798,99957,1,41931
80,3333151,3433510,100359,1,42633
81,3374369,3475999,101630,1,42503
82,3416842,3517590,100748,1,41682
83,3459424,3559304,99880,1,41710
84,3501904,3600846,98942,1,41558
85,3543161,3642804,99643,1,41918
86,3586035,3684412,98377,1,41639
87,3627391,3725799,98408,1,41412
88,3669864,3766659,96795,1,40915
89,3711044,3808207,97163,1,41484
90,3753498,3850226,96728,1,41965
91,3794551,3892835,98284,1,42544
92,3836825,3934778,97953,1,42003
93,3879196,3975713,96517,1,41041
94,3921554,4016858,95304,1,41134
95,3964110,4059462,95352,1,42457
96,4005196,4100814,95618,1,41462
97,4047710,4142640,94930,1,41789
98,4090659,4184591,93932,1,41934
99,4131811,4226540,94729,1,41947
100,4174326,4267699,93373,1,41237
101,4216794,4309045,92251,1,41335
102,4259268,4351184,91916,1,42058
103,4300409,4393012,92603,1,41851
104,4342953,4435479,92526,1,42405
105,4385330,4476700,91370,1,41339
106,4427862,4517752,89890,1,41080
107,4470340,4559906,89566,1,42046
108,4511564,4600752,89188,1,40966
109,4554037,4644399,90362,1,43378
110,4597115,4685459,88344,1,41291
111,4638427,4726613,88186,1,41167
112,4681064,4786074,105010,1,57631
113,4722147,4848120,125973,1,61604
114,4764631,4907302,142671,1,59424
115,4805676,4968783,163107,1,61275
116,4848125,5028340,180215,1,59728
117,4889120,5089614,200494,1,61119
