iteration,start,actor,exectime
1,33,D1,30168
2,36868,D1,30224
3,75124,D1,30195
4,115215,D1,30220
5,156016,D1,30252
6,203815,D1,30231
7,241831,D1,30301
8,285953,D1,30413
9,332561,D1,30350
10,371001,D1,30122
11,412980,D1,30166
12,452534,D1,30206
13,508967,D1,30197
14,551610,D1,30171
15,588842,D1,30320
16,630024,D1,30178
17,671933,D1,30210
18,720266,D1,30157
19,757027,D1,30342
20,800565,D1,30207
21,848475,D1,30347
22,884667,D1,30440
23,927528,D1,30262
24,966732,D1,30257
25,1009952,D1,30221
26,1050063,D1,30160
27,1091726,D1,30207
28,1138997,D1,30160
29,1177312,D1,30328
30,1219529,D1,30170
31,1264954,D1,30184
32,1308710,D1,30187
33,1356651,D1,30163
34,1392876,D1,30284
35,1435818,D1,30135
36,1474879,D1,30243
37,1519295,D1,30176
38,1559514,D1,30202
39,1606157,D1,30350
40,1648318,D1,30351
41,1686746,D1,30298
42,1728045,D1,30184
43,1774349,D1,30170
44,1817097,D1,30176
45,1865538,D1,30312
46,1901686,D1,30281
47,1944862,D1,30387
48,1983459,D1,30157
49,2025454,D1,30258
50,2066070,D1,30157
51,2107574,D1,30350
52,2154276,D1,30361
53,2196618,D1,30089
54,2236866,D1,30161
55,2275391,D1,30085
56,2322329,D1,30234
57,2360144,D1,30265
58,2402916,D1,30153
59,2441475,D1,30229
60,2486050,D1,30306
61,2527884,D1,30086
62,2568898,D1,30157
63,2609773,D1,30211
64,2656531,D1,30333
65,2695748,D1,30372
66,2736887,D1,30175
67,2782133,D1,30358
68,2822199,D1,30306
69,2863971,D1,30203
70,2908638,D1,30363
71,2951232,D1,30081
72,2989915,D1,30206
73,3032177,D1,30207
74,3083389,D1,30216
75,3121432,D1,30209
76,3162101,D1,30274
77,3201975,D1,30267
78,3243475,D1,30353
79,3288530,D1,30296
80,3328207,D1,30235
81,3369781,D1,30321
82,3414539,D1,30282
83,3456858,D1,30289
84,3496166,D1,30308
85,3538523,D1,30158
86,3577751,D1,30255
87,3621387,D1,30299
88,3664464,D1,30288
89,3703893,D1,30116
90,3756423,D1,30266
91,3786968,D1,30351
92,3835479,D1,30207
93,3883463,D1,30214
94,3919239,D1,30360
95,3958256,D1,30291
96,3998416,D1,30206
97,4052216,D1,30300
98,4084225,D1,30116
99,4124960,D1,30358
100,4172036,D1,30343
101,4214505,D1,30294
102,4254941,D1,30323
103,4293501,D1,30377
104,4341529,D1,30223
105,4389323,D1,30316
106,4425814,D1,30088
107,4464885,D1,30280
108,4504221,D1,30166
109,4558476,D1,30258
110,4589752,D1,30409
111,4632146,D1,30327
112,4675497,D1,60329
113,4744882,D1,60307
114,4805258,D1,60476
115,4865776,D1,60385
116,4926230,D1,60276
117,4986552,D1,60434
118,5047055,D1,60227
119,5107331,D1,60454
120,5167855,D1,60399
121,5228316,D1,60473
122,5288832,D1,60417
123,5349318,D1,60490
124,5409840,D1,60168
125,5470057,D1,60321
126,5530554,D1,61680
127,5592316,D1,60877
128,5653245,D1,60659
129,5713976,D1,60892
130,5774948,D1,60706
131,5835734,D1,60946
132,5944189,D1,60324
132,5944141,D2,30290
