it,start,end,latency,sol,period
1,0,125597,125597,1,41129
2,40855,166726,125871,1,41129
3,81930,208084,126154,1,41335
4,125236,250344,125108,1,42167
5,166232,292940,126708,1,42553
6,207902,334286,126384,1,41466
7,251392,375781,124389,1,41492
8,294814,417056,122242,1,41296
9,336517,459570,123053,1,42392
10,377948,502211,124263,1,42616
11,418965,543682,124717,1,41585
12,461115,585413,124298,1,41716
13,503394,627048,123654,1,41643
14,544762,669076,124314,1,41989
15,587078,711462,124384,1,42346
16,628136,753503,125367,1,42071
17,670471,795957,125486,1,42415
18,712796,837654,124858,1,41768
19,755317,879911,124594,1,42208
20,797621,922117,124496,1,42206
21,839926,964239,124313,1,42130
22,882291,1006549,124258,1,42292
23,924592,1048540,123948,1,42021
24,967125,1090567,123442,1,42026
25,1009484,1131915,122431,1,41415
26,1051801,1174319,122518,1,42305
27,1094156,1216260,122104,1,41977
28,1135179,1258639,123460,1,42338
29,1177530,1300666,123136,1,42058
30,1219877,1343741,123864,1,42973
31,1262213,1385924,123711,1,42262
32,1304514,1428360,123846,1,42418
33,1346881,1471230,124349,1,42824
34,1389226,1513996,124770,1,42771
35,1431728,1555372,123644,1,41515
36,1474282,1598206,123924,1,42702
37,1516826,1639607,122781,1,41531
38,1557795,1681829,124034,1,42152
39,1600386,1723831,123445,1,42017
40,1641345,1765154,123809,1,41392
41,1683889,1807575,123686,1,42318
42,1726392,1850463,124071,1,42831
43,1767338,1892579,125241,1,42187
44,1809827,1934030,124203,1,41524
45,1852355,1976386,124031,1,42272
46,1894084,2019204,125120,1,42763
47,1935255,2061389,126134,1,42242
48,1977781,2104275,126494,1,42821
49,2020312,2145569,125257,1,41446
50,2064050,2188402,124352,1,42694
51,2106704,2230132,123428,1,41826
52,2147583,2272108,124525,1,41961
53,2190016,2314193,124177,1,42072
54,2231016,2356581,125565,1,42356
55,2273594,2398559,124965,1,42015
56,2316078,2440848,124770,1,42261
57,2358559,2482892,124333,1,42065
58,2401087,2525233,124146,1,42313
59,2443616,2567901,124285,1,42632
60,2486129,2609436,123307,1,41644
61,2528653,2651536,122883,1,42054
62,2571250,2693551,122301,1,42018
63,2612202,2736443,124241,1,42804
64,2654746,2778020,123274,1,41699
65,2697248,2820231,122983,1,42159
66,2739835,2862203,122368,1,41990
67,2780920,2904447,123527,1,42218
68,2823453,2946507,123054,1,42075
69,2866030,2988746,122716,1,42222
70,2908588,3030821,122233,1,42089
71,2951160,3073347,122187,1,42482
72,2993748,3116257,122509,1,42867
73,3036306,3158594,122288,1,42390
74,3078874,3201494,122620,1,42849
75,3121424,3243890,122466,1,42441
76,3163930,3286843,122913,1,42901
77,3206523,3329660,123137,1,42825
78,3249075,3372067,122992,1,42448
79,3291637,3414197,122560,1,42161
80,3334191,3456455,122264,1,42248
81,3376790,3498509,121719,1,42073
82,3419363,3540778,121415,1,42249
83,3461910,3583425,121515,1,42607
84,3504435,3624932,120497,1,41617
85,3546984,3667209,120225,1,42211
86,3589535,3709196,119661,1,42009
87,3630620,3750338,119718,1,41228
88,3673120,3792877,119757,1,42407
89,3715833,3835709,119876,1,42789
90,3756838,3877964,121126,1,42308
91,3799397,3920257,120860,1,42294
92,3841921,3963170,121249,1,42851
93,3884471,4005400,120929,1,42292
94,3927030,4047558,120528,1,42171
95,3969545,4089395,119850,1,41870
96,4012035,4131043,119008,1,41670
97,4054595,4173060,118465,1,41982
98,4097252,4215887,118635,1,42742
99,4138248,4257250,119002,1,41500
100,4180774,4299521,118747,1,42193
101,4223444,4341569,118125,1,42062
102,4264428,4383810,119382,1,42223
103,4306999,4425835,118836,1,42044
104,4349572,4468188,118616,1,42322
105,4392080,4510182,118102,1,42026
106,4434915,4552598,117683,1,42377
107,4477412,4594766,117354,1,42188
108,4520172,4637441,117269,1,42626
109,4562871,4678989,116118,1,41655
110,4605579,4720867,115288,1,41855
111,4648257,4762207,113950,1,41391
112,4689264,4804070,114806,1,41815
113,4732068,4859097,127029,1,53705
114,4773180,4920799,147619,1,60902
115,4816025,4980078,164053,1,59441
116,4857057,5041565,184508,1,61282
117,4899418,5102079,202661,1,60590
118,4941936,5161109,219173,1,59186
119,4983160,5222727,239567,1,61374
120,5025833,5282602,256769,1,60024
121,5068570,5343713,275143,1,61002
122,5111395,5404614,293219,1,60911
123,5152308,5464947,312639,1,60390
124,5194513,5523989,329476,1,59176
125,5237290,5584533,347243,1,60407
126,5278475,5645544,367069,1,60950
127,5320967,5705274,384307,1,59852
128,5363533,5765786,402253,1,60446
129,5406255,5826650,420395,1,60822
130,5448971,5886728,437757,1,60152
131,5491470,5948566,457096,1,61669
132,5532718,6008550,475832,1,60152
133,5575455,6069018,493563,1,60436
134,5616521,6127876,511355,1,59015
135,5659080,6188690,529610,1,60634
136,5700176,6249977,549801,1,61221
137,5742743,6309459,566716,1,59655
138,5783863,6370795,586932,1,61167
