iteration,start,actor,exectime
1,15,D1,30222
2,35729,D1,30242
3,75139,D1,30205
4,115469,D1,30205
5,158966,D1,30290
6,201912,D1,30577
7,252239,D1,30429
8,292953,D1,30296
9,334234,D1,30446
10,371644,D1,30295
11,412330,D1,30211
12,460863,D1,30086
13,497733,D1,30234
14,538113,D1,30396
15,582158,D1,30306
16,621470,D1,30180
17,668946,D1,30325
18,710884,D1,30216
19,753860,D1,30210
20,797665,D1,30210
21,845646,D1,30206
22,880103,D1,30206
23,923072,D1,30204
24,966471,D1,30207
25,1007404,D1,30207
26,1049745,D1,30192
27,1088867,D1,30308
28,1128520,D1,30174
29,1183605,D1,30203
30,1217927,D1,30206
31,1260922,D1,30204
32,1303258,D1,30202
33,1352611,D1,30208
34,1387269,D1,30207
35,1430654,D1,30203
36,1473831,D1,30305
37,1511933,D1,30288
38,1551032,D1,30285
39,1594977,D1,30252
40,1634230,D1,30286
41,1680553,D1,30116
42,1724001,D1,30292
43,1760605,D1,30206
44,1809063,D1,30240
45,1858060,D1,30294
46,1888386,D1,30309
47,1929159,D1,30219
48,1977854,D1,30408
49,2018678,D1,30226
50,2061597,D1,30257
51,2101279,D1,30273
52,2140149,D1,30343
53,2186626,D1,30294
54,2224318,D1,30203
55,2272948,D1,30210
56,2317010,D1,30201
57,2364610,D1,30195
58,2399452,D1,30209
59,2443040,D1,30225
60,2486394,D1,30214
61,2527093,D1,30233
62,2565989,D1,30392
63,2605405,D1,30208
64,2653390,D1,30149
65,2704000,D1,30267
66,2734900,D1,30402
67,2774815,D1,30321
68,2825100,D1,30217
69,2873056,D1,30212
70,2907334,D1,30215
71,2950583,D1,30226
72,2994169,D1,30202
73,3034988,D1,30211
74,3077582,D1,30207
75,3120048,D1,30182
76,3162847,D1,30186
77,3213644,D1,30179
78,3247726,D1,30185
79,3291110,D1,30178
80,3335370,D1,30238
81,3383526,D1,30202
82,3417828,D1,30170
83,3461236,D1,30223
84,3504910,D1,30163
85,3545649,D1,30117
86,3583980,D1,30302
87,3623811,D1,30179
88,3671810,D1,30156
89,3711675,D1,30120
90,3749758,D1,30206
91,3798827,D1,30206
92,3844070,D1,30207
93,3891835,D1,30170
94,3925529,D1,30173
95,3968891,D1,30230
96,4012453,D1,30215
97,4053135,D1,30156
98,4091831,D1,30177
99,4131195,D1,30206
100,4179406,D1,30153
101,4219407,D1,30206
102,4257277,D1,30212
103,4306625,D1,30224
104,4350673,D1,30196
105,4399188,D1,30203
106,4439402,D1,30193
107,4477112,D1,30209
108,4520283,D1,30165
109,4561537,D1,30351
110,4604414,D1,30081
111,4642678,D1,30164
112,4681963,D1,60225
113,4758080,D1,60189
114,4818289,D1,60160
115,4878517,D1,60189
116,4938744,D1,60372
117,4999187,D1,60378
118,5059641,D1,60484
119,5120163,D1,60423
120,5180658,D1,60248
121,5240928,D1,60413
122,5301410,D1,60467
123,5361950,D1,60223
124,5422224,D1,60475
125,5482732,D1,60341
126,5543101,D1,60394
127,5603538,D1,60440
128,5664019,D1,60333
129,5724382,D1,60152
130,5784588,D1,60374
131,5845006,D1,60352
132,5905435,D1,60485
133,5965995,D1,60458
134,6026531,D1,60201
135,6086766,D1,60281
136,6147088,D1,60174
137,6207326,D1,60391
138,6267770,D1,60393
139,6328237,D1,60453
140,6388741,D1,60444
141,6449263,D1,60492
142,6509799,D1,60417
143,6570293,D1,60243
144,6630575,D1,60318
145,6690964,D1,60512
146,6751561,D1,60403
147,6812039,D1,60447
148,6872566,D1,60465
149,6933125,D1,60484
150,6993688,D1,60219
151,7053965,D1,60418
152,7114415,D1,60389
153,7174862,D1,60328
154,7235222,D1,60380
155,7295678,D1,60310
156,7356037,D1,60430
157,7416545,D1,60465
158,7477059,D1,60419
159,7537555,D1,60220
160,7597838,D1,60370
161,7658259,D1,60445
162,7718781,D1,60469
163,7779294,D1,60357
164,7839728,D1,60500
165,7900263,D1,60395
166,7960734,D1,60219
167,8021014,D1,60492
168,8081539,D1,60115
169,8141716,D1,60472
170,8202258,D1,60440
171,8262731,D1,60261
172,8323067,D1,60375
173,8383501,D1,60248
174,8443825,D1,60479
175,8504384,D1,60238
176,8564688,D1,60467
177,8625202,D1,60437
178,8685672,D1,60334
179,8746081,D1,60325
180,8806485,D1,60199
181,8866704,D1,60371
182,8927151,D1,60460
