it,start,end,latency,sol
1,0,51740,51740,1
2,15209,72439,57230,1
3,26631,93322,66691,1
4,37711,113786,76075,1
5,49135,134258,85123,1
6,60346,154749,94403,1
7,71488,175203,103715,1
8,82883,195645,112762,1
9,94029,216086,122057,1
10,105085,236499,131414,1
11,115245,256678,141433,1
12,126268,276902,150634,1
13,136460,297131,160671,1
14,147520,317321,169801,1
15,165012,337449,172437,1
16,185452,357620,172168,1
17,205906,377817,171911,1
18,226273,397935,171662,1
19,246465,418108,171643,1
20,266674,438274,171600,1
21,286886,458481,171595,1
22,307094,478698,171604,1
23,327249,498870,171621,1
24,347403,519102,171699,1
25,367601,539318,171717,1
26,387728,559441,171713,1
27,407892,579613,171721,1
28,428073,600067,171994,1
29,448305,620566,172261,1
30,468469,641059,172590,1
31,488665,661539,172874,1
32,508931,681980,173049,1
33,529125,702411,173286,1
34,549278,722871,173593,1
35,569402,743060,173658,1
36,589645,763275,173630,1
37,610305,783444,173139,1
38,630797,803590,172793,1
39,651304,823806,172502,1
40,671775,844035,172260,1
41,692260,864259,171999,1
42,712683,884436,171753,1
43,732890,904633,171743,1
44,753098,924775,171677,1
45,773264,944955,171691,1
46,793430,965127,171697,1
47,813652,985329,171677,1
48,833850,1005448,171598,1
49,854045,1025631,171586,1
50,874222,1045801,171579,1
51,894446,1065963,171517,1
52,914569,1086146,171577,1
53,934734,1106313,171579,1
54,954916,1126465,171549,1
55,975137,1146732,171595,1
56,995260,1166911,171651,1
57,1015429,1187191,171762,1
58,1035581,1207756,172175,1
59,1055765,1228011,172246,1
60,1075931,1248447,172516,1
61,1096144,1268920,172776,1
62,1116297,1289425,173128,1
63,1136547,1309910,173363,1
64,1156733,1330349,173616,1
65,1176987,1350602,173615,1
66,1197248,1370885,173637,1
67,1217772,1391197,173425,1
68,1238227,1411478,173251,1
69,1258681,1431913,173232,1
70,1279213,1452220,173007,1
71,1299685,1472336,172651,1
72,1320163,1492467,172304,1
73,1340436,1512718,172282,1
74,1360695,1532889,172194,1
75,1381032,1553017,171985,1
76,1401290,1573146,171856,1
77,1421725,1593328,171603,1
78,1442011,1613544,171533,1
79,1462161,1633745,171584,1
80,1482326,1653983,171657,1
81,1502499,1674171,171672,1
82,1522677,1694351,171674,1
83,1542809,1714451,171642,1
84,1563004,1734579,171575,1
85,1583156,1754785,171629,1
86,1603326,1774934,171608,1
87,1623481,1795040,171559,1
88,1643780,1815908,172128,1
89,1663972,1836452,172480,1
90,1684143,1856858,172715,1
91,1704310,1877096,172786,1
92,1724435,1897379,172944,1
93,1744600,1917642,173042,1
94,1764754,1937873,173119,1
95,1784885,1957984,173099,1
96,1805690,1978165,172475,1
97,1826172,1998321,172149,1
98,1846577,2018433,171856,1
99,1866946,2038586,171640,1
100,1887184,2058735,171551,1
101,1907464,2078917,171453,1
102,1927693,2099035,171342,1
103,1947830,2119179,171349,1
104,1967967,2139428,171461,1
105,1988123,2159585,171462,1
106,2008290,2179743,171453,1
107,2028426,2199913,171487,1
108,2048582,2220103,171521,1
109,2068731,2240228,171497,1
110,2088855,2260318,171463,1
111,2109050,2280474,171424,1
112,2129260,2300615,171355,1
113,2149416,2320760,171344,1
114,2169583,2340879,171296,1
115,2189763,2361042,171279,1
116,2209915,2381185,171270,1
117,2230040,2401578,171538,1
118,2250187,2422029,171842,1
119,2270290,2442392,172102,1
120,2290415,2462696,172281,1
121,2310554,2482944,172390,1
122,2330721,2503285,172564,1
123,2350847,2523705,172858,1
124,2370970,2544307,173337,1
125,2391124,2564421,173297,1
126,2411733,2584570,172837,1
127,2432210,2604743,172533,1
128,2452499,2624844,172345,1
129,2472782,2645038,172256,1
130,2493096,2665241,172145,1
131,2513380,2685328,171948,1
132,2534112,2705482,171370,1
133,2554260,2725612,171352,1
134,2574384,2745745,171361,1
135,2594536,2765850,171314,1
136,2614669,2786003,171334,1
137,2634829,2806110,171281,1
138,2655010,2826257,171247,1
139,2675148,2846451,171303,1
140,2695314,2866548,171234,1
141,2715450,2886688,171238,1
142,2735565,2906929,171364,1
143,2755687,2927069,171382,1
144,2775811,2947192,171381,1
145,2795963,2967375,171412,1
146,2816105,2987564,171459,1
147,2836269,3007855,171586,1
148,2856395,3028213,171818,1
149,2876545,3048685,172140,1
150,2896739,3069095,172356,1
151,2916890,3089507,172617,1
152,2937043,3109854,172811,1
153,2957206,3130304,173098,1
154,2977370,3150444,173074,1
155,2997523,3170592,173069,1
156,3017911,3190780,172869,1
157,3038428,3210941,172513,1
158,3058891,3231140,172249,1
159,3079323,3251235,171912,1
160,3099717,3271390,171673,1
161,3120112,3291522,171410,1
162,3140246,3311671,171425,1
163,3160439,3331842,171403,1
164,3180618,3351958,171340,1
165,3200773,3372130,171357,1
166,3220950,3392296,171346,1
167,3241091,3412507,171416,1
168,3261239,3432596,171357,1
169,3281393,3452740,171347,1
170,3301504,3472866,171362,1
171,3321682,3492992,171310,1
172,3341822,3513212,171390,1
173,3361945,3533494,171549,1
174,3382127,3553604,171477,1
175,3402247,3573729,171482,1
176,3422435,3593904,171469,1
177,3442572,3614172,171600,1
178,3462680,3634626,171946,1
179,3482831,3655030,172199,1
180,3503001,3675369,172368,1
181,3523240,3695666,172426,1
182,3543424,3715929,172505,1
183,3563561,3736164,172603,1
184,3583725,3756291,172566,1
185,3603887,3776404,172517,1
186,3624386,3796628,172242,1
187,3644827,3816770,171943,1
188,3665187,3836895,171708,1
189,3685477,3856983,171506,1
190,3705766,3877134,171368,1
191,3726001,3897307,171306,1
192,3746125,3917422,171297,1
193,3766223,3937549,171326,1
194,3786468,3957634,171166,1
195,3806592,3977803,171211,1
196,3826702,3997954,171252,1
197,3846818,4018090,171272,1
198,3866977,4038202,171225,1
199,3887099,4058401,171302,1
200,3907235,4078556,171321,1
201,3927362,4098708,171346,1
202,3947486,4118866,171380,1
203,3967622,4139018,171396,1
204,3987758,4159370,171612,1
205,4007895,4179413,171518,1
206,4028047,4199535,171488,1
207,4048202,4220169,171967,1
208,4068368,4240771,172403,1
209,4088521,4261153,172632,1
210,4108705,4281456,172751,1
211,4128856,4301743,172887,1
212,4148995,4321995,173000,1
213,4169248,4342159,172911,1
214,4189400,4362314,172914,1
215,4209909,4382471,172562,1
216,4230458,4402607,172149,1
217,4250865,4422807,171942,1
218,4271212,4442988,171776,1
219,4291525,4463118,171593,1
220,4311810,4483263,171453,1
221,4331967,4503499,171532,1
222,4352156,4523786,171630,1
223,4372298,4544155,171857,1
224,4392430,4564335,171905,1
225,4412623,4584493,171870,1
226,4432825,4604633,171808,1
227,4452940,4624820,171880,1
228,4473103,4644949,171846,1
229,4493254,4665133,171879,1
230,4513565,4685257,171692,1
231,4533916,4705369,171453,1
232,4554146,4725480,171334,1
233,4574300,4745660,171360,1
234,4594424,4765742,171318,1
235,4614589,4785884,171295,1
236,4634798,4806051,171253,1
237,4654921,4826379,171458,1
238,4675058,4846699,171641,1
239,4695167,4866836,171669,1
240,4715332,4886969,171637,1
241,4735467,4907160,171693,1
242,4755582,4927297,171715,1
243,4775717,4947413,171696,1
244,4795842,4967585,171743,1
245,4816126,4987730,171604,1
246,4836470,5008025,171555,1
247,4856693,5028582,171889,1
248,4876830,5049218,172388,1
249,4896967,5069636,172669,1
250,4917118,5090076,172958,1
251,4937271,5110480,173209,1
252,4957435,5130855,173420,1
253,4977586,5151178,173592,1
254,4997755,5171452,173697,1
255,5018191,5191560,173369,1
256,5192484,5280118,87634,1
257,5202407,5321209,118802,1
258,5213806,5361969,148163,1
259,5225268,5402694,177426,1
260,5236383,5443743,207360,1
261,5247468,5484055,236587,1
262,5258619,5524443,265824,1
263,5269735,5564612,294877,1
264,5280949,5604753,323804,1
265,5292003,5645114,353111,1
266,5302218,5685323,383105,1
267,5313389,5725479,412090,1
268,5323697,5765622,441925,1
269,5334731,5805740,471009,1
270,5372294,5845888,473594,1
271,5413371,5886025,472654,1
272,5453974,5926165,472191,1
273,5494222,5966364,472142,1
274,5534624,6006545,471921,1
275,5574757,6047220,472463,1
276,5614932,6087473,472541,1
277,5655249,6127803,472554,1
278,5695488,6168019,472531,1
279,5735627,6208208,472581,1
280,5775763,6248369,472606,1
281,5815883,6288488,472605,1
282,5856051,6328769,472718,1
283,5896246,6368925,472679,1
284,5936377,6409106,472729,1
285,5976567,6449200,472633,1
286,6016953,6489450,472497,1
287,6057426,6529882,472456,1
288,6097670,6570057,472387,1
289,6138010,6610424,472414,1
290,6178171,6651033,472862,1
291,6218361,6691323,472962,1
292,6258508,6731659,473151,1
293,6298660,6771782,473122,1
294,6338910,6811985,473075,1
295,6379103,6852129,473026,1
296,6419247,6892287,473040,1
297,6459375,6932399,473024,1
298,6499622,6972553,472931,1
299,6540107,7012763,472656,1
300,6580263,7052943,472680,1
301,6620669,7093080,472411,1
302,6661255,7133217,471962,1
303,6701544,7173395,471851,1
304,6741830,7213613,471783,1
305,6782001,7254120,472119,1
306,6822157,7294403,472246,1
307,6862304,7334710,472406,1
308,6902436,7374857,472421,1
309,6942574,7415087,472513,1
310,6982809,7455260,472451,1
311,7022920,7495380,472460,1
312,7063092,7535688,472596,1
313,7103253,7575848,472595,1
314,7143383,7616088,472705,1
315,7183588,7656297,472709,1
316,7223964,7696464,472500,1
317,7264315,7736600,472285,1
318,7304630,7776703,472073,1
319,7344928,7817042,472114,1
320,7385107,7857680,472573,1
321,7425305,7897923,472618,1
322,7465441,7938095,472654,1
323,7505573,7978247,472674,1
324,7545887,8018422,472535,1
325,7586078,8058580,472502,1
326,7626253,8098712,472459,1
327,7666449,8138895,472446,1
328,7706629,8179062,472433,1
329,7746743,8219272,472529,1
330,7786920,8259382,472462,1
331,7827435,8299568,472133,1
332,7867836,8339816,471980,1
333,7908061,8380110,472049,1
334,7948304,8420444,472140,1
335,7988462,8460961,472499,1
336,8028610,8501222,472612,1
337,8068769,8541627,472858,1
338,8108932,8581929,472997,1
339,8149103,8622248,473145,1
340,8189271,8662429,473158,1
341,8229448,8702627,473179,1
342,8269583,8742789,473206,1
343,8309831,8782994,473163,1
344,8350026,8823194,473168,1
345,8390287,8863356,473069,1
346,8430729,8903501,472772,1
347,8471111,8943692,472581,1
348,8511415,8983862,472447,1
349,8551783,9024575,472792,1
350,8592115,9064950,472835,1
351,8632472,9105211,472739,1
352,8672649,9145432,472783,1
353,8712828,9185593,472765,1
354,8752992,9225756,472764,1
355,8793200,9266122,472922,1
356,8833390,9306512,473122,1
357,8873545,9346810,473265,1
358,8913704,9387135,473431,1
359,8953898,9427422,473524,1
360,8994061,9467623,473562,1
361,9034801,9507771,472970,1
362,9075094,9548052,472958,1
363,9115391,9588269,472878,1
364,9155588,9629075,473487,1
365,9195742,9669456,473714,1
366,9236016,9709767,473751,1
367,9276372,9749877,473505,1
368,9316720,9790083,473363,1
369,9357014,9830293,473279,1
370,9397323,9870500,473177,1
371,9437666,9910661,472995,1
372,9477797,9950847,473050,1
373,9517964,9991029,473065,1
374,9558237,10032178,473941,1
375,9598487,10073450,474963,1
376,9639339,10114174,474835,1
377,9679630,10155211,475581,1
378,9719903,10196217,476314,1
379,9760057,10237623,477566,1
380,9800283,10278253,477970,1
381,9840502,10318844,478342,1
382,9880694,10359570,478876,1
383,9920854,10399992,479138,1
384,9961051,10440247,479196,1
385,10001270,10480456,479186,1
386,10042686,10520642,477956,1
387,10521204,10567647,46443,1
388,10531337,10588285,56948,1
389,10542666,10608686,66020,1
390,10553997,10629055,75058,1
391,10565202,10649558,84356,1
392,10576260,10669962,93702,1
393,10587402,10690402,103000,1
394,10598361,10710827,112466,1
395,10609471,10731270,121799,1
396,10620420,10751391,130971,1
397,10630578,10771523,140945,1
398,10641633,10791626,149993,1
399,10651791,10811858,160067,1
400,10662812,10832629,169817,1
401,10680238,10852901,172663,1
402,10700645,10873054,172409,1
403,10721084,10893185,172101,1
404,10741236,10913321,172085,1
405,10761372,10933456,172084,1
406,10781514,10953606,172092,1
407,10801661,10973731,172070,1
408,10822418,10993930,171512,1
409,10842723,11014027,171304,1
