it,start,end,latency,sol,period
1,0,86955,86955,1,50561
2,15068,137516,122448,1,50561
3,25394,187507,162113,1,50390
4,36037,237330,201293,1,50219
5,66469,286803,220334,1,49995
6,117172,336206,219034,1,49817
7,167228,385648,218420,1,49705
8,217073,435019,217946,1,49604
9,266513,484384,217871,1,49532
10,315933,534008,218075,1,49560
11,365375,583353,217978,1,49495
12,414747,633706,218959,1,49752
13,464109,683441,219332,1,49747
14,513693,733346,219653,1,49794
15,563081,782903,219822,1,49723
16,613389,832275,218886,1,49618
17,663162,881756,218594,1,49576
18,713043,931127,218084,1,49515
19,762635,980508,217873,1,49474
20,812025,1029837,217812,1,49431
21,861456,1079224,217768,1,49417
22,910847,1128518,217671,1,49380
23,960223,1177905,217682,1,49382
24,1009618,1227939,218321,1,49578
25,1058909,1277329,218420,1,49521
26,1108286,1327039,218753,1,49578
27,1157612,1376416,218804,1,49517
28,1207632,1425787,218155,1,49473
29,1257056,1475140,218084,1,49437
30,1306756,1524488,217732,1,49410
31,1356122,1573968,217846,1,49431
32,1405513,1623253,217740,1,49387
33,1454894,1672628,217734,1,49383
34,1504285,1721974,217689,1,49372
35,1553649,1771440,217791,1,49400
36,1603065,1821546,218481,1,49612
37,1652382,1871242,218860,1,49637
38,1701703,1921097,219394,1,49702
39,1751182,1970806,219624,1,49704
40,1801070,2020203,219133,1,49612
41,1851017,2069509,218492,1,49520
42,1900828,2118916,218088,1,49486
43,1950563,2168250,217687,1,49440
44,1999938,2217575,217637,1,49405
45,2049284,2266956,217672,1,49398
46,2098659,2316314,217655,1,49386
47,2147994,2365670,217676,1,49377
48,2197339,2415394,218055,1,49481
49,2246685,2464840,218155,1,49470
50,2296046,2514211,218165,1,49440
51,2345397,2563618,218221,1,49430
52,2394777,2613094,218317,1,49444
53,2444567,2662775,218208,1,49515
54,2493940,2712060,218120,1,49446
55,2543302,2761444,218142,1,49427
56,2592745,2810860,218115,1,49424
57,2642516,2860418,217902,1,49464
58,2691881,2909785,217904,1,49435
59,2741187,2959143,217956,1,49411
60,2790592,3008724,218132,1,49462
61,2840116,3058337,218221,1,49507
62,2889524,3108026,218502,1,49562
63,2938873,3157415,218542,1,49510
64,2988248,3206772,218524,1,49464
65,3038077,3256104,218027,1,49424
66,3087699,3305441,217742,1,49398
67,3137179,3354884,217705,1,49411
68,3186528,3404225,217697,1,49390
69,3235863,3453548,217685,1,49370
70,3285214,3502963,217749,1,49383
71,3334592,3552407,217815,1,49401
72,3383964,3601812,217848,1,49402
73,3433297,3652018,218721,1,49643
74,3482708,3701338,218630,1,49546
75,3532133,3750726,218593,1,49499
76,3581539,3800072,218533,1,49453
77,3631784,3849436,217652,1,49426
78,3681116,3898766,217650,1,49397
79,3730441,3948107,217666,1,49380
80,3779828,3997480,217652,1,49378
81,3829163,4046834,217671,1,49370
82,3878476,4096229,217753,1,49378
83,3927836,4145581,217745,1,49370
