it,start,end,latency,sol,period
1,0,111230,111230,1,41264
2,14026,152494,138468,1,41264
3,24543,193580,169037,1,41192
4,35200,234406,199206,1,41046
5,45415,275225,229810,1,40955
6,55691,315691,260000,1,40759
7,65980,356189,290209,1,40654
8,76405,396588,320183,1,40552
9,86850,437072,350222,1,40525
10,100700,477505,376805,1,40488
11,141998,517969,375971,1,40478
12,183079,558420,375341,1,40467
13,223892,598826,374934,1,40442
14,264668,639726,375058,1,40625
15,305182,680224,375042,1,40574
16,345666,720906,375240,1,40617
17,386092,761702,375610,1,40688
18,426550,802238,375688,1,40627
19,466890,842617,375727,1,40528
20,507331,883042,375711,1,40486
21,547789,923501,375712,1,40475
22,588168,963901,375733,1,40445
23,629033,1004283,375250,1,40420
24,669531,1044787,375256,1,40453
25,710277,1085242,374965,1,40454
26,751065,1125605,374540,1,40417
27,791557,1166050,374493,1,40428
28,831982,1206502,374520,1,40437
29,872455,1247230,374775,1,40553
30,912901,1287712,374811,1,40525
31,953376,1328440,375064,1,40606
32,993745,1369139,375394,1,40643
33,1034197,1409645,375448,1,40588
34,1074640,1450190,375550,1,40571
35,1115022,1490634,375612,1,40520
36,1155443,1531150,375707,1,40518
37,1195882,1571603,375721,1,40492
38,1236631,1611934,375303,1,40427
39,1277156,1652355,375199,1,40425
40,1317860,1692731,374871,1,40405
41,1358642,1733128,374486,1,40402
42,1399209,1773662,374453,1,40454
43,1439695,1814576,374881,1,40638
44,1480248,1855107,374859,1,40595
45,1520668,1895817,375149,1,40641
46,1561119,1936566,375447,1,40684
47,1601446,1977263,375817,1,40689
48,1641863,2017759,375896,1,40612
49,1682274,2058116,375842,1,40510
50,1722683,2098532,375849,1,40472
51,1763121,2138884,375763,1,40424
52,1804015,2179277,375262,1,40411
53,1844606,2219801,375195,1,40456
54,1885315,2260178,374863,1,40424
55,1926075,2300541,374466,1,40400
56,1966851,2340998,374147,1,40422
57,2007203,2381467,374264,1,40441
58,2047559,2422321,374762,1,40606
59,2087973,2462946,374973,1,40613
60,2128322,2503608,375286,1,40633
61,2168715,2544352,375637,1,40677
62,2209230,2585223,375993,1,40754
63,2249600,2625639,376039,1,40619
64,2289950,2666064,376114,1,40541
65,2330413,2706464,376051,1,40484
66,2370873,2746847,375974,1,40444
67,2411720,2787317,375597,1,40454
68,2452258,2827687,375429,1,40420
69,2492970,2868113,375143,1,40422
70,2533761,2908494,374733,1,40406
71,2574590,2948935,374345,1,40420
72,2615036,2989442,374406,1,40454
73,2655432,3030453,375021,1,40677
74,2695834,3070921,375087,1,40593
75,2736219,3111711,375492,1,40672
76,2776676,3152464,375788,1,40704
77,2817019,3193080,376061,1,40669
78,2857455,3233633,376178,1,40622
79,2897804,3274027,376223,1,40531
80,2938250,3314437,376187,1,40482
81,2978667,3354901,376234,1,40475
82,3019741,3395313,375572,1,40449
83,3060185,3435722,375537,1,40433
84,3100947,3476192,375245,1,40448
85,3141714,3516531,374817,1,40404
86,3182314,3556978,374664,1,40421
87,3222848,3597387,374539,1,40416
88,3263351,3638309,374958,1,40618
89,3303737,3678728,374991,1,40538
90,3344168,3719527,375359,1,40642
91,3384627,3760328,375701,1,40706
92,3425053,3800851,375798,1,40632
93,3465479,3841245,375766,1,40537
94,3505868,3881660,375792,1,40488
95,3546326,3922084,375758,1,40462
96,3586727,3962453,375726,1,40425
97,3627708,4002809,375101,1,40397
98,3668114,4043159,375045,1,40378
99,3708901,4083586,374685,1,40397
100,3749703,4124031,374328,1,40416
101,3790199,4164351,374152,1,40378
102,3830617,4204716,374099,1,40372
103,3871011,4245316,374305,1,40463
104,3911378,4285797,374419,1,40470
105,3951810,4326575,374765,1,40593
106,3992185,4367328,375143,1,40657
107,4032565,4407777,375212,1,40574
108,4072952,4448250,375298,1,40533
109,4113304,4488692,375388,1,40496
110,4153739,4529136,375397,1,40475
111,4194102,4569610,375508,1,40475
112,4234823,4610004,375181,1,40442
113,4275283,4650388,375105,1,40419
114,4316036,4690824,374788,1,40425
115,4356727,4731217,374490,1,40412
116,4397212,4771628,374416,1,40412
117,4437650,4812088,374438,1,40431
118,4478074,4852759,374685,1,40527
119,4518509,4893320,374811,1,40540
120,4558942,4934108,375166,1,40639
121,4599342,4974817,375475,1,40667
122,4639717,5015625,375908,1,40723
123,4680174,5056670,376496,1,40852
124,4720549,5097823,377274,1,40972
125,4760962,5139136,378174,1,41108
126,4801344,5180424,379080,1,41180
127,4842068,5221451,379383,1,41119
128,4882659,5262329,379670,1,41022
129,4923381,5303166,379785,1,40948
130,4964101,5344066,379965,1,40929
131,5004848,5384768,379920,1,40838
132,5045806,5425402,379596,1,40756
133,5426568,5570027,143459,2,44147
134,5446726,5614174,167448,2,44147
135,5475382,5657531,182149,2,43831
136,5500827,5700820,199993,2,43614
137,5521720,5744091,222371,2,43476
138,5542610,5787400,244790,2,43409
139,5563503,5830630,267127,2,43337
140,5584393,5874040,289647,2,43366
141,5605287,5917339,312052,2,43339
142,5630672,5960660,329988,2,43332
143,5672296,6003957,331661,2,43318
144,5713892,6047321,333429,2,43336
145,5755491,6090665,335174,2,43339
146,5797075,6133855,336780,2,43279
147,5838668,6177197,338529,2,43304
148,5880262,6220549,340287,2,43323
149,5921846,6263894,342048,2,43332
150,5963439,6307051,343612,2,43262
151,6005030,6350444,345414,2,43314
152,6046659,6393802,347143,2,43331
153,6088255,6437139,348884,2,43333
154,6129845,6480315,350470,2,43270
155,6171436,6532112,360676,2,46681
156,6213049,6574501,361452,2,44964
157,6254632,6616633,362001,2,43831
158,6296220,6658712,362492,2,43130
159,6337812,6700808,362996,2,42716
160,6379401,6742890,363489,2,42462
161,6420993,6784946,363953,2,42300
162,6462582,6827015,364433,2,42207
163,6503281,6869105,365824,2,42160
164,6544914,6911168,366254,2,42121
165,6586508,6953359,366851,2,42149
166,6628152,6995456,367304,2,42128
167,6669721,7037515,367794,2,42100
168,6711222,7079561,368339,2,42078
169,6752751,7121638,368887,2,42078
170,6794328,7163822,369494,2,42120
171,6835921,7205854,369933,2,42085
172,6877504,7247979,370475,2,42101
173,6919096,7290031,370935,2,42081
174,6960695,7332240,371545,2,42132
175,7002273,7374238,371965,2,42078
176,7043786,7416376,372590,2,42102
177,7085385,7458449,373064,2,42090
178,7126960,7500539,373579,2,42090
179,7168477,7542657,374180,2,42101
180,7210184,7585037,374853,2,42212
181,7251767,7627870,376103,2,42460
182,7293360,7670725,377365,2,42618
183,7334938,7713442,378504,2,42657
184,7376534,7756285,379751,2,42731
185,7418128,7799158,381030,2,42788
186,7459716,7841800,382084,2,42729
187,7501305,7884652,383347,2,42778
188,7542894,7927525,384631,2,42816
189,7584465,7970305,385840,2,42801
190,7626055,8013164,387109,2,42824
191,7667648,8055949,388301,2,42808
192,7709234,8098733,389499,2,42798
193,7750820,8141571,390751,2,42814
194,7792416,8184477,392061,2,42851
195,7834075,8227359,393284,2,42863
196,7875669,8270128,394459,2,42825
197,7917145,8312917,395772,2,42811
198,7958745,8355775,397030,2,42829
199,8000267,8398534,398267,2,42801
200,8041846,8441339,399493,2,42802
201,8083400,8484119,400719,2,42793
202,8124990,8526926,401936,2,42799
203,8166574,8569729,403155,2,42800
204,8207956,8611990,404034,2,42584
205,8249536,8654066,404530,2,42381
206,8291123,8696450,405327,2,42382
207,8332668,8738906,406238,2,42411
208,8374255,8781353,407098,2,42425
209,8415904,8823792,407888,2,42431
210,8457476,8866238,408762,2,42437
211,8499094,8908706,409612,2,42449
212,8540690,8951158,410468,2,42450
213,8582308,8993614,411306,2,42452
214,8623822,9036044,412222,2,42443
215,8666126,9078524,412398,2,42458
216,8708577,9120961,412384,2,42449
217,8751022,9163411,412389,2,42449
218,8793472,9205857,412385,2,42448
219,8835937,9248311,412374,2,42450
220,8878370,9290737,412367,2,42440
221,8920821,9333208,412387,2,42452
222,8963284,9375655,412371,2,42450
223,9005729,9418094,412365,2,42445
224,9048257,9460544,412287,2,42447
225,9090625,9503010,412385,2,42454
226,9133079,9545440,412361,2,42444
227,9175528,9587897,412369,2,42449
228,9217984,9630362,412378,2,42455
229,9260432,9672701,412269,2,42409
230,9302881,9714618,411737,2,42212
231,9345326,9747958,402632,2,38663
232,9387782,9789518,401736,2,39822
233,9430228,9831031,400803,2,40498
234,9472680,9872688,400008,2,40961
235,9515125,9914256,399131,2,41204
236,9557578,9955777,398199,2,41330
237,9600034,9997426,397392,2,41458
238,9642545,10038961,396416,2,41488
239,9684900,10089957,405057,2,45291
240,9727156,10130334,403178,2,43325
241,9768760,10173062,404302,2,43086
242,9810350,10213952,403602,2,42208
243,9851941,10255558,403617,2,41967
244,9893530,10297140,403610,2,41813
245,9935126,10334188,399062,2,39907
246,9976719,10376737,400018,2,40963
247,10018361,10411832,393471,2,38616
248,10060873,10451995,391122,2,39234
249,10453368,10634735,181367,3,58676
250,10484559,10693411,208852,3,58676
251,10515833,10746992,231159,3,56638
