it,start,end,latency,sol,period
1,0,80611,80611,1,50802
2,13579,131413,117834,1,50801
3,23868,183077,159209,1,51060
4,34042,232472,198430,1,50560
5,44385,281605,237220,1,50132
6,54555,330854,276299,1,49867
7,64965,380162,315197,1,49699
8,76001,429472,353471,1,49582
9,86286,478750,392464,1,49491
10,121068,528141,407073,1,49461
11,172744,577399,404655,1,49400
12,222368,627444,405076,1,49593
13,271518,676762,405244,1,49510
14,320694,725996,405302,1,49427
15,369992,775211,405219,1,49364
16,419400,824394,404994,1,49309
17,468588,873577,404989,1,49271
18,517985,922843,404858,1,49269
19,567265,972054,404789,1,49252
20,617285,1021288,404003,1,49246
21,666683,1070508,403825,1,49238
22,715866,1119747,403881,1,49238
23,765064,1168961,403897,1,49231
24,814310,1218774,404464,1,49405
25,863465,1268112,404647,1,49385
26,912715,1318282,405567,1,49620
27,961942,1367461,405519,1,49488
28,1011207,1416715,405508,1,49418
29,1060362,1465901,405539,1,49348
30,1109594,1515174,405580,1,49325
31,1158878,1564410,405532,1,49298
32,1208503,1613652,405149,1,49281
33,1258005,1662832,404827,1,49251
34,1308153,1711990,403837,1,49223
35,1357284,1761181,403897,1,49213
36,1406571,1810585,404014,1,49270
37,1455817,1860327,404510,1,49412
38,1504992,1909525,404533,1,49347
39,1554329,1958757,404428,1,49313
40,1603512,2007958,404446,1,49279
41,1652718,2057186,404468,1,49264
42,1701813,2106453,404640,1,49264
43,1751100,2155684,404584,1,49254
44,1800405,2205291,404886,1,49360
45,1850176,2254554,404378,1,49331
46,1899416,2303807,404391,1,49307
47,1948578,2353017,404439,1,49278
48,1997846,2402585,404739,1,49365
49,2047082,2452430,405348,1,49509
50,2096331,2501858,405527,1,49484
51,2145546,2551653,406107,1,49577
52,2195218,2601304,406086,1,49599
53,2244430,2650533,406103,1,49488
54,2293678,2699910,406232,1,49455
55,2342904,2749160,406256,1,49393
56,2392183,2798395,406212,1,49346
57,2442277,2847522,405245,1,49280
58,2491768,2896691,404923,1,49246
59,2541473,2945913,404440,1,49239
60,2591203,2995111,403908,1,49227
61,2640441,3045043,404602,1,49438
62,2689771,3094353,404582,1,49399
63,2739032,3143555,404523,1,49340
64,2788213,3192766,404553,1,49301
65,2837418,3241957,404539,1,49268
66,2886612,3291216,404604,1,49265
67,2935789,3340535,404746,1,49281
68,2984932,3389837,404905,1,49287
69,3034919,3439079,404160,1,49274
70,3084197,3488334,404137,1,49268
71,3133393,3537571,404178,1,49258
72,3182638,3586775,404137,1,49242
73,3231858,3636836,404978,1,49488
74,3281072,3686066,404994,1,49410
75,3330369,3735950,405581,1,49552
76,3379705,3785790,406085,1,49638
77,3428945,3835042,406097,1,49522
78,3478232,3884276,406044,1,49436
79,3527418,3933545,406127,1,49386
80,3576593,3982836,406243,1,49357
81,3626653,4032060,405407,1,49317
82,3675939,4081325,405386,1,49301
83,3725751,4130565,404814,1,49283
84,3775652,4180173,404521,1,49380
85,3824872,4230253,405381,1,49590
86,3874125,4279478,405353,1,49480
87,3923391,4329359,405968,1,49600
88,3972652,4379253,406601,1,49688
89,4021884,4428651,406767,1,49601
90,4071174,4477914,406740,1,49499
91,4120379,4527179,406800,1,49429
92,4170009,4576443,406434,1,49379
93,4220064,4625667,405603,1,49333
94,4269343,4674864,405521,1,49292
95,4319200,4724091,404891,1,49272
96,4369036,4773323,404287,1,49260
97,4418521,4823273,404752,1,49467
98,4467782,4872649,404867,1,49439
99,4517012,4922517,405505,1,49568
100,4566316,4972375,406059,1,49655
101,4615548,5021670,406122,1,49547
102,4664690,5070896,406206,1,49450
103,4713937,5120203,406266,1,49407
104,4763182,5169442,406260,1,49357
105,4813051,5218743,405692,1,49340
106,4862521,5267934,405413,1,49295
107,4912343,5317197,404854,1,49285
108,4962270,5366466,404196,1,49280
109,5011561,5415816,404255,1,49301
110,5060732,5465407,404675,1,49388
111,5109941,5515075,405134,1,49472
112,5159310,5564963,405653,1,49596
113,5208582,5614474,405892,1,49571
114,5257806,5663694,405888,1,49465
115,5307062,5712932,405870,1,49397
116,5356310,5762212,405902,1,49362
117,5405626,5811468,405842,1,49330
118,5455299,5860657,405358,1,49287
119,5504920,5909885,404965,1,49269
120,5554829,5959165,404336,1,49272
121,5604297,6008415,404118,1,49266
122,5653542,6058143,404601,1,49404
123,5702804,6107399,404595,1,49360
124,5752037,6156746,404709,1,49356
125,5801292,6206394,405102,1,49443
126,5850552,6255708,405156,1,49404
127,5899762,6304989,405227,1,49367
128,5949005,6354244,405239,1,49333
129,5998290,6403503,405213,1,49311
130,6047984,6452757,404773,1,49294
131,6097199,6502014,404815,1,49283
132,6146573,6551324,404751,1,49291
133,6196237,6600524,404287,1,49263
134,6245529,6650572,405043,1,49499
135,6294855,6699794,404939,1,49415
136,6344112,6749076,404964,1,49375
137,6393370,6798367,404997,1,49350
138,6442625,6847570,404945,1,49306
139,6491865,6896794,404929,1,49281
140,6541134,6946067,404933,1,49278
141,6590395,6995286,404891,1,49260
142,6640399,7044500,404101,1,49246
143,6689639,7093726,404087,1,49240
144,6738940,7142964,404024,1,49239
145,6788210,7192159,403949,1,49226
146,6837415,7242406,404991,1,49532
147,6886688,7291716,405028,1,49465
148,6935910,7341688,405778,1,49617
149,6985126,7391780,406654,1,49759
150,7034378,7441171,406793,1,49649
151,7083594,7490387,406793,1,49519
152,7132815,7539646,406831,1,49441
153,7182047,7588912,406865,1,49388
154,7232246,7638166,405920,1,49348
155,7281589,7687526,405937,1,49351
156,7331460,7736775,405315,1,49320
157,7381605,7786095,404490,1,49320
158,7431028,7836058,405030,1,49513
159,7480234,7885324,405090,1,49439
160,7529457,7934616,405159,1,49395
161,7578726,7983853,405127,1,49347
162,7628004,8033085,405081,1,49312
163,7677391,8082335,404944,1,49294
164,7726617,8131590,404973,1,49282
165,7775881,8181139,405258,1,49362
166,7825898,8230609,404711,1,49394
167,7875204,8279815,404611,1,49338
168,7924433,8329051,404618,1,49307
169,7973669,8378398,404729,1,49319
170,8022954,8428432,405478,1,49533
171,8072182,8477833,405651,1,49493
172,8121414,8527715,406301,1,49610
173,8170991,8577525,406534,1,49670
174,8220449,8626743,406294,1,49534
175,8269672,8676020,406348,1,49457
176,8318924,8725180,406256,1,49368
