it,start,end,latency,sol,period
1,0,6398304,6398304,1,279220
2,22340,6677524,6655184,1,279220
3,80270,7629213,7548943,1,480960
4,139860,7921166,7781306,1,424258
5,204830,8971425,8766595,1,612058
6,261259,9133518,8872259,1,477068
7,372706,10267049,9894343,1,674007
8,470644,10494432,10023788,1,540020
9,573802,11536509,10962707,1,690637
10,690644,11829519,11138875,1,571349
11,858646,12780022,11921376,1,685095
12,992154,13046068,12053914,1,559380
13,1144778,14016482,12871704,1,682690
14,1319197,14293522,12974325,1,560995
15,1526645,15298633,13771988,1,694230
16,1711305,15641524,13930219,1,588828
17,1918649,16560516,14641867,1,687877
18,2093677,16806005,14712328,1,555160
19,2310644,17765230,15454586,1,676380
20,2517566,18005525,15487959,1,545554
21,2913636,19095907,16182271,1,709002
22,2984014,19430940,16446926,1,596811
23,3842183,20408508,16566325,1,711038
24,3974645,20706281,16731636,1,587058
25,4906108,21612512,16706404,1,682810
26,5050643,21979326,16928683,1,588011
27,6079171,22875835,16796664,1,680560
28,6233456,23169519,16936063,1,564497
29,7320014,24181082,16861068,1,698617
30,7467406,24461535,16994129,1,573168
31,8593115,25420515,16827400,1,688911
32,8618646,25645517,17026871,1,549738
33,9835668,26692509,16856841,1,698914
34,9993457,26881529,16888072,1,545946
35,11101630,27926655,16825025,1,695700
36,11268917,28245522,16976605,1,582650
37,12342401,29154504,16812103,1,680549
38,12518643,29429521,16910878,1,558889
39,13567731,30433828,16866097,1,692515
40,13714649,30734730,17020081,1,575031
41,14870100,31701203,16831103,1,692463
42,14930644,32001511,17070867,1,574816
43,16133887,32988512,16854625,1,698472
44,16294644,33281520,16986876,1,576832
45,17393637,34235307,16841670,1,689919
46,17544450,34507364,16962914,1,564560
47,18573159,35524508,16951349,1,700335
48,18758648,35801526,17042878,1,573340
49,19856475,36749302,16892827,1,685671
50,20018647,37084111,17065464,1,580412
51,21149631,38016842,16867211,1,686107
52,21242643,38277518,17034875,1,558478
53,22466019,39280516,16814497,1,691834
54,22594645,39585515,16990870,1,575783
55,23667302,40540512,16873210,1,689547
56,23818644,40761157,16942513,1,548876
57,24937634,41796509,16858875,1,694819
58,25078394,42005518,16927124,1,549076
59,26185635,43044512,16858877,1,696051
60,26306287,43349529,17043242,1,578741
61,27461811,44273559,16811748,1,682327
62,27530643,44557523,17026880,1,562818
63,28733810,45528023,16794213,1,685123
64,28874644,45786232,16911588,1,557048
65,29951310,46808512,16857202,1,696618
66,30095403,47121274,17025871,1,581461
67,31237958,48080515,16842557,1,694795
68,31383500,48396126,17012626,1,581039
69,32493629,49352934,16859305,1,693770
70,32586646,49614275,17027629,1,564041
71,33688235,50583835,16895600,1,685697
72,33854646,50841531,16986885,1,557296
73,34967098,51825383,16858285,1,685263
74,35131511,52145512,17014001,1,575723
75,36230745,53057238,16826493,1,676523
76,36391611,53369512,16977901,1,567248
77,37499100,54277408,16778308,1,669443
78,37666644,54573511,16906867,1,557441
79,38757749,55485643,16727894,1,663848
80,38850650,55805367,16954717,1,560611
81,40041629,56707555,16665926,1,663084
82,40182644,56973514,16790870,1,543946
83,41285632,57930145,16644513,1,667751
84,41439403,58237513,16798110,1,559636
85,42549775,59141106,16591331,1,662823
86,42705131,59409511,16704380,1,544498
87,43733008,60146372,16413364,1,602206
88,43893134,60405516,16512382,1,499288
89,45046442,61060505,16014063,1,545998
90,45154647,61245548,16090901,1,437711
91,46275211,61807880,15532669,1,475097
92,46386644,61957512,15570868,1,377458
93,47565627,62413036,14847409,1,400877
94,47738644,62549512,14810868,1,321557
95,48780360,62852502,14072142,1,315987
96,48927404,62917421,13990017,1,240666
97,50035451,63175991,13140540,1,246037
98,50209567,63217530,13007963,1,184688
99,51354986,63334728,11979742,1,164441
100,51438647,63349634,11910987,1,119580
