it,start,end,latency,sol,period
1,0,1840652,1840652,1,364830
2,82015,2205482,2123467,1,364830
3,166019,2526375,2360356,1,351648
4,244917,2843047,2598130,1,341155
5,334012,3185946,2851934,1,341678
6,414012,3473555,3059543,1,325457
7,502011,3745768,3243757,1,309484
8,586011,3994461,3408450,1,291246
9,647612,4243023,3595411,1,278441
10,690112,4492309,3802197,1,269694
11,831499,4742104,3910605,1,263724
12,1057021,4991608,3934587,1,259458
13,1296311,5241329,3945018,1,256537
14,1522301,5489725,3967424,1,254094
15,1749994,5738463,3988469,1,252487
16,1973134,5986642,4013508,1,251195
17,2212285,6235266,4022981,1,250423
18,2429317,6483559,4054242,1,249784
19,2632795,6732231,4099436,1,249450
20,2832712,6980592,4147880,1,249123
21,3036075,7229280,4193205,1,248993
22,3232990,7477741,4244751,1,248833
23,3433691,7725866,4292175,1,248620
24,3629629,7974437,4344808,1,248605
25,3832266,8222678,4390412,1,248496
26,4033711,8474351,4440640,1,249449
27,4234512,8724556,4490044,1,249676
28,4433847,8975261,4541414,1,249984
29,4648246,9224405,4576159,1,249732
30,4853756,9473244,4619488,1,249464
31,5055487,9721399,4665912,1,249071
32,5254440,9970543,4716103,1,249093
33,5458703,10218825,4760122,1,248849
34,5660624,10468480,4807856,1,249091
35,5855597,10717425,4861828,1,249047
36,6056861,10966711,4909850,1,249119
37,6262179,11215460,4953281,1,249008
38,6461552,11464639,5003087,1,249059
39,6656382,11712999,5056617,1,248849
40,6858059,11961832,5103773,1,248844
41,7060898,12210128,5149230,1,248680
42,7270160,12458961,5188801,1,248725
43,7464065,12707269,5243204,1,248600
44,7661230,12956240,5295010,1,248711
45,7863752,13205407,5341655,1,248848
46,8067496,13454353,5386857,1,248877
47,8270662,13702684,5432022,1,248713
48,8469750,13951506,5481756,1,248746
49,8676637,14199792,5523155,1,248608
50,8879939,14448618,5568679,1,248673
51,9076657,14702242,5625585,1,250158
52,9275262,14957401,5682139,1,251658
53,9480899,15212050,5731151,1,252555
54,9684608,15467132,5782524,1,253313
55,9884968,15680048,5795080,1,241194
56,10078798,15893442,5814644,1,232854
57,10289680,16106372,5816692,1,226876
58,16136589,18826803,2690214,2,974943
59,16254012,19472702,3218690,2,876229
60,16418011,20118479,3700468,2,807094
61,16594011,20712965,4118954,2,743311
62,16758057,21282374,4524317,2,691140
63,16933671,21850351,4916680,2,654191
64,17129024,22415733,5286709,2,627548
65,17301783,22974802,5673019,2,607004
66,17487124,23525999,6038875,2,590262
67,17659352,24075231,6415879,2,577953
68,17817604,24623023,6805419,2,568904
69,17972560,25168009,7195449,2,561729
70,18127648,25711109,7583461,2,556140
71,18284569,26248556,7963987,2,550532
72,18439020,26784914,8345894,2,546280
73,18632319,27313983,8681664,2,541116
74,18846200,27838524,8992324,2,536144
75,19060013,28363654,9303641,2,532839
76,19269672,28888032,9618360,2,530301
77,19466698,29413593,9946895,2,528879
78,19666053,29938626,10272573,2,527725
79,19874386,30466732,10592346,2,527839
80,20074433,30994198,10919765,2,527727
81,20279005,31522328,11243323,2,527848
82,20473782,32050196,11576414,2,527854
83,20680694,32576586,11895892,2,527414
84,20873942,33104700,12230758,2,527624
85,21078135,33633443,12555308,2,527960
86,21278027,34162146,12884119,2,528183
