it,start,end,latency,sol,period
1,0,1641949,1641949,1,241252
2,51020,1883201,1832181,1,241252
3,98323,2121987,2023664,1,240512
4,143094,2359357,2216263,1,239569
5,187760,2599940,2412180,1,239873
6,231811,2838120,2606309,1,239365
7,275972,3077504,2801532,1,239371
8,320168,3316764,2996596,1,239337
9,364366,3554318,3189952,1,238802
10,410895,3799794,3388899,1,240804
11,533167,4045137,3511970,1,242166
12,657635,4289574,3631939,1,242847
13,777856,4531356,3753500,1,242527
14,890184,4772208,3882024,1,242025
15,1003796,5020301,4016505,1,243845
16,1116362,5259363,4143001,1,242410
17,1256588,5494138,4237550,1,240119
18,1376337,5730399,4354062,1,238962
19,1500457,5965441,4464984,1,237786
20,1612725,6200424,4587699,1,236945
21,1727280,6430068,4702788,1,234754
22,1839891,6659006,4819115,1,233009
23,1965030,6890132,4925102,1,232444
24,2095329,7120518,5025189,1,231827
25,2181139,7350437,5169298,1,231254
26,2287703,7582466,5294763,1,231486
27,2390903,7808221,5417318,1,229767
28,2490703,8033194,5542491,1,228329
29,2597438,8258644,5661206,1,227465
30,2692748,8485229,5792481,1,227201
31,2794472,8710605,5916133,1,226653
32,2886612,8934926,6048314,1,225953
33,2986973,9163967,6176994,1,226880
34,3088477,9392770,6304293,1,227456
35,3188523,9620340,6431817,1,227490
36,3287775,9849513,6561738,1,227995
37,3387256,10078412,6691156,1,228266
38,3493979,10307253,6813274,1,228438
39,3585329,10534724,6949395,1,228148
40,3686353,10764442,7078089,1,228619
41,3792857,10992978,7200121,1,228594
42,3888030,11222439,7334409,1,228854
43,3998848,11449489,7450641,1,228313
44,4085351,11682107,7596756,1,229604
45,4195431,11914989,7719558,1,230587
46,4291927,12148147,7856220,1,231358
47,4402896,12378355,7975459,1,231013
48,4501498,12607259,8105761,1,230380
49,4602681,12835900,8233219,1,229858
50,4699639,13064525,8364886,1,229488
51,4801552,13293747,8492195,1,229408
52,4899575,13522367,8622792,1,229172
53,4998714,13752517,8753803,1,229465
54,5101146,13982325,8881179,1,229568
55,5202919,14212462,9009543,1,229738
56,5297130,14441606,9144476,1,229560
57,5394249,14670455,9276206,1,229346
58,5487445,14899748,9412303,1,229330
59,5585146,15128156,9543010,1,229053
60,5684331,15357121,9672790,1,229027
61,5780317,15580990,9800673,1,227479
62,5882278,15804555,9922277,1,226305
63,5978171,16027777,10049606,1,225380
64,6070080,16251412,10181332,1,224856
65,6163694,16468000,10304306,1,222376
66,6250599,16685273,10434674,1,220845
67,6344613,16902848,10558235,1,219864
68,6439597,17120054,10680457,1,219066
69,6623512,17337618,10714106,1,218615
70,6875862,17554955,10679093,1,218232
71,7125837,17772563,10646726,1,218044
72,7363875,17989625,10625750,1,217750
73,7621774,18207106,10585332,1,217669
74,7830933,18424373,10593440,1,217548
75,8075642,18641213,10565571,1,217336
76,8360473,18854748,10494275,1,216195
77,8576453,19067788,10491335,1,215249
78,8792342,19281528,10489186,1,214796
79,9033267,19494536,10461269,1,214259
80,9260215,19708068,10447853,1,214041
81,9457395,19920942,10463547,1,213691
82,9709481,20134165,10424684,1,213550
83,9945967,20347580,10401613,1,213510
84,10155898,20560438,10404540,1,213314
85,10371246,20773812,10402566,1,213332
86,20804539,22925303,2120764,2,794779
87,20896927,23404007,2507080,2,699957
88,20984189,23961447,2977258,2,657201
89,21058658,24518552,3459894,2,627172
90,21133471,25017248,3883777,2,588629
91,21211301,25473358,4262057,2,548873
92,21298787,25906492,4607705,2,514151
93,21386312,26335777,4949465,2,488691
