it,start,end,latency,sol,period
1,0,826348,826348,2,221597
2,59602,1047945,988343,2,221597
3,91657,1308076,1216419,2,233157
4,122930,1505071,1382141,2,222308
5,175028,1753954,1578926,2,230280
6,263028,1968764,1705736,2,225639
7,347028,2182463,1835435,2,222057
8,413169,2402411,1989242,2,221424
9,511032,2614195,2103163,2,218532
10,606301,2831735,2225434,2,218234
11,770612,3042859,2272247,2,216101
12,979293,3231219,2251926,2,207779
13,1168232,3360756,2192524,2,184306
14,1364670,3454217,2089547,2,157052
15,1575165,3695127,2119962,2,182209
16,1757091,3944194,2187103,2,202267
17,1952795,4122536,2169741,2,195089
18,2129662,4272582,2142920,2,181576
19,2360901,4457012,2096111,2,182432
20,2478492,4686898,2208406,2,196668
21,2629478,4855782,2226304,2,188333
22,2887316,5093216,2205900,2,203063
23,3024076,5312183,2288107,2,207834
24,3275287,5507105,2231818,2,203960
25,3498171,5718357,2220186,2,206148
26,3699484,5966670,2267186,2,218797
27,3903063,6071866,2168803,2,184717
28,4131298,6269404,2138106,2,188563
29,4329512,6546898,2217386,2,215242
30,4493519,6752127,2258608,2,212238
31,4670917,6939289,2268372,2,204715
32,4851508,7137281,2285773,2,202698
33,5010876,7338368,2327492,2,202215
34,5187613,7504229,2316616,2,191308
35,5368429,7669983,2301554,2,183642
36,5550165,7840396,2290231,2,179673
37,5735062,8048262,2313200,2,188131
38,5911300,8247309,2336009,2,191406
39,6087407,8479724,2392317,2,203708
40,6290400,8659389,2368989,2,196495
41,6497347,8856557,2359210,2,196697
42,6677097,9073724,2396627,2,202838
43,6870736,9268871,2398135,2,200530
44,7081965,9438556,2356591,2,191277
45,7304943,9680192,2375249,2,206384
46,7515639,9936076,2420437,2,221234
47,7741799,10122310,2380511,2,210734
48,7926563,10332074,2405511,2,210443
49,8150598,10501863,2351265,2,198246
50,8399113,10724562,2325449,2,205582
51,8585002,10950318,2365316,2,211634
52,8726693,11196063,2469370,2,221867
53,8907313,11370661,2463348,2,207686
54,9177153,11605762,2428609,2,215911
55,9423455,11745801,2322346,2,193149
56,9657896,11916225,2258329,2,186331
57,9842563,12138623,2296060,2,197151
58,10056314,12362936,2306622,2,205300
59,10270934,12530775,2259841,2,194061
60,10483320,12697635,2214315,2,185901
61,10616720,12921285,2304565,2,197225
62,10828313,13155510,2327197,2,208325
63,11011286,13263999,2252713,2,178374
64,11211287,13506600,2295313,2,197642
65,11395509,13714314,2318805,2,200663
66,11583285,13936081,2352796,2,206994
67,11771260,14109500,2338240,2,196922
68,11968912,14366293,2397381,2,214883
69,12163774,14526301,2362527,2,198420
70,12335284,14746231,2410947,2,204873
71,12525448,14886695,2361247,2,185550
72,12731293,15054764,2323471,2,180306
73,12894894,15234920,2340026,2,180261
74,13078981,15482393,2403412,2,200424
75,13285828,15625231,2339403,2,183148
76,13479295,15817300,2338005,2,185824
77,13651285,15973052,2321767,2,176802
78,13863292,16098817,2235525,2,161491
79,14051402,16281897,2230495,1,167968
