it,start,end,latency,sol,period
1,0,779835,779835,1,282392
2,49762,1062227,1012465,1,282392
3,84189,1331624,1247435,1,278493
4,127670,1607623,1479953,1,277745
5,173011,1887663,1714652,1,278433
6,233333,2152701,1919368,1,274414
7,281761,2427625,2145864,1,274567
8,323819,2711626,2387807,1,277397
9,381761,2975435,2593674,1,273321
10,457110,3255623,2798513,1,275381
11,640749,3523400,2882651,1,273099
12,915200,3803625,2888425,1,275237
13,1188802,4079657,2890855,1,275475
14,1462598,4346054,2883456,1,272752
15,1740960,4617571,2876611,1,272381
16,2012746,4897032,2884286,1,274505
17,2280668,5221007,2940339,1,289346
18,2564749,5551613,2986864,1,301724
19,2826911,5871612,3044701,1,307206
20,3100145,6187613,3087468,1,309844
21,3384615,6507613,3122998,1,312891
22,3656747,6827611,3170864,1,315023
23,3922441,7152187,3229746,1,317889
24,4198438,7460028,3261590,1,314874
25,4481438,7775614,3294176,1,315088
26,4751450,8059613,3308163,1,305761
27,5022558,8275614,3253056,1,278833
28,5370612,8419949,3049337,1,238483
29,8425272,9882593,1457321,2,605731
30,8493765,10444452,1950687,2,592569
31,8593761,10959685,2365924,2,569368
32,8737761,11529260,2791499,2,569430
33,8889685,12099435,3209750,2,569654
34,9129761,12580526,3450765,2,543085
35,9365571,13190916,3825345,2,563276
36,9665761,13730517,4064756,2,556173
37,9937761,14264399,4326638,2,549486
38,10245761,14789557,4543796,2,542187
39,10619612,15350569,4730957,2,547835
40,11159798,15850443,4690645,2,533446
41,11703797,16436192,4732395,2,549137
42,12266755,16986506,4719751,2,549490
43,12779433,17523276,4743843,2,545674
44,13324743,18015514,4690771,2,529643
45,13897467,18599837,4702370,2,546047
46,14430764,19147382,4716618,2,546496
47,14981885,19702194,4720309,2,548991
48,15521332,20229767,4708435,2,542565
49,16057802,20732136,4674334,2,530506
50,16578214,21309929,4731715,2,544692
51,17115254,21870650,4755396,2,549501
52,17669023,22379256,4710233,2,537232
53,18204749,22921088,4716339,2,538612
54,18745073,23498599,4753526,2,550281
55,19306412,24039368,4732956,2,547428
56,19832748,24556299,4723551,2,538278
57,20389295,25126739,4737444,2,547927
58,20936746,25670516,4733770,2,546682
59,21453252,26196800,4743548,2,540562
60,22018753,26723784,4705031,2,536489
61,22562268,27294861,4732593,2,546865
62,23101564,27846336,4744772,2,548248
63,23627140,28382525,4755385,2,544630
64,24168279,28907687,4739408,2,538789
65,24726059,29455040,4728981,2,541358
66,25255869,30006517,4750648,2,544394
67,25812944,30528932,4715988,2,537800
68,26336196,31095301,4759105,2,546371
69,26897858,31628724,4730866,2,542486
70,27418506,32170905,4752399,2,542394
71,27963720,32708523,4744803,2,540961
72,28508743,33266043,4757300,2,545929
73,29049365,33806199,4756834,2,544197
74,29592743,34297567,4704824,2,528348
75,30150325,34879538,4729213,2,544435
76,30697240,35415641,4718401,2,541935
77,31220749,35962510,4741761,2,543415
78,31777761,36480785,4703024,2,535873
79,32312751,37019428,4706677,2,536704
80,32869032,37595866,4726834,2,548624
81,33396748,38134194,4737446,2,545535
82,33957270,38676337,4719067,2,544517
83,34478392,39153247,4674855,2,524235
84,35033707,39735253,4701546,2,541566
85,35556602,40325941,4769339,2,556303
86,36110286,40842766,4732480,2,544459
87,36642877,41392170,4749293,2,545942
88,37185185,41908500,4723315,2,537059
89,37727241,42482398,4755157,2,548110
90,38265623,43034513,4768890,2,549312
91,38841561,43549200,4707639,2,538924
92,39355553,44109966,4754413,2,545476
93,39924746,44645157,4720411,2,542391
94,40437544,45202114,4764570,2,546760
95,41004748,45741969,4737221,2,544689
96,41524748,46286611,4761863,2,544675
97,42063509,46814805,4751296,2,539730
98,42604743,47358631,4753888,2,540959
99,43152749,47906751,4754002,2,543107
100,43713046,48441357,4728311,2,540557
101,44233182,48949273,4716091,2,530764
102,44775240,49531696,4756456,2,546262
103,45334021,50041753,4707732,2,535400
104,45863132,50620690,4757558,2,548461
105,46425346,51161037,4735691,2,546027
106,46965094,51695574,4730480,2,542580
107,47506056,52200051,4693995,2,531149
108,48033185,52685662,4652477,2,517487
109,48576749,53233815,4657066,2,526687
110,49125948,53731578,4605630,2,518010
111,49652743,54232776,4580033,2,512966
112,50194456,54683614,4489158,2,494327
113,50744755,54966495,4221740,2,430893
114,51282002,55071309,3789307,2,333069
