it,start,end,latency,sol,period
1,0,968322,968322,1,368002
2,50116,1336324,1286208,1,368002
3,84193,1689793,1605600,1,363642
4,127677,2006749,1879072,1,349636
5,171743,2296338,2124595,1,331622
6,236953,2585297,2348344,1,318823
7,300953,2862600,2561647,1,306367
8,352737,3134810,2782073,1,296119
9,424204,3410809,2986605,1,290083
10,512953,3686814,3173861,1,285860
11,744173,3958676,3214503,1,281660
12,1104858,4233960,3129102,1,279747
13,1465136,4510823,3045687,1,278882
14,1804336,4782856,2978520,1,276827
15,2110393,5058813,2948420,1,276566
16,2398101,5386809,2988708,1,291995
17,2684288,5715126,3030838,1,302891
18,2959939,6034805,3074866,1,307927
19,3238536,6358809,3120273,1,312750
20,3514638,6674807,3160169,1,313724
21,3779941,6990807,3210866,1,314407
22,4054388,7306811,3252423,1,314886
23,4326339,7626852,3300513,1,316432
24,4599467,7942806,3343339,1,316289
25,4876296,8219193,3342897,1,304318
26,5151935,8432030,3280095,1,276874
27,5503932,8569375,3065443,1,235015
28,8575247,10005596,1430349,2,595377
29,8644956,10582751,1937795,2,589910
30,8744952,11143762,2398810,2,581240
31,8889995,11717896,2827901,2,579108
32,9040815,12236165,3195350,2,560856
33,9280953,12758583,3477630,2,549325
34,9512953,13342181,3829228,2,559606
35,9808952,13873170,4064218,2,551021
36,10088953,14433705,4344752,2,553875
37,10377034,14962312,4585278,2,546295
38,10763941,15509713,4745772,2,546626
39,11308020,16046487,4738467,2,543670
40,11854434,16590674,4736240,2,543825
41,12400310,17115276,4714966,2,538058
42,12935933,17665033,4729100,2,541568
43,13488662,18221709,4733047,2,546100
44,14014868,18757224,4742356,2,542924
45,14576416,19276763,4700347,2,535909
46,15107934,19822101,4714167,2,538737
47,15655936,20374500,4718564,2,542836
48,16195942,20937711,4741769,2,548948
49,16755936,21481705,4725769,2,547462
50,17287943,21963396,4675453,2,527730
51,17817600,22533739,4716139,2,540514
52,18358996,23068849,4709853,2,538893
53,18927935,23588684,4660749,2,533175
54,19467936,24144824,4676888,2,540064
55,20011939,24737041,4725102,2,555710
56,20547942,25241894,4693952,2,540453
57,21073502,25782558,4709056,2,540516
58,21631936,26334192,4702256,2,543851
59,22167936,26894432,4726496,2,548768
60,22711936,27432298,4720362,2,545497
61,23263939,27986052,4722113,2,547974
62,23795936,28541044,4745108,2,550079
63,24335940,29077241,4741301,2,545914
64,24866759,29596543,4729784,2,537931
65,25408265,30165037,4756772,2,547099
66,25948264,30690512,4742248,2,540612
67,26491933,31249289,4757356,2,546061
68,27052223,31737711,4685488,2,528769
69,27576233,32317053,4740820,2,543941
70,28119933,32865726,4745793,2,545360
71,28663946,33402641,4738695,2,542827
72,29204919,33952835,4747916,2,545037
73,29752667,34501710,4749043,2,546188
74,30299939,34999866,4699927,2,531778
75,30843940,35589710,4745770,2,549198
76,31391936,36122228,4730292,2,544194
77,31927938,36665708,4737770,2,543979
78,32457834,37195134,4737300,2,539613
79,33007942,37664545,4656603,2,518552
80,33564308,38241206,4676898,2,535985
81,34086323,38816206,4729883,2,547689
82,34628859,39374286,4745427,2,550806
83,35170977,39871985,4701008,2,534874
84,35708376,40449771,4741395,2,547747
85,36255934,40948150,4692216,2,532937
86,36820032,41553451,4733419,2,554646
87,37344223,42090475,4746252,2,549359
88,37879173,42584828,4705655,2,532857
89,38440401,43159709,4719308,2,545464
90,38968056,43718856,4750800,2,549569
91,39512230,44213095,4700865,2,532970
92,40068534,44810874,4742340,2,552412
93,40590622,45326884,4736262,2,541492
94,41139942,45899227,4759285,2,550747
95,41682323,46384560,4702237,2,531123
96,42219008,46993801,4774793,2,554558
97,42768896,47541233,4772337,2,552420
98,43316019,48078122,4762103,2,547761
99,43858496,48586192,4727696,2,535853
100,44414885,49134689,4719804,2,539646
101,44959943,49651652,4691709,2,532841
102,45503934,50232489,4728555,2,547240
103,46044855,50772805,4727950,2,545162
104,46581354,51326399,4745045,2,547692
105,47139940,51852501,4712561,2,541215
106,47683936,52395416,4711480,2,541725
107,48223941,52912014,4688073,2,534186
108,48767939,53423386,4655447,2,527342
109,49307936,53945337,4637401,2,525725
110,49835001,54432455,4597454,2,514142
111,50378324,54978517,4600193,2,523718
112,50918433,55405820,4487387,2,494793
113,51459940,55689717,4229777,2,431524
114,52010949,55800173,3789224,2,335204
