step,start,end,latency,execution
1,0,57426,57426,88392
2,31014,112328,81314,98868
3,75002,166825,91823,66157
4,86666,219643,132977,95105
5,128957,272270,143313,64243
6,140576,325001,184425,93049
7,180897,377677,196780,63928
8,192152,430339,238187,97404
9,236897,486571,249674,67456
10,248124,534745,286621,88946
11,288898,596271,307373,72749
12,300124,644922,344798,89424
13,340900,693102,352202,59378
14,352101,741278,389177,88970
15,392898,797945,405047,67917
16,404151,839306,435155,82132
17,444926,880580,435654,50600
18,454255,921930,467675,50673
19,463580,963329,499749,82778
20,504962,1004667,499705,50631
21,514259,1045947,531688,82632
22,555613,1087253,531640,57224
23,571535,1130270,558735,52339
24,580860,1172210,591350,79338
25,618268,1215462,597194,84653
26,659671,1258422,598751,52292
27,669006,1300629,631623,83502
28,710303,1342627,632324,51349
29,719656,1384390,664734,83085
30,760981,1425620,664639,50523
31,770278,1466882,696604,57504
32,786523,1508274,721751,82741
33,827875,1549637,721762,82723
34,869238,1590987,721749,82593
35,910484,1632351,721867,82739
36,951863,1673586,721723,82630
37,993261,1714949,721688,82670
38,1034571,1756260,721689,82646
39,1075909,1797603,721694,84222
40,1118793,1840024,721231,84189
41,1160564,1881373,720809,84380
42,1203602,1922727,719125,84408
43,1246658,1964503,717845,84205
44,1289090,2005721,716631,83182
45,1331056,2047062,716006,83308
46,1373025,2088399,715374,82602
47,1414294,2129682,715388,82539
48,1455552,2171171,715619,82777
49,1496843,2212534,715691,82723
50,1538206,2253798,715592,82626
51,1579570,2295177,715607,82726
52,1620920,2336545,715625,82729
53,1662283,2377827,715544,82542
54,1703547,2420021,716474,83525
55,1744881,2461608,716727,82865
56,1786163,2502875,716712,83618
57,1828517,2544151,715634,82774
58,1870019,2585545,715526,82725
59,1911353,2626878,715525,83095
60,1953118,2668273,715155,82708
61,1994435,2709484,715049,82426
62,2035653,2750818,715165,82701
63,2077023,2792149,715126,82607
64,2118302,2833512,715210,82729
65,2159672,2874830,715158,82747
66,2201104,2916127,715023,82627
67,2242437,2957544,715107,82708
68,2283731,2999156,715425,82987
69,2325114,3041311,716197,83487
70,2366449,3083496,717047,84117
71,2408385,3125479,717094,83857
72,2450262,3167446,717184,83270
73,2491568,3208825,717257,82573
74,2532765,3250082,717317,82571
75,2574083,3291380,717297,82689
76,2615477,3332744,717267,82752
77,2656867,3374002,717135,82593
78,2698205,3415261,717056,82466
79,2739416,3456624,717208,82694
80,2780750,3497975,717225,82675
81,2822081,3539313,717232,82699
82,2863445,3580704,717259,82706
83,2904763,3622763,718000,83419
84,2946126,3664249,718123,83039
85,2987682,3705639,717957,83599
86,3029894,3746894,717000,83352
87,3071994,3788252,716258,83313
88,3113953,3829615,715662,83314
89,3155906,3871068,715162,82960
90,3197417,3912351,714934,82591
91,3238729,3953849,715120,82780
92,3280014,3995476,715462,82921
93,3321312,4036868,715556,82726
94,3362648,4080191,717543,84607
