step,start,end,latency,execution
1,0,15632,15632,18977
2,3602,21779,18177,9347
3,6935,28606,21671,9954
4,10114,34934,24820,9436
5,13273,41094,27821,9263
6,16441,47278,30837,9395
7,19732,53484,33752,9275
8,22872,59803,36931,9419
9,26035,65884,39849,9178
10,29196,72269,43073,9503
11,32370,78366,45996,9296
12,35647,84694,49047,9555
13,38940,90960,52020,9378
14,42117,97338,55221,9499
15,45318,103557,58239,9445
16,48624,109688,61064,9384
17,51944,117286,65342,10874
18,55285,123434,68149,9241
19,58447,129669,71222,9295
20,61561,135882,74321,9271
21,64699,142015,77316,9242
22,67862,148355,80493,9580
23,71173,154554,83381,9306
24,74337,161014,86677,9665
25,77625,167285,89660,9369
26,80792,173417,92625,9371
27,84110,179617,95507,9298
28,87275,185767,98492,9271
29,90463,191961,101498,9262
30,93583,198113,104530,9881
31,97380,204289,106909,14690
32,105947,210502,104555,9950
33,109735,216843,107108,13827
34,117279,223285,106006,12611
35,123506,229536,106030,12381
36,129711,236109,106398,12669
37,135871,242201,106330,12168
38,142020,248687,106667,12762
39,148367,254818,106451,12274
40,154590,261395,106805,12961
41,161055,267684,106629,12479
42,167325,273861,106536,12230
43,173457,280392,106935,12625
44,179618,286500,106882,12189
45,185766,292960,107194,12583
46,191954,299359,107405,12488
47,198110,305552,107442,12311
48,204295,312027,107732,12642
49,210534,318081,107547,12323
50,216874,324522,107648,12813
51,223318,330632,107314,12288
52,229568,337151,107583,13020
53,236147,343445,107298,12278
54,242208,349660,107452,12654
55,248727,356377,107650,12770
56,254859,362487,107628,12607
57,261436,368851,107415,12571
58,267723,375037,107314,12286
59,273901,381278,107377,12693
60,280432,387711,107279,12436
61,286540,393931,107391,12600
62,293001,400498,107497,12885
63,299399,406687,107288,12302
64,305593,412884,107291,12592
65,312068,419459,107391,12548
66,318120,425548,107428,12451
67,324562,432009,107447,12490
68,330672,438048,107376,12478
69,337192,444457,107265,12621
70,343485,450618,107133,12293
71,349698,457049,107351,13070
72,356416,463390,106974,12373
73,362527,469550,107023,12444
74,368891,476029,107138,12585
75,375076,482133,107057,12266
76,381342,488571,107229,12768
77,387752,494759,107007,12327
78,393972,501075,107103,12802
79,400538,507542,107004,12589
80,406727,513704,106977,12279
81,412923,520263,107340,13057
82,419519,526410,106891,12116
83,425589,532809,107220,12782
84,432049,539303,107254,12454
85,438089,545430,107341,12455
86,444498,551872,107374,12526
87,450658,558031,107373,12510
88,457089,564610,107521,12840
89,463431,570700,107269,12169
90,469591,577128,107537,12827
91,476070,583642,107572,12538
92,482173,589851,107678,12567
93,488611,596411,107800,12668
94,494799,602259,107460,12024
95,501056,608764,107708,12954
96,507582,614983,107401,12299
97,513743,621320,107577,12818
98,520303,627626,107323,12374
99,526447,633850,107403,12546
100,532848,640323,107475,12888
101,539343,646730,107387,12455
102,545466,653015,107549,12655
103,551911,659485,107574,12551
104,558072,665610,107538,12622
105,564650,672137,107487,12546
106,570740,678559,107819,12771
107,577168,684787,107619,12663
108,583682,691105,107423,12448
109,589891,697558,107667,12934
110,596451,703862,107411,12082
111,602299,710285,107986,12848
112,608805,716736,107931,12589
113,615023,722854,107831,12380
114,621361,729211,107850,12583
115,627666,735549,107883,12476
116,633890,741867,107977,12711
117,640362,748435,108073,12909
