step,start,end,latency,execution
1,0,47829,47829,61537
2,13848,67793,53945,29776
3,23681,87485,63804,29389
4,33385,107279,73894,29867
5,43466,126955,83489,29488
6,53285,146664,93379,29534
7,63116,166334,103218,29501
8,72955,186079,113124,29520
9,82736,205741,123005,29430
10,92510,225417,132907,29429
11,102269,245128,142859,29483
12,112045,264804,152759,29399
13,121774,284480,162706,29416
14,131519,304036,172517,29277
15,141245,323646,182401,29320
16,150960,342989,192029,29111
17,160734,362657,201923,29389
18,170459,382190,211731,29307
19,180238,401628,221390,29131
20,189937,420968,231031,29109
21,199712,440382,240670,29109
22,209411,459747,250336,29103
23,219155,479259,260104,29204
24,228851,498552,269701,29029
25,238593,518061,279468,29234
26,248322,537426,289104,29146
27,258108,556875,298767,29172
28,267837,576399,308562,29256
29,277572,595834,318262,29135
30,287278,616084,328806,36840
31,303876,635479,331603,38910
32,323400,655025,331625,38999
33,342861,674391,331530,38969
34,362470,694189,331719,39278
35,381958,713840,331882,39047
36,401362,733465,332103,39044
37,420789,753209,332420,39111
38,440164,772807,332643,38984
39,459557,792215,332658,38848
40,479005,811597,332592,38798
41,498428,831035,332607,38843
42,517840,850395,332555,38771
43,537257,869853,332596,38926
44,556731,889322,332591,38892
45,576162,908743,332581,38888
46,595637,928163,332526,39553
47,615778,947523,331745,38928
48,635353,967015,331662,38935
49,654801,986359,331558,38795
50,674259,1005894,331635,39218
51,693949,1025455,331506,39226
52,713622,1044791,331169,39001
53,733295,1064464,331169,39336
54,752964,1083995,331031,39177
55,772618,1103604,330986,39000
56,792017,1123028,331011,38811
57,811411,1142523,331112,38919
58,830843,1162099,331256,39015
59,850290,1181586,331296,38894
60,869705,1201329,331624,39157
61,889126,1220817,331691,38896
62,908542,1240251,331709,38864
63,927979,1259676,331697,38809
64,947370,1279153,331783,38863
65,966764,1298757,331993,39016
66,986182,1318410,332228,39136
67,1005673,1338150,332477,39233
68,1025174,1357825,332651,39210
69,1044717,1377410,332693,39116
70,1064262,1396739,332477,38860
71,1083801,1416270,332469,39081
72,1103357,1435611,332254,38799
73,1122821,1455011,332190,38955
74,1142382,1474448,332066,38963
75,1161916,1493939,332023,39002
76,1181432,1513197,331765,38880
77,1201064,1532614,331550,38995
78,1220648,1552011,331363,38796
79,1240054,1571405,331351,38817
80,1259483,1590797,331314,38837
81,1278938,1610266,331328,39154
82,1298629,1629656,331027,38984
83,1318230,1649027,330797,39037
84,1337904,1668574,330670,39213
85,1357576,1687872,330296,38960
86,1377245,1707363,330118,38849
87,1396610,1726781,330171,38829
88,1416029,1746232,330203,38833
89,1435418,1765647,330229,38784
90,1454794,1785023,330229,38813
91,1474238,1804741,330503,39159
92,1493687,1824198,330511,38828
93,1513067,1843766,330699,38900
94,1532406,1863338,330932,38950
95,1551791,1882783,330992,38893
96,1571245,1902475,331230,39092
97,1590651,1922160,331509,39086
98,1610060,1941841,331781,39092
