step,start,end,latency,execution
1,0,58062,58062,72334
2,14413,87404,72991,39403
3,24487,116757,92270,39097
4,34237,146120,111883,38988
5,43868,175414,131546,39167
6,53747,204408,150661,38791
7,63550,233293,169743,38580
8,73250,261949,188699,38363
9,82976,290636,207660,38451
10,92746,319301,226555,38344
11,102431,347867,245436,38279
12,112149,376517,264368,38411
13,121919,405132,283213,38286
14,131599,433848,302249,38513
15,141401,462519,321118,38357
16,151092,491198,340106,38370
17,160788,519819,359031,38360
18,170533,548424,377891,38202
19,180136,577904,397768,38941
20,189616,606599,416983,38404
21,199345,635279,435934,38278
22,208949,663872,454923,38067
23,218429,692524,474095,43491
24,233276,721305,488029,57443
25,261946,750237,488291,57600
26,290622,778975,488353,57374
27,319266,807583,488317,57198
28,347863,836256,488393,57305
29,376502,864862,488360,57213
30,405117,893630,488513,57460
31,433817,922345,488528,57401
32,462511,951057,488546,57362
33,491168,979657,488489,57236
34,519812,1008311,488499,57246
35,548412,1036921,488509,58078
36,577888,1065498,487610,57279
37,606598,1094163,487565,57308
38,635249,1122769,487520,57217
39,663868,1151386,487518,57235
40,692494,1180884,488390,58299
41,721303,1209573,488270,57567
42,750202,1238207,488005,57388
43,778964,1266862,487898,57263
44,807580,1295566,487986,57389
45,836273,1324280,488007,57282
46,864849,1352865,488016,57356
47,893628,1381489,487861,57328
48,922339,1410109,487770,57320
49,951047,1438948,487901,57427
50,979643,1467652,488009,57320
51,1008280,1496271,487991,57258
52,1036927,1524887,487960,57171
53,1065489,1553494,488005,57267
54,1094156,1582171,488015,57270
55,1122756,1610808,488052,57250
56,1151377,1639464,488087,58140
57,1180869,1668094,487225,57293
58,1209540,1696700,487160,57213
59,1238168,1725396,487228,57374
60,1266854,1754052,487198,57353
61,1295559,1783579,488020,58202
62,1324241,1812461,488220,57488
63,1352855,1841143,488288,57298
64,1381479,1869800,488321,57267
65,1410097,1898476,488379,57504
66,1438933,1927190,488257,57412
67,1467639,1956576,488937,57995
68,1496256,1985332,489076,57342
69,1524850,2014031,489181,57331
70,1553490,2042666,489176,57271
71,1582134,2071324,489190,57310
72,1610794,2099926,489132,57244
73,1639457,2128521,489064,57210
74,1668080,2157125,489045,57204
75,1696688,2185792,489104,57357
76,1725386,2214420,489034,57270
77,1754036,2243098,489062,58182
78,1783548,2271707,488159,57477
79,1812424,2300338,487914,57334
80,1841135,2328961,487826,57292
81,1869811,2357692,487881,57358
82,1898445,2386697,488252,57704
83,1927153,2415497,488344,58222
