it,start,end,latency,sol
1,0,326947,326947,1
2,41670,487943,446273,1
3,53649,653648,599999,1
4,79641,800678,721037,1
5,119676,931525,811849,1
6,143836,1064381,920545,1
7,179999,1192457,1012458,1
8,232010,1320609,1088599,1
9,275793,1452428,1176635,1
10,316867,1579373,1262506,1
11,352188,1708418,1356230,1
12,391315,1862963,1471648,1
13,445665,1972090,1526425,1
14,477693,2099971,1622278,1
15,510960,2232437,1721477,1
16,536733,2360422,1823689,1
17,590545,2512773,1922228,1
18,618081,2631649,2013568,1
19,648042,2748422,2100380,1
20,680330,2880430,2200100,1
21,765661,3008852,2243191,1
22,863614,3136845,2273231,1
23,996316,3268767,2272451,1
24,1125472,3396445,2270973,1
25,1255651,3528447,2272796,1
26,1385097,3655450,2270353,1
27,1511617,3788419,2276802,1
28,1643849,3914912,2271063,1
29,1779621,4040284,2260663,1
30,1901196,4197901,2296705,1
31,2031617,4304042,2272425,1
32,2164450,4436445,2271995,1
33,2293853,4564509,2270656,1
34,2427698,4692096,2264398,1
35,2550264,4822007,2271743,1
36,2682703,4976160,2293457,1
37,2812087,5081664,2269577,1
38,2941525,5213314,2271789,1
39,3071621,5346090,2274469,1
40,3202065,5491894,2289829,1
41,3331818,5590259,2258441,1
42,3461111,5714765,2253654,1
43,3587616,5836821,2249205,1
44,3720697,5957442,2236745,1
45,3847644,6093446,2245802,1
46,3975615,6203335,2227720,1
47,4103615,6325158,2221543,1
48,4235616,6445446,2209830,1
49,4368541,6565406,2196865,1
50,4497882,6710105,2212223,1
51,4623715,6807445,2183730,1
52,4756786,6925582,2168796,1
53,4879616,7044189,2164573,1
54,5013674,7165456,2151782,1
55,5148656,7276581,2127925,1
56,5279655,7328372,2048717,1
57,7329666,7674440,344774,2
58,7365626,7855608,489982,2
59,7415677,8012624,596947,2
60,7475676,8163233,687557,2
61,7559661,8359309,799648,2
62,7651660,8503401,851741,2
63,7720976,8671319,950343,2
64,7809746,8827728,1017982,2
65,7879664,8999326,1119662,2
66,7975661,9167956,1192295,2
67,8043663,9275052,1231389,2
68,8143656,9463774,1320118,2
69,8211658,9571652,1359994,2
70,8303660,9747724,1444064,2
71,8371663,9887831,1516168,2
72,8462012,9999673,1537661,2
73,8538054,10135639,1597585,2
74,8622093,10310682,1688589,2
75,8698111,10461057,1762946,2
76,8790165,10567391,1777226,2
77,8846209,10743880,1897671,2
78,8938195,10852463,1914268,2
79,9046406,11026675,1980269,2
80,9187689,11179718,1992029,2
81,9327273,11277782,1950509,2
82,9473011,11427633,1954622,2
83,9612753,11590164,1977411,2
84,9757705,11703784,1946079,2
85,9900157,11886315,1986158,2
86,10042501,11988220,1945719,2
87,10180752,12138520,1957768,2
88,10325175,12275523,1950348,2
89,10469069,12417177,1948108,2
90,10607411,12562666,1955255,2
91,10753190,12746448,1993258,2
92,10893367,12834605,1941238,2
93,11034827,12956647,1921820,2
94,11180421,13097451,1917030,2
95,11322580,13203520,1880940,2
96,11460728,13319181,1858453,2
97,11606319,13444421,1838102,2
98,11744667,13589595,1844928,2
99,11890422,13712779,1822357,2
100,12028725,13818249,1789524,2
101,12174436,13948595,1774159,2
102,12312547,14080509,1767962,2
103,12455665,14173511,1717846,2
104,12599701,14213797,1614096,2
105,14215376,14622481,407105,3
106,14261664,14784614,522950,3
107,14361689,14932278,570589,3
108,14463710,15126934,663224,3
109,14580390,15263589,683199,3
110,14712535,15474358,761823,3
111,14832853,15658876,826023,3
112,14947710,15810960,863250,3
113,15080201,15982880,902679,3
114,15215737,16134952,919215,3
115,15335737,16314998,979261,3
116,15453605,16449146,995541,3
117,15579536,16612555,1033019,3
118,15715707,16791585,1075878,3
119,15832152,16933636,1101484,3
120,15947706,17108164,1160458,3
121,16080327,17310946,1230619,3
122,16205964,17444654,1238690,3
123,16331878,17638568,1306690,3
124,16447712,17794510,1346798,3
125,16576483,17963370,1386887,3
126,16711704,18120102,1408398,3
127,16827707,18307477,1479770,3
128,16943725,18466298,1522573,3
129,17076621,18604144,1527523,3
130,17207693,18773093,1565400,3
131,17327708,18942113,1614405,3
132,17447751,19102589,1654838,3
133,17575707,19257027,1681320,3
134,17701072,19439909,1738837,3
135,17831674,19559819,1728145,3
136,17937669,19681311,1743642,3
137,18069666,19834347,1764681,3
138,18197666,19916439,1718773,3
139,18284231,20057016,1772785,3
140,18420624,20191773,1771149,3
141,18552074,20326377,1774303,3
142,18687955,20456909,1768954,3
143,18796643,20551821,1755178,3
144,18953931,20658487,1704556,3
145,19105950,20744716,1638766,3
146,19272411,20777310,1504899,3
147,20779082,21212161,433079,4
148,20837663,21378508,540845,4
149,20949662,21548290,598628,4
150,21109662,21698678,589016,4
151,21273662,21847903,574241,4
152,21445662,22015846,570184,4
153,21609662,22197304,587642,4
154,21777662,22364497,586835,4
155,21941682,22531044,589362,4
156,22109662,22713629,603967,4
157,22269662,22880299,610637,4
158,22437662,23046668,609006,4
159,22603597,23181289,577692,4
160,22773662,23364011,590349,4
161,22941662,23512131,570469,4
162,23101662,23696654,594992,4
163,23269662,23863110,593448,4
164,23441662,24045616,603954,4
165,23605662,24195814,590152,4
166,23769662,24378000,608338,4
167,23933662,24528396,594734,4
168,24105662,24694630,588968,4
169,24269662,24860088,590426,4
170,24433662,25027178,593516,4
171,24601662,25209797,608135,4
172,24765662,25360010,594348,4
173,24933662,25542224,608562,4
174,25097662,25676419,578757,4
175,25269662,25858469,588807,4
176,25433662,26023984,590322,4
177,25593662,26190953,597291,4
178,25765662,26356186,590524,4
179,25929662,26539534,609872,4
180,26097662,26688539,590877,4
181,26261662,26872372,610710,4
182,26433662,27022739,589077,4
183,26593662,27188850,595188,4
184,26765662,27355107,589445,4
185,26929662,27537598,607936,4
186,27097662,27703999,606337,4
187,27261662,27854466,592804,4
188,27425662,28036865,611203,4
189,27593662,28203253,609591,4
190,27761662,28352193,590531,4
191,27929662,28519955,590293,4
192,28093662,28684198,590536,4
193,28257671,28852335,594664,4
194,28425662,29019529,593867,4
195,28589662,29184621,594959,4
196,28757662,29351919,594257,4
197,28925662,29516334,590672,4
198,29089662,29700013,610351,4
199,29257662,29848385,590723,4
200,29421662,30016230,594568,4
201,29589662,30183292,593630,4
202,29753662,30348183,594521,4
203,29921662,30531837,610175,4
204,30089662,30680214,590552,4
205,30253662,30848069,594407,4
206,30417662,31030464,612802,4
207,30585662,31160707,575045,4
208,30753662,31362996,609334,4
209,30917662,31513167,595505,4
210,31089662,31695553,605891,4
211,31253662,31845901,592239,4
212,31417662,32028259,610597,4
213,31585662,32194673,609011,4
214,31749662,32360978,611316,4
215,31921662,32511388,589726,4
216,32085662,32676664,591002,4
217,32253662,32844385,590723,4
218,32417662,33010729,593067,4
219,32581662,33193187,611525,4
220,32749662,33359559,609897,4
221,32917662,33509314,591652,4
222,33085662,33692088,606426,4
223,33249662,33841782,592120,4
224,33413662,34024677,611015,4
225,33581662,34190862,609200,4
226,33745662,34341387,595725,4
227,33917662,34507688,590026,4
228,34081662,34672199,590537,4
229,34245662,34840252,594590,4
230,34413662,35020348,606686,4
231,34577671,35172727,595056,4
232,34745662,35355294,609632,4
233,34909662,35504945,595283,4
234,35077662,35671991,594329,4
235,35245662,35836292,590630,4
236,35409662,36004836,595174,4
237,35577662,36187082,609420,4
238,35741662,36353441,611779,4
239,35909663,36519717,610054,4
240,36077662,36668991,591329,4
241,36237662,36852411,614749,4
242,36409662,37001756,592094,4
243,36573662,37185058,611396,4
244,36741662,37351361,609699,4
245,36905662,37500332,594670,4
246,37077662,37652220,574558,4
247,37241662,37850359,608697,4
248,37405662,38016794,611132,4
249,37569662,38151427,581765,4
250,37741662,38349719,608057,4
251,37905662,38516118,610456,4
252,38069662,38664206,594544,4
253,38241662,38848870,607208,4
254,38405662,39024644,618982,4
255,38569662,39164251,594589,4
256,38733662,39347856,614194,4
257,38901662,39498168,596506,4
258,39069662,39680759,611097,4
259,39237662,39815195,577533,4
260,39405662,40013532,607870,4
261,39569662,40148025,578363,4
262,39733662,40329625,595963,4
263,39901663,40512656,610993,4
264,40065662,40663016,597354,4
265,40233662,40845393,611731,4
266,40401662,40979788,578126,4
267,40569662,41178181,608519,4
268,40733662,41312656,578994,4
269,40897671,41493453,595782,4
270,41065662,41677156,611494,4
271,41229662,41843421,613759,4
272,41397662,41992722,595060,4
273,41565662,42144003,578341,4
274,41733662,42341881,608219,4
275,41897662,42476998,579336,4
276,42061662,42643299,581637,4
277,42229662,42809810,580148,4
278,42393662,43008188,614526,4
279,42561662,43174396,612734,4
280,42721662,43308748,587086,4
281,42893662,43505745,612083,4
282,43057662,43641326,583664,4
283,43225662,43839718,614056,4
284,43393662,43973826,580164,4
285,43553662,44171818,618156,4
286,43725662,44322031,596369,4
287,43885662,44513817,628155,4
288,44057662,44669849,612187,4
289,44225662,44805359,579697,4
290,44393662,44971783,578121,4
291,44557662,45138213,580551,4
292,44721662,45304540,582878,4
293,44889662,45501811,612149,4
294,45053662,45637359,583697,4
295,45221662,45803678,582016,4
296,45389662,45970155,580493,4
297,45549662,46136487,586825,4
298,45721662,46302700,581038,4
299,45885662,46468807,583145,4
300,46053662,46665963,612301,4
301,46217662,46801488,583826,4
302,46381662,47009055,627393,4
303,46553662,47134126,580464,4
304,46717662,47300484,582822,4
305,46885662,47467022,581360,4
306,47049662,47633237,583575,4
307,47217671,47831599,613928,4
308,47381662,47982010,600348,4
309,47549662,48132071,582409,4
310,47717662,48337242,619580,4
311,47877662,48464775,587113,4
312,48049662,48647118,597456,4
313,48213662,48829333,615671,4
314,48377662,48980298,602636,4
315,48545662,49162331,616669,4
316,48717662,49328319,610657,4
317,48865662,49478940,613278,4
318,49037662,49659429,621767,4
319,49197662,49827156,629494,4
320,49365662,49992235,626573,4
321,49545662,50159762,614100,4
322,49697662,50326380,628718,4
323,49857662,50476892,619230,4
324,50033662,50643179,609517,4
325,50189662,50793197,603535,4
326,50365662,50907886,542224,4
327,50529662,50956847,427185,4
