it,start,end,latency,execution,sol
1,0,80056,80056,94913,1
2,14891,110327,95436,40924,1
3,25588,140555,114967,39995,1
4,35362,170790,135428,40254,1
5,45403,200943,155540,40109,1
6,55365,230962,175597,39960,1
7,65311,261035,195724,40106,1
8,75349,291080,215731,40044,1
9,85356,320999,235643,39890,1
10,95332,350912,255580,39885,1
11,105310,380773,275463,39832,1
12,115286,410720,295434,39918,1
13,125263,440359,315096,39611,1
14,135241,469936,334695,39549,1
15,145218,499536,354318,39570,1
16,155193,529212,374019,39648,1
17,165170,558834,393664,39592,1
18,175145,588489,413344,39613,1
19,185108,618606,433498,40047,1
20,195043,648401,453358,39744,1
21,204997,677962,472965,39366,1
22,214807,707766,492959,39730,1
23,224739,737551,512812,39740,1
24,234700,767317,532617,39672,1
25,244611,797089,552478,39687,1
26,254532,826644,572112,39518,1
27,264501,856324,591823,39508,1
28,274335,885917,611582,39504,1
29,284251,915526,631275,39584,1
30,294230,945178,650948,46239,1
31,310824,974778,663954,49612,1
32,330844,1004449,673605,49571,1
33,350752,1034068,683316,49467,1
34,370608,1063767,693159,49710,1
35,390626,1093420,702794,49577,1
36,410557,1123076,712519,49372,1
37,430281,1152755,722474,59328,1
38,459938,1182360,722422,59174,1
39,489515,1212486,722971,59800,1
40,519197,1242347,723150,59476,1
41,548821,1272264,723443,59581,1
42,578493,1302083,723590,59881,1
43,608564,1331882,723318,59611,1
44,638384,1361565,723181,59257,1
45,667966,1391316,723350,59523,1
46,697745,1420928,723183,59422,1
47,727563,1450513,722950,59355,1
48,757340,1480159,722819,59394,1
49,787096,1509768,722672,59101,1
50,816596,1539408,722812,59300,1
51,846263,1569089,722826,59337,1
52,875927,1598684,722757,59197,1
53,905536,1628242,722706,59156,1
54,935142,1657833,722691,59234,1
55,964792,1687451,722659,59222,1
56,994403,1717211,722808,59397,1
57,1024048,1746781,722733,59230,1
58,1053716,1776426,722710,59319,1
59,1083397,1806226,722829,59476,1
60,1113081,1835917,722836,59301,1
61,1142707,1865515,722808,59226,1
62,1172343,1895170,722827,59766,1
63,1202464,1925015,722551,59703,1
64,1232331,1954878,722547,59772,1
65,1262247,1984806,722559,59770,1
66,1292098,2014587,722489,59550,1
67,1321875,2044395,722520,59534,1
68,1351608,2074142,722534,59464,1
69,1381334,2103846,722512,59256,1
70,1410900,2133419,722519,59162,1
71,1440496,2163083,722587,59277,1
72,1470116,2192779,722663,59319,1
73,1499747,2222394,722647,59249,1
74,1529389,2252027,722638,59279,1
75,1559043,2281656,722613,59244,1
76,1588665,2311222,722557,59141,1
77,1618248,2340833,722585,59173,1
78,1647818,2370427,722609,59197,1
79,1677429,2400151,722722,59452,1
80,1707165,2430125,722960,59551,1
81,1736755,2459867,723112,59345,1
82,1766366,2489495,723129,59240,1
83,1795986,2519321,723335,59758,1
84,1825926,2549116,723190,59409,1
85,1855548,2578833,723285,59292,1
86,1885131,2608538,723407,59528,1
87,1914961,2638136,723175,59537,1
88,1944908,2667783,722875,59516,1
89,1974786,2697461,722675,59491,1
90,2004608,2727082,722474,59392,1
91,2034387,2756737,722350,59422,1
92,2064162,2786310,722148,59191,1
93,2093788,2816025,722237,59337,1
94,2123418,2845614,722196,59220,1
95,2153058,2875213,722155,59267,1
96,2182734,2904834,722100,59249,1
97,2212370,2934434,722064,59228,1
98,2242006,2964042,722036,59230,1
99,2271635,2993670,722035,59184,1
100,2301199,3023810,722611,59721,1
101,2330788,3053480,722692,59279,1
102,2360404,3083164,722760,59244,1
103,2389972,3113006,723034,59933,1
104,2420070,3142759,722689,59490,1
105,2449815,3172500,722685,59397,1
106,2479479,3202302,722823,59622,1
107,2509307,3231941,722634,59461,1
108,2539137,3261503,722366,59302,1
109,2568885,3291101,722216,59156,1
110,2598451,3320758,722307,59317,1
111,2628118,3350353,722235,59207,1
112,2657738,3380009,722271,59332,1
113,2687422,3409604,722182,59231,1
114,2717066,3439160,722094,59190,1
115,2746708,3468808,722100,59241,1
116,2776322,3498454,722132,59294,1
117,2805978,3528134,722156,59262,1
118,2835566,3557748,722182,59233,1
119,2865193,3587335,722142,59173,1
120,2894787,3617488,722701,59767,1
121,2924408,3647199,722791,59310,1
122,2954016,3676877,722861,59311,1
123,2983657,3706679,723022,59846,1
124,3013709,3736383,722674,59404,1
125,3043416,3766103,722687,59408,1
126,3073111,3795916,722805,59700,1
127,3103004,3825517,722513,59363,1
128,3132773,3855147,722374,59341,1
129,3162491,3884784,722293,59416,1
130,3192277,3914385,722108,59238,1
131,3221922,3944009,722087,59212,1
132,3251516,3973592,722076,59140,1
133,3281080,4003204,722124,59238,1
134,3310714,4032874,722160,59290,1
135,3340341,4062427,722086,59196,1
136,3369991,4092117,722126,59251,1
137,3399560,4121731,722171,59199,1
138,3429152,4151395,722243,59252,1
139,3458747,4181031,722284,59319,1
140,3488437,4210903,722466,59543,1
141,3518116,4240703,722587,59409,1
142,3547734,4270314,722580,59185,1
143,3577316,4300064,722748,59870,1
144,3607444,4329860,722416,59493,1
145,3637148,4359606,722458,59423,1
146,3666833,4389376,722543,59622,1
147,3696693,4418922,722229,59255,1
148,3726409,4448495,722086,59272,1
149,3756116,4478094,721978,59407,1
150,3785932,4507732,721800,59185,1
151,3815486,4537347,721861,59247,1
152,3845125,4567008,721883,59265,1
153,3874737,4596684,721947,59292,1
154,3904361,4626309,721948,59215,1
155,3933959,4656023,722064,59320,1
156,3963573,4685642,722069,59223,1
157,3993185,4715270,722085,59260,1
158,4022860,4744908,722048,59209,1
159,4052439,4774523,722084,59230,1
160,4082061,4804489,722428,59614,1
161,4111717,4834274,722557,59468,1
162,4141409,4863961,722552,59255,1
163,4170985,4893579,722594,59270,1
164,4200645,4923305,722660,59693,1
165,4230620,4953256,722636,59619,1
166,4260295,4983118,722823,59565,1
167,4290006,5012765,722759,59515,1
168,4319882,5042354,722472,59325,1
169,4349625,5072880,723255,60267,1
170,4379374,5103360,723986,59995,1
171,4408902,5133284,724382,59516,1
172,4438502,5163123,724621,59403,1
173,4468073,5193002,724929,59455,1
174,4497657,5222744,725087,59383,1
175,4527305,5252517,725212,59447,1
176,4556987,5282257,725270,59413,1
177,4586668,5312000,725332,59350,1
178,4616282,5341765,725483,59453,1
179,4645978,5371438,725460,59335,1
180,4675648,5401139,725491,59327,1
181,4705281,5431105,725824,59544,1
182,4734866,5460863,725997,59384,1
183,4764499,5490533,726034,59299,1
184,4794136,5520232,726096,59798,1
185,4824243,5549904,725661,59363,1
186,4853942,5579653,725711,59376,1
187,4883577,5609167,725590,59256,1
188,4913326,5638498,725172,59232,1
189,4943235,5667868,724633,59249,1
190,4973122,5697217,724095,58929,1
191,5002709,5726557,723848,58961,1
192,5032338,5755918,723580,59595,1
193,5062601,5784996,722395,59194,1
194,5786197,5901090,114893,134511,2
195,5805871,5943433,137562,62479,2
196,5826022,5985958,159936,62366,2
197,5845874,6028526,182652,62370,2
198,5865687,6070965,205278,62348,2
199,5885605,6113462,227857,62380,2
200,5905499,6155941,250442,62363,2
201,5925392,6198417,273025,62420,2
202,5945345,6240761,295416,62336,2
203,5965347,6283126,317779,62318,2
204,5985310,6325525,340215,62348,2
205,6005268,6367809,362541,62278,2
206,6025277,6410056,384779,62199,2
207,6045237,6452309,407072,62198,2
208,6065191,6494223,429032,61887,2
209,6085174,6536025,450851,61746,2
210,6105127,6577793,472666,61711,2
211,6125080,6619850,494770,61991,2
212,6145033,6661848,516815,61953,2
213,6164997,6703599,538602,61696,2
214,6184951,6745568,560617,61841,2
215,6204833,6787469,582636,61795,2
216,6224737,6829297,604560,61726,2
217,6244643,6871126,626483,61724,2
218,6264547,6912898,648351,61729,2
219,6284512,6954690,670178,61659,2
220,6304387,6996685,692298,61938,2
221,6324339,7038459,714120,61504,2
222,6344078,7080303,736225,61797,2
223,6364039,7122098,758059,61573,2
224,6383824,7163929,780105,61725,2
225,6403726,7205716,801990,61610,2
226,6423557,7248297,824740,62496,2
227,6443481,7290174,846693,78589,2
228,6480203,7332192,851989,83750,2
229,6521946,7374124,852178,83748,2
230,6563773,7415977,852204,83570,2
231,6605501,7457688,852187,84007,2
232,6647808,7499406,851598,83480,2
233,6689579,7541289,851710,83832,2
234,6731539,7583033,851494,83662,2
235,6773468,7624880,851412,83621,2
236,6815252,7666641,851389,83608,2
237,6857110,7708435,851325,83514,2
238,6898841,7750219,851378,83619,2
239,6940687,7792074,851387,83777,2
240,6982620,7834386,851766,84093,2
241,7024413,7876261,851848,83675,2
242,7066225,7918177,851952,83753,2
243,7108073,7960117,852044,83756,2
244,7149901,8001987,852086,83665,2
245,7191709,8043786,852077,84312,2
246,7234233,8085582,851349,83675,2
247,7276123,8127287,851164,83742,2
248,7318171,8169132,850961,83827,2
249,7360164,8210935,850771,83563,2
250,7401935,8252718,850783,83525,2
251,7443687,8294454,850767,83427,2
252,7485388,8336271,850883,83618,2
253,7527234,8378111,850877,83612,2
254,7569016,8420076,851060,83710,2
