it,start,end,latency,execution,sol
1,0,94591,94591,109814,1
2,15354,165026,149672,85487,1
3,30426,236393,205967,83035,1
4,42098,279668,237570,54802,1
5,53629,310783,257154,42665,1
6,65182,351597,286415,52272,1
7,76642,392418,315776,54172,1
8,89996,432983,342987,51992,1
9,101426,473440,372014,52299,1
10,113272,514235,400963,52398,1
11,124879,554967,430088,52327,1
12,136478,595643,459165,50322,1
13,146126,637278,491152,53236,1
14,157731,678091,520360,50450,1
15,167372,718736,551364,52243,1
16,178974,759506,580532,50410,1
17,188618,800094,611476,50223,1
18,198256,840954,642698,50504,1
19,207903,881650,673747,50228,1
20,217438,922400,704962,63742,1
21,240433,963109,722676,50192,1
22,249919,1003673,753754,55774,1
23,265133,1044462,779329,81121,1
24,305469,1085036,779567,71216,1
25,336115,1125342,789227,70919,1
26,366732,1165812,799080,71112,1
27,397378,1206709,809331,71540,1
28,428025,1247685,819660,71618,1
29,458675,1288362,829687,71320,1
30,489322,1328855,839533,71151,1
31,519984,1369273,849289,71020,1
32,550589,1409716,859127,71104,1
33,581254,1450187,868933,71841,1
34,612628,1490633,878005,71328,1
35,643513,1531213,887700,71251,1
36,674187,1571584,897397,71002,1
37,704821,1612039,907218,71134,1
38,735503,1652481,916978,71044,1
39,766107,1692938,926831,71087,1
40,796741,1733497,936756,71152,1
41,827338,1774096,946758,71229,1
42,857972,1815275,957303,71843,1
43,888640,1856275,967635,71601,1
44,919244,1896799,977555,71150,1
45,949874,1937361,987487,72840,1
46,982156,1977866,995710,81203,1
47,1022857,2018259,995402,81011,1
48,1063479,2058737,995258,81141,1
49,1104147,2099235,995088,80801,1
50,1144453,2140680,996227,81857,1
51,1184869,2181188,996319,81729,1
52,1226096,2221559,995463,81048,1
53,1266777,2262180,995403,81296,1
54,1307457,2302422,994965,80700,1
55,1347920,2342929,995009,80893,1
56,1388311,2383387,995076,80910,1
57,1428766,2424640,995874,81720,1
58,1469236,2465236,996000,81124,1
59,1509769,2505744,995975,80968,1
60,1550233,2546062,995829,80757,1
61,1590675,2586661,995986,80969,1
62,1631048,2627144,996096,81000,1
63,1671569,2667516,995947,80886,1
64,1712088,2708149,996061,81238,1
65,1752697,2748574,995877,80990,1
66,1793266,2789144,995878,81984,1
