it,start,end,latency,sol
1,0,86272,86272,1
2,10014,128241,118227,1
3,20052,170257,150205,1
4,30091,212272,182181,1
5,40096,254276,214180,1
6,50116,296291,246175,1
7,60119,338289,278170,1
8,70121,380305,310184,1
9,80126,422304,342178,1
10,90129,464267,374138,1
11,100137,506273,406136,1
12,110160,548318,438158,1
13,120162,590306,470144,1
14,130164,632318,502154,1
15,140166,674339,534173,1
16,150168,716324,566156,1
17,160170,758348,598178,1
18,170172,800349,630177,1
19,180173,842355,662182,1
20,190174,884357,694183,1
21,224226,926351,702125,1
22,266218,968353,702135,1
23,308225,1010376,702151,1
24,350241,1052336,702095,1
25,392231,1094361,702130,1
26,434238,1136371,702133,1
27,476236,1178385,702149,1
28,518253,1220368,702115,1
29,560249,1262374,702125,1
30,602277,1304378,702101,1
31,644275,1346379,702104,1
32,686268,1388380,702112,1
33,728281,1430401,702120,1
34,770285,1472407,702122,1
35,812289,1514406,702117,1
36,854294,1556412,702118,1
37,896283,1598417,702134,1
38,938284,1640403,702119,1
39,980309,1682422,702113,1
40,1022313,1724423,702110,1
41,1064303,1766426,702123,1
42,1106311,1808436,702125,1
43,1148320,1850429,702109,1
44,1190297,1892434,702137,1
45,1232340,1934429,702089,1
46,1274307,1976432,702125,1
47,1316308,2018433,702125,1
48,1358318,2060467,702149,1
49,1400337,2102469,702132,1
50,1442340,2144488,702148,1
51,1484343,2186468,702125,1
52,1526346,2228471,702125,1
53,1568349,2270478,702129,1
54,1610338,2312492,702154,1
55,1652358,2354495,702137,1
56,1694358,2396484,702126,1
57,1736361,2438508,702147,1
58,1778364,2480512,702148,1
59,1820384,2522528,702144,1
60,1862373,2564510,702137,1
61,1904356,2606524,702168,1
62,1946360,2648526,702166,1
63,1988370,2690530,702160,1
64,2030403,2732520,702117,1
65,2072407,2774521,702114,1
66,2114416,2816529,702113,1
67,2156402,2858509,702107,1
68,2198425,2900545,702120,1
69,2240410,2942550,702140,1
70,2282427,2984551,702124,1
71,2324431,3026536,702105,1
72,2366434,3068518,702084,1
73,2408459,3110561,702102,1
74,2450448,3152550,702102,1
75,2492450,3194564,702114,1
76,2534446,3236575,702129,1
77,2576460,3278579,702119,1
78,2618463,3320568,702105,1
79,2660466,3362572,702106,1
80,2702457,3404575,702118,1
81,2744457,3446591,702134,1
82,2786460,3488581,702121,1
83,2828457,3530555,702098,1
84,2870480,3572602,702122,1
85,2912484,3614587,702103,1
86,2954486,3656609,702123,1
87,2996478,3698604,702126,1
88,3038475,3740604,702129,1
89,3080489,3782608,702119,1
90,3122514,3824605,702091,1
91,3164500,3866611,702111,1
92,3206509,3908631,702122,1
93,3248513,3950613,702100,1
94,3290488,3992631,702143,1
95,3332529,4034639,702110,1
96,3374511,4076637,702126,1
97,3416527,4118626,702099,1
98,3458542,4160645,702103,1
99,3500534,4202646,702112,1
100,3542536,4244638,702102,1
101,3584525,4286631,702106,1
102,3626555,4328641,702086,1
103,3668548,4370637,702089,1
104,3710526,4412650,702124,1
105,3752529,4454645,702116,1
106,3794566,4496669,702103,1
107,3836548,4538670,702122,1
108,3878561,4580672,702111,1
109,3920550,4622676,702126,1
110,3962567,4664679,702112,1
111,4004572,4706683,702111,1
112,4046576,4748666,702090,1
113,4088589,4790689,702100,1
114,4130563,4832691,702128,1
115,4172582,4874710,702128,1
116,4214581,4916677,702096,1
117,4256574,4958690,702116,1
118,4298567,5000676,702109,1
119,4340588,5042708,702120,1
120,4382583,5084742,702159,1
121,4424588,5126686,702098,1
122,4466604,5168696,702092,1
123,4508609,5210709,702100,1
124,4550608,5252732,702124,1
125,4592612,5294727,702115,1
126,4634614,5336729,702115,1
127,4676618,5378730,702112,1
128,4718610,5420768,702158,1
129,4760624,5462742,702118,1
130,4802628,5504769,702141,1
131,4844636,5546773,702137,1
132,4886636,5588778,702142,1
133,4928616,5630773,702157,1
134,4970619,5672776,702157,1
135,5012643,5714796,702153,1
136,5054652,5756800,702148,1
137,5096637,5798803,702166,1
138,5799899,5921605,121706,2
139,5819930,5968038,148108,2
140,5839967,5995623,155656,2
141,5859972,6041681,181709,2
142,5889641,6088337,198696,2
143,5911663,6145605,233942,2
144,5933687,6189605,255918,2
145,5955708,6220112,264404,2
146,5985930,6286173,300243,2
147,6016129,6343622,327493,2
148,6041616,6363625,322009,2
149,6061623,6390177,328554,2
150,6081629,6432193,350564,2
151,6101635,6478242,376607,2
152,6121641,6520247,398606,2
153,6141647,6562252,420605,2
154,6161667,6604258,442591,2
155,6181677,6644293,462616,2
156,6201682,6686325,484643,2
157,6221686,6745605,523919,2
158,6241689,6785605,543916,2
159,6266165,6814366,548201,2
160,6313606,6856404,542798,2
161,6350176,6898416,548240,2
162,6392201,6940424,548223,2
163,6436269,6982449,546180,2
164,6478239,7024468,546229,2
165,6520243,7066503,546260,2
166,6562249,7108521,546272,2
167,6604254,7150544,546290,2
168,6646308,7192459,546151,2
169,6688291,7240978,552687,2
170,6732356,7282952,550596,2
171,6774376,7318475,544099,2
172,6816422,7360484,544062,2
173,6858440,7417507,559067,2
174,6900436,7444494,544058,2
175,6945261,7486517,541256,2
176,6985481,7528538,543057,2
177,7030970,7570572,539602,2
178,7072962,7615686,542724,2
179,7113607,7657738,544131,2
180,7152467,7705605,553138,2
181,7194449,7757605,563156,2
182,7246564,7787013,540449,2
183,7282958,7838635,555677,2
184,7320494,7870584,550090,2
185,7366990,7912592,545602,2
186,7408990,7960972,551982,2
187,7447667,7994603,546936,2
188,7493007,8036607,543600,2
189,7533606,8093605,559999,2
190,7572540,8133605,561065,2
191,7616520,8169170,552650,2
192,7660561,8204627,544066,2
193,7702558,8246632,544074,2
194,7744563,8295179,550616,2
195,7786574,8330644,544070,2
196,7828582,8389605,561023,2
197,7870580,8418713,548133,2
198,7913682,8463253,549571,2
199,7954594,8505304,550710,2
200,7996622,8561605,564983,2
201,8041466,8601605,560139,2
202,8081687,8631324,549637,2
203,8127176,8685605,558429,2
204,8172236,8729605,557369,2
205,8206642,8769605,562963,2
206,8248624,8813605,564981,2
207,8297652,8853605,555953,2
208,8332660,8897605,564945,2
209,8376668,8937605,560937,2
210,8420710,8981605,560895,2
211,8464723,9025605,560882,2
212,8507307,9065605,558298,2
213,8549327,9105605,556278,2
214,8591348,9149605,558257,2
215,8633381,9189605,556224,2
216,8675378,9233605,558227,2
217,8717350,9273605,556255,2
218,8759353,9317605,558252,2
219,8801387,9357605,556218,2
220,8843379,9387516,544137,2
221,8885411,9437676,552265,2
222,8927431,9485605,558174,2
223,8969454,9515529,546075,2
224,9011460,9561605,550145,2
225,9053449,9597541,544092,2
226,9095482,9661605,566123,2
227,9137507,9685642,548135,2
228,9179511,9744103,564592,2
229,9221513,9773655,552142,2
230,9263517,9816371,552854,2
231,9305518,9865605,560087,2
232,9347517,9901530,554013,2
233,9389512,9947598,558086,2
234,9437605,10001605,564000,2
235,9473641,10041605,567964,2
236,9515525,10085605,570080,2
237,9557536,10113622,556086,2
238,9599561,10155638,556077,2
239,9645606,10201741,556135,2
240,9687617,10263662,576045,2
241,9731622,10283716,552094,2
242,9775636,10325728,550092,2
243,9819532,10385605,566073,2
244,9861524,10425605,564081,2
245,9903558,10469605,566047,2
246,9947605,10509605,562000,2
247,9989630,10553605,563975,2
248,10031616,10593605,561989,2
249,10073644,10623872,550228,2
250,10115662,10681605,565943,2
251,10159741,10705842,546101,2
252,10205693,10747849,542156,2
253,10243703,10797606,553903,2
254,10285765,10833526,547761,2
255,10329799,10875552,545753,2
256,10371802,10917567,545765,2
257,10413803,10959579,545776,2
258,10455798,11001590,545792,2
259,10497835,11049605,551770,2
260,10539818,11085604,545786,2
261,10581835,11131749,549914,2
262,10623862,11169611,545749,2
263,10665861,11211621,545760,2
264,10707863,11257757,549894,2
265,10749852,11309605,559753,2
266,10793524,11337637,544113,2
267,10835546,11379643,544097,2
268,10877583,11437605,560022,2
269,10919616,11481605,561989,2
270,10961599,11509822,548223,2
271,11003606,11565605,561999,2
272,11045590,11605605,560015,2
273,11087594,11639910,552316,2
274,11129653,11690182,560529,2
275,11171628,11730400,558772,2
276,11213616,11773605,559989,2
277,11263697,11813605,549908,2
278,11297626,11845802,548176,2
279,11339654,11883698,544044,2
280,11381669,11925702,544033,2
281,11423641,11985605,561964,2
282,11465645,12025605,559960,2
283,11507649,12069605,561956,2
284,11549654,12109605,559951,2
285,11591659,12143886,552227,2
286,11633664,12194159,560495,2
287,11675669,12234377,558708,2
288,11717673,12277605,559932,2
289,11759677,12317605,557928,2
290,11801682,12349838,548156,2
291,11845808,12387750,541942,2
292,11885715,12429754,544039,2
293,11927719,12489605,561886,2
294,11969699,12529606,559907,2
295,12011703,12565605,553902,2
296,12053708,12614155,560447,2
297,12095711,12654373,558662,2
298,12137715,12697605,559890,2
299,12179720,12737605,557885,2
300,12221723,12765790,544067,2
301,12263728,12825605,561877,2
302,12305733,12853844,548111,2
303,12349844,12913605,563761,2
304,12389765,12949605,559840,2
305,12431770,12981894,550124,2
306,12473751,13023912,550161,2
307,12515758,13081605,565847,2
308,12557761,13125605,567844,2
309,12599764,13165605,565841,2
310,12641767,13209605,567838,2
311,12683772,13253605,569833,2
312,12725776,13278033,552257,2
313,12767821,13320035,552214,2
314,12811800,13362046,550246,2
315,12855836,13404062,548226,2
316,12899879,13450126,550247,2
317,12941899,13505605,563706,2
318,12983931,13545605,561674,2
319,13027996,13589605,561609,2
320,13069967,13616147,546180,2
321,13111995,13673605,561610,2
322,13154013,13700169,546156,2
323,13196034,13757605,561571,2
324,13238041,13784192,546151,2
325,13280047,13826201,546154,2
326,13322056,13868208,546152,2
327,13364074,13910214,546140,2
328,13406083,13957605,551522,2
329,13450133,13994220,544087,2
330,13492173,14036227,544054,2
331,13534151,14078235,544084,2
332,13576171,14122280,546109,2
333,13618203,14181605,563402,2
334,13660187,14208324,548137,2
335,13702222,14250339,548117,2
336,13744186,14301605,557419,2
337,13786213,14335751,549538,2
338,13828217,14377759,549542,2
339,13870220,14433605,563385,2
340,13912226,14461765,549539,2
341,13954209,14503784,549575,2
342,13996259,14557605,561346,2
343,14038265,14587780,549515,2
344,14080255,14631805,551550,2
345,14124286,14683810,559524,2
346,14168317,14719685,551368,2
347,14210338,14773605,563267,2
348,14253755,14813605,559850,2
349,14295749,14849605,553856,2
350,14337771,14881832,544061,2
351,14386198,14933906,547708,2
352,14426417,14966141,539724,2
353,14466637,15017911,551274,2
354,14509606,15049860,540254,2
355,14547807,15101920,554113,2
356,14597606,15133870,536264,2
357,14631800,15185926,554126,2
358,14673804,15217880,544076,2
359,14717606,15269932,552326,2
360,14761612,15301890,540278,2
361,14801612,15353940,552328,2
362,14845612,15385899,540287,2
363,14883824,15429951,546127,2
364,14933606,15475704,542098,2
365,14967837,15517757,549920,2
366,15017606,15563988,546382,2
367,15051847,15607895,556048,2
368,15101606,15649915,548309,2
369,15135856,15691937,556081,2
370,15185606,15733959,548353,2
371,15219866,15775980,556114,2
372,15269606,15818002,548396,2
373,15303877,15859863,555986,2
374,15353607,15905938,552331,2
375,15387913,15958955,571042,2
376,15431945,16003816,571871,2
377,15475951,16045605,569654,2
378,15523783,16089605,565822,2
379,15565795,16116022,550227,2
380,15609839,16158037,548198,2
381,15651857,16220033,568176,2
382,15693860,16267607,573747,2
383,15735864,16297605,561741,2
384,15777866,16324010,546144,2
385,15819899,16366019,546120,2
386,15863936,16408022,544086,2
387,15917605,16450029,532424,2
388,15947957,16492051,544094,2
389,15989960,16534096,544136,2
390,16031980,16576054,544074,2
391,16073968,16619642,545674,2
392,16116011,16669605,553594,2
393,16158019,16713605,555586,2
394,16200025,16753605,553580,2
395,16242008,16797605,555597,2
396,16284012,16837605,553593,2
397,16326008,16881605,555597,2
398,16368034,16921605,553571,2
399,16410018,16965605,555587,2
400,16452022,17005605,553583,2
