it,start,end,latency,execution,sol
1,0,48662,48662,62890,1
2,14274,68589,54315,29850,1
3,24205,88884,64679,30154,1
4,34089,108784,74695,29776,1
5,43971,128672,84701,29640,1
6,53728,148718,94990,29850,1
7,63537,168601,105064,29864,1
8,73525,188534,115009,29723,1
9,83319,208498,125179,29735,1
10,93094,228376,135282,29631,1
11,102852,248302,145450,29698,1
12,112628,268278,155650,29731,1
13,122391,288037,165646,29529,1
14,132167,307765,175598,29482,1
15,141926,327418,185492,29396,1
16,151673,347169,195496,29549,1
17,161476,366772,205296,29324,1
18,171202,386361,215159,29388,1
19,181006,405834,224828,29197,1
20,190735,425405,234670,29340,1
21,200509,444957,244448,29279,1
22,210239,464444,254205,29255,1
23,220012,483947,263935,29223,1
24,229738,503620,273882,29381,1
25,239452,523446,283994,29578,1
26,249210,543027,293817,29288,1
27,258922,562586,303664,29314,1
28,268682,582289,313607,29393,1
29,278377,602072,323695,29545,1
30,288144,621801,333657,39178,1
31,307601,641401,333800,39276,1
32,327282,661004,333722,39218,1
33,346903,680907,334004,39637,1
34,366645,700668,334023,39274,1
35,386164,720545,334381,39438,1
36,405731,740383,334652,39295,1
37,425196,760351,335155,39399,1
38,444635,780049,335414,39346,1
39,464289,799739,335450,39222,1
40,483828,819481,335653,39368,1
41,503461,839064,335603,39298,1
42,523184,858958,335774,39561,1
43,542859,878593,335734,39208,1
44,562438,898200,335762,39271,1
45,582110,917703,335593,39268,1
46,601889,937337,335448,39347,1
47,621609,956921,335312,39259,1
48,641288,976531,335243,39185,1
49,660870,996081,335211,39419,1
50,680745,1015741,334996,39414,1
51,700507,1035205,334698,39288,1
52,720337,1054725,334388,39374,1
53,740199,1074399,334200,39612,1
54,760145,1093910,333765,39294,1
55,779935,1113537,333602,39258,1
56,799574,1133042,333468,39197,1
57,819271,1152737,333466,39370,1
58,838952,1172408,333456,39409,1
59,858697,1192024,333327,39246,1
60,878333,1211994,333661,39620,1
61,897991,1231615,333624,39114,1
62,917491,1251287,333796,39318,1
63,937143,1270905,333762,39176,1
64,956709,1290790,334081,39596,1
65,976428,1310715,334287,39426,1
66,995935,1330521,334586,39434,1
67,1015570,1350378,334808,39336,1
68,1035056,1370169,335113,39361,1
69,1054634,1389822,335188,39234,1
70,1074223,1409402,335179,39090,1
71,1093739,1429003,335264,39164,1
72,1113310,1448620,335310,39213,1
73,1132914,1468238,335324,39297,1
74,1152601,1487856,335255,39244,1
75,1172235,1507370,335135,39193,1
76,1191922,1527145,335223,39595,1
77,1211751,1546719,334968,39295,1
78,1231479,1566330,334851,39225,1
79,1251099,1586130,335031,39397,1
80,1270702,1605614,334912,39352,1
81,1290576,1625284,334708,39612,1
82,1310522,1644897,334375,39478,1
83,1330391,1664366,333975,39223,1
84,1350153,1683868,333715,39309,1
85,1369966,1703361,333395,39077,1
86,1389558,1722953,333395,39273,1
87,1409245,1742556,333311,39246,1
88,1428895,1762116,333221,39099,1
89,1448439,1781719,333280,39252,1
90,1468094,1801498,333404,39326,1
91,1487645,1821405,333760,39519,1
92,1507264,1841222,333958,39521,1
93,1526975,1860925,333950,39284,1
94,1546562,1880872,334310,39596,1
95,1566217,1900789,334572,39608,1
96,1585916,1920563,334647,39368,1
97,1605517,1940486,334969,39518,1
98,1625119,1960428,335309,39517,1
99,1644701,1979999,335298,39012,1
100,1664147,1999568,335421,39127,1
101,1683713,2019200,335487,39155,1
102,1703244,2038860,335616,39209,1
103,1722801,2058475,335674,39197,1
104,1742390,2078229,335839,39386,1
105,1762029,2097766,335737,39039,1
106,1781539,2117224,335685,39155,1
107,1801245,2136859,335614,39605,1
108,1821221,2156392,335171,39329,1
109,1841022,2175935,334913,39234,1
110,1860719,2195598,334879,39564,1
111,1880627,2215238,334611,39593,1
112,1900585,2234646,334061,39186,1
113,1920368,2254161,333793,39437,1
114,1940296,2273680,333384,39462,1
115,1960247,2293391,333144,39331,1
116,1979875,2312957,333082,39116,1
117,1999431,2332511,333080,39101,1
118,2018983,2352143,333160,39295,1
119,2038651,2371858,333207,39351,1
120,2058291,2391299,333008,39180,1
121,2078036,2410918,332882,39116,1
122,2097539,2430615,333076,39219,1
123,2117068,2450142,333074,39098,1
124,2136647,2469869,333222,39269,1
125,2156195,2489796,333601,39512,1
126,2175785,2509551,333766,39372,1
127,2195409,2529388,333979,39397,1
128,2214976,2549193,334217,39373,1
129,2234551,2569058,334507,39291,1
130,2253985,2588665,334680,39225,1
131,2273610,2608341,334731,39238,1
132,2293179,2627755,334576,39024,1
133,2312795,2647385,334590,39189,1
134,2332361,2666998,334637,39270,1
135,2352025,2686544,334519,39100,1
136,2371587,2706198,334611,39248,1
137,2391189,2725653,334464,38993,1
138,2410734,2745254,334520,39218,1
139,2430358,2764845,334487,39260,1
140,2450033,2784706,334673,39511,1
141,2469691,2804449,334758,39625,1
142,2489579,2824175,334596,39548,1
143,2509407,2843958,334551,39618,1
144,2529250,2863532,334282,39335,1
145,2549018,2883164,334146,39416,1
146,2568810,2902786,333976,39324,1
147,2588519,2922389,333870,39253,1
148,2608176,2942154,333978,39226,1
149,2627644,2961642,333998,39121,1
150,2647285,2981253,333968,39120,1
151,2666799,3000894,334095,39297,1
152,2686462,3021138,334676,39846,1
153,2706071,3040829,334758,39107,1
154,2725493,3060483,334990,39245,1
155,2745091,3080384,335293,39456,1
156,2764653,3100390,335737,39877,1
157,2784532,3120283,335751,39645,1
158,2804326,3140108,335782,39522,1
159,2824031,3159890,335859,39570,1
160,2843826,3179415,335589,39169,1
161,2863478,3199034,335556,39140,1
162,2883005,3218644,335639,39271,1
163,2902673,3238094,335421,38930,1
164,2922158,3257699,335541,39368,1
165,2941926,3277254,335328,39107,1
166,2961486,3296800,335314,39141,1
167,2981086,3316474,335388,39292,1
168,3000712,3336009,335297,39770,1
169,3020953,3355701,334748,39409,1
170,3040678,3375231,334553,39137,1
171,3060293,3394915,334622,39612,1
172,3080228,3414474,334246,39466,1
173,3100143,3434105,333962,39583,1
174,3120100,3453658,333558,39341,1
175,3139895,3473334,333439,39415,1
176,3159641,3492765,333124,39094,1
177,3179310,3512426,333116,39116,1
178,3198770,3531957,333187,39189,1
179,3218435,3551508,333073,39008,1
180,3237899,3571192,333293,39276,1
181,3257496,3590734,333238,39110,1
182,3277071,3610401,333330,39190,1
183,3296602,3630213,333611,39518,1
184,3316316,3649834,333518,39189,1
185,3335891,3669405,333514,39249,1
186,3355576,3689136,333560,39233,1
187,3375083,3709094,334011,39524,1
188,3394657,3728919,334262,39461,1
189,3414301,3748886,334585,39547,1
190,3433888,3768829,334941,39530,1
191,3453481,3788340,334859,39165,1
192,3473143,3807958,334815,39074,1
193,3492605,3827520,334915,39125,1
194,3512176,3847034,334858,39146,1
195,3531814,3866551,334737,38985,1
196,3551289,3886123,334834,39265,1
197,3570989,3905716,334727,39201,1
198,3590602,3925319,334717,39201,1
199,3610205,3944915,334710,39421,1
200,3630037,3964576,334539,39308,1
201,3649692,3984064,334372,39041,1
202,3669253,4003727,334474,39373,1
203,3688968,4023252,334284,39445,1
204,3708894,4042818,333924,39435,1
205,3728768,4062535,333767,39643,1
206,3748700,4082191,333491,39537,1
207,3768589,4101693,333104,39062,1
208,3788157,4121341,333184,39178,1
209,3807693,4140969,333276,39304,1
210,3827376,4160611,333235,39153,1
211,3846895,4180184,333289,39103,1
212,3866433,4199754,333321,39075,1
213,3885944,4219838,333894,39686,1
214,3905553,4239572,334019,39285,1
215,3925110,4259189,334079,39243,1
216,3944741,4278979,334238,39467,1
217,3964426,4298686,334260,39180,1
218,3983906,4318516,334610,39521,1
219,4003605,4338261,334656,39284,1
