it,start,end,latency,sol
1,0,64438,64438,1
2,15031,114968,99937,1
3,45750,150177,104427,1
4,71626,185116,113490,1
5,81804,219964,138160,1
6,107629,254998,147369,1
7,133523,305875,172352,1
8,143390,340772,197382,1
9,169066,375674,206608,1
10,178918,410572,231654,1
11,204616,445571,240955,1
12,230460,496485,266025,1
13,240147,531519,291372,1
14,265908,566783,300875,1
15,275485,601992,326507,1
16,301239,636687,335448,1
17,326961,669658,342697,1
18,336692,698781,362089,1
19,362382,727854,365472,1
20,372138,756860,384722,1
21,397820,785694,387874,1
22,423569,814524,390955,1
23,433204,843373,410169,1
24,458909,872243,413334,1
25,468358,901025,432667,1
26,494112,929924,435812,1
27,519739,958736,438997,1
28,529493,987829,458336,1
29,555169,1016763,461594,1
30,565114,1045644,480530,1
31,590795,1074384,483589,1
32,617162,1103276,486114,1
33,645327,1132214,486887,1
34,674458,1161012,486554,1
35,703535,1189742,486207,1
36,732664,1219213,486549,1
37,761587,1248449,486862,1
38,790375,1277840,487465,1
39,819300,1307217,487917,1
40,848163,1336260,488097,1
41,876952,1365024,488072,1
42,905783,1393889,488106,1
43,934698,1422834,488136,1
44,963665,1451708,488043,1
45,992605,1480590,487985,1
46,1021605,1509492,487887,1
47,1050396,1538215,487819,1
48,1079274,1567052,487778,1
49,1108119,1595896,487777,1
50,1136949,1624700,487751,1
51,1165700,1653555,487855,1
52,1194536,1682252,487716,1
53,1224116,1711164,487048,1
54,1253286,1740150,486864,1
55,1282630,1768880,486250,1
56,1311885,1797846,485961,1
57,1340891,1827457,486566,1
58,1369841,1856404,486563,1
59,1398689,1885156,486467,1
60,1427580,1914036,486456,1
61,1456488,1942850,486362,1
62,1485412,1971686,486274,1
63,1514200,2000404,486204,1
64,1542935,2029274,486339,1
65,1571765,2058120,486355,1
66,1600641,2086920,486279,1
67,1629460,2115785,486325,1
68,1658278,2144619,486341,1
69,1687115,2173405,486290,1
70,1716030,2202171,486141,1
71,1744850,2231079,486229,1
72,1773703,2259824,486121,1
73,1803029,2288560,485531,1
74,1832237,2317577,485340,1
75,1861107,2346374,485267,1
76,1889980,2375204,485224,1
77,1918810,2404341,485531,1
78,1947638,2433595,485957,1
79,1976341,2462416,486075,1
80,2005172,2491196,486024,1
81,2034047,2520086,486039,1
82,2062782,2548815,486033,1
83,2091666,2577662,485996,1
84,2120499,2606522,486023,1
85,2149337,2635397,486060,1
86,2178114,2664125,486011,1
87,2206962,2692896,485934,1
88,2235793,2722304,486511,1
89,2264574,2751199,486625,1
90,2293516,2780008,486492,1
91,2322299,2808924,486625,1
92,2351146,2837968,486822,1
93,2379962,2866855,486893,1
94,2409336,2895668,486332,1
95,2438336,2924381,486045,1
96,2467194,2953314,486120,1
97,2495995,2982417,486422,1
98,2524744,3011782,487038,1
99,2553628,3040732,487104,1
100,2582483,3069854,487371,1
101,2611213,3098995,487782,1
102,2640085,3128219,488134,1
103,2668875,3157318,488443,1
104,2697713,3186183,488470,1
105,2727091,3215056,487965,1
106,2755996,3243797,487801,1
107,2784861,3272694,487833,1
108,2813811,3301652,487841,1
109,2842731,3330317,487586,1
110,2871500,3359206,487706,1
111,2900396,3387972,487576,1
112,2929272,3416785,487513,1
113,2958131,3445623,487492,1
114,2987200,3474554,487354,1
115,3016585,3503352,486767,1
116,3045525,3532131,486606,1
117,3074632,3560857,486225,1
118,3103810,3589642,485832,1
119,3133008,3618932,485924,1
120,3162117,3647968,485851,1
121,3190986,3676839,485853,1
122,3219779,3705734,485955,1
123,3248634,3734515,485881,1
124,3277465,3763310,485845,1
125,3306325,3791978,485653,1
126,3335142,3820836,485694,1
127,3363872,3849690,485818,1
128,3392682,3878574,485892,1
129,3421539,3907441,485902,1
130,3450395,3936230,485835,1
131,3479241,3965052,485811,1
132,3508035,3993763,485728,1
133,3536848,4022669,485821,1
134,3565636,4051485,485849,1
135,3594432,4080269,485837,1
136,3623826,4109167,485341,1
137,3652764,4138060,485296,1
138,3681638,4166810,485172,1
139,3710417,4195663,485246,1
140,3739225,4225261,486036,1
141,3767964,4254252,486288,1
142,3796801,4283109,486308,1
143,3825634,4312001,486367,1
144,3854468,4340905,486437,1
145,3883345,4369775,486430,1
146,3912112,4398685,486573,1
147,3940973,4427398,486425,1
148,3969813,4456246,486433,1
149,3998619,4485110,486491,1
150,4027438,4513906,486468,1
151,4056214,4542815,486601,1
152,4085056,4571905,486849,1
153,4113958,4600752,486794,1
154,4142787,4629554,486767,1
155,4171595,4658487,486892,1
156,4200397,4687155,486758,1
157,4230019,4716141,486122,1
158,4258998,4745066,486068,1
159,4287870,4773831,485961,1
160,4316804,4802699,485895,1
161,4345676,4832203,486527,1
162,4374553,4861044,486491,1
163,4403372,4889907,486535,1
164,4432182,4918819,486637,1
165,4460978,4947824,486846,1
166,4489885,4976823,486938,1
167,4518700,5005820,487120,1
168,4547533,5034673,487140,1
169,4576642,5064310,487668,1
170,4605538,5094164,488626,1
171,4634403,5123630,489227,1
172,4663207,5150603,487396,1
173,4692065,5175412,483347,1
174,4720960,5200190,479230,1
175,4749802,5225017,475215,1
176,4778651,5249832,471181,1
177,4807942,5274316,466374,1
178,4836961,5298799,461838,1
179,4865851,5323283,457432,1
180,4894679,5347724,453045,1
181,4923694,5372206,448512,1
182,4952605,5396548,443943,1
183,4981547,5421005,439458,1
184,5010557,5445068,434511,1
185,5039451,5469063,429612,1
186,5068859,5492919,424060,1
187,5493939,5585416,91477,2
188,5513860,5627366,113506,2
189,5553288,5666615,113327,2
190,5592578,5705754,113176,2
191,5631883,5745024,113141,2
192,5671113,5784302,113189,2
193,5710410,5823649,113239,2
194,5749644,5862859,113215,2
195,5788931,5902253,113322,2
196,5828310,5941595,113285,2
197,5867540,5980906,113366,2
198,5906836,6033490,126654,2
199,5946158,6057064,110906,2
200,5985466,6099261,113795,2
201,6025257,6138578,113321,2
202,6064624,6177859,113235,2
203,6103940,6217203,113263,2
