it,start,end,latency,sol
1,0,65527,65527,1
2,14775,92386,77611,1
3,25205,112138,86933,1
4,35192,131900,96708,1
5,45273,151599,106326,1
6,55401,171339,115938,1
7,65279,194801,129522,1
8,75275,214393,139118,1
9,85304,233988,148684,1
10,95340,253759,158419,1
11,105377,273516,168139,1
12,115411,293081,177670,1
13,125428,312340,186912,1
14,135440,328551,193111,1
15,145498,348113,202615,1
16,155504,367635,212131,1
17,165477,387168,221691,1
18,175483,406795,231312,1
19,185487,426181,240694,1
20,195550,445854,250304,1
21,205575,465429,259854,1
22,215625,484913,269288,1
23,225561,504552,278991,1
24,235614,524090,288476,1
25,245610,543647,298037,1
26,255663,563169,307506,1
27,265651,582665,317014,1
28,275684,602270,326586,1
29,286688,621939,335251,1
30,305558,641615,336057,1
31,325162,661137,335975,1
32,344705,680724,336019,1
33,364229,700281,336052,1
34,383768,719845,336077,1
35,403290,739414,336124,1
36,422847,758935,336088,1
37,442423,778501,336078,1
38,461958,798112,336154,1
39,481533,817549,336016,1
40,501104,837102,335998,1
41,520631,856746,336115,1
42,540190,876206,336016,1
43,559729,895755,336026,1
44,579265,915375,336110,1
45,598855,934877,336022,1
46,618614,954568,335954,1
47,638183,974116,335933,1
48,657743,993613,335870,1
49,677302,1013213,335911,1
50,696850,1032774,335924,1
51,716383,1052305,335922,1
52,735909,1071917,336008,1
53,755463,1091544,336081,1
54,774995,1111183,336188,1
55,794586,1130727,336141,1
56,814180,1150369,336189,1
57,833753,1170088,336335,1
58,853289,1189563,336274,1
59,872820,1209414,336594,1
60,892372,1228950,336578,1
61,911940,1248614,336674,1
62,931509,1268264,336755,1
63,951091,1287755,336664,1
64,970670,1307321,336651,1
65,990226,1326899,336673,1
66,1009794,1346410,336616,1
67,1029321,1366001,336680,1
68,1048927,1385575,336648,1
69,1068452,1405109,336657,1
70,1088158,1424532,336374,1
71,1107763,1444136,336373,1
72,1127372,1463663,336291,1
73,1147008,1483291,336283,1
74,1166620,1502817,336197,1
75,1186180,1522440,336260,1
76,1205933,1542083,336150,1
77,1225592,1561589,335997,1
78,1245220,1581118,335898,1
79,1264793,1600575,335782,1
80,1284364,1620227,335863,1
81,1303895,1639767,335872,1
82,1323455,1659341,335886,1
83,1342986,1678866,335880,1
84,1362582,1698440,335858,1
85,1382144,1718015,335871,1
86,1401628,1737559,335931,1
87,1421183,1757147,335964,1
88,1440723,1776709,335986,1
89,1460246,1796249,336003,1
90,1479851,1816085,336234,1
91,1499437,1835782,336345,1
92,1519008,1855455,336447,1
93,1538587,1875056,336469,1
94,1558128,1894614,336486,1
95,1577675,1914309,336634,1
96,1597224,1933783,336559,1
97,1616806,1953415,336609,1
98,1636349,1972968,336619,1
99,1655905,1992527,336622,1
100,1675462,2012074,336612,1
101,1694998,2031567,336569,1
102,1714589,2051150,336561,1
103,1734154,2070647,336493,1
104,1753693,2090166,336473,1
105,1773236,2109720,336484,1
106,1792795,2129246,336451,1
107,1812738,2148795,336057,1
108,1832410,2168400,335990,1
109,1852020,2187885,335865,1
110,1871615,2207492,335877,1
111,1891214,2227085,335871,1
112,1910783,2246685,335902,1
113,1930343,2266224,335881,1
114,1949937,2285816,335879,1
115,1969482,2305429,335947,1
116,1989095,2325089,335994,1
117,2008634,2344639,336005,1
118,2028135,2364198,336063,1
119,2047723,2383679,335956,1
120,2067262,2403276,336014,1
121,2086774,2422755,335981,1
122,2106310,2442393,336083,1
123,2125850,2461976,336126,1
124,2145381,2481623,336242,1
125,2164965,2501070,336105,1
126,2184535,2520689,336154,1
127,2204098,2540190,336092,1
128,2223677,2559877,336200,1
129,2243240,2579393,336153,1
130,2262807,2598913,336106,1
131,2282396,2618484,336088,1
132,2302015,2638026,336011,1
133,2321573,2657528,335955,1
134,2341149,2677100,335951,1
135,2360710,2696664,335954,1
136,2380203,2716150,335947,1
137,2399733,2735671,335938,1
138,2419429,2755222,335793,1
139,2439002,2774801,335799,1
140,2458593,2794360,335767,1
141,2478124,2813846,335722,1
142,2497671,2833400,335729,1
143,2517225,2853028,335803,1
144,2536826,2872580,335754,1
145,2556396,2892165,335769,1
146,2575941,2911655,335714,1
147,2595529,2931244,335715,1
148,2615069,2950848,335779,1
149,2634566,2970300,335734,1
150,2654087,2989933,335846,1
151,2673632,3009773,336141,1
152,2693160,3029446,336286,1
153,2712709,3049080,336371,1
154,2732251,3068566,336315,1
155,2751820,3088178,336358,1
156,2771373,3107667,336294,1
157,2790945,3127209,336264,1
158,2810486,3146768,336282,1
159,2830012,3166282,336270,1
160,2849592,3185920,336328,1
161,2869165,3205474,336309,1
162,2888734,3224926,336192,1
163,2908263,3244586,336323,1
164,2927811,3264093,336282,1
165,2947345,3283677,336332,1
166,2966950,3303149,336199,1
167,2986518,3322764,336246,1
168,3006417,3342270,335853,1
169,3026074,3361858,335784,1
170,3045645,3381350,335705,1
171,3065178,3400991,335813,1
172,3084728,3420558,335830,1
173,3104290,3440018,335728,1
174,3123805,3459556,335751,1
175,3143327,3479138,335811,1
176,3162888,3498652,335764,1
177,3182465,3518330,335865,1
178,3202008,3537796,335788,1
179,3221577,3557462,335885,1
180,3241134,3577063,335929,1
181,3260686,3596530,335844,1
182,3280217,3616308,336091,1
183,3299760,3635961,336201,1
184,3319293,3655575,336282,1
185,3338841,3675185,336344,1
186,3358410,3694695,336285,1
187,3377981,3714353,336372,1
188,3397534,3733877,336343,1
189,3417092,3753470,336378,1
190,3436632,3773081,336449,1
191,3456167,3792593,336426,1
192,3475706,3812061,336355,1
193,3495249,3831564,336315,1
194,3514842,3851189,336347,1
195,3534452,3870753,336301,1
196,3554036,3890382,336346,1
197,3573609,3909958,336349,1
198,3593174,3929494,336320,1
199,3612955,3949125,336170,1
200,3632575,3968551,335976,1
201,3652138,3988144,336006,1
202,3671712,4007779,336067,1
203,3691263,4027270,336007,1
204,3710840,4046842,336002,1
205,3730410,4066341,335931,1
206,3749991,4085948,335957,1
207,3769549,4105495,335946,1
208,3789124,4125119,335995,1
209,3808659,4144657,335998,1
210,3828195,4164145,335950,1
211,3847768,4183709,335941,1
212,3867351,4203274,335923,1
213,3886956,4223003,336047,1
214,3906558,4242563,336005,1
215,3926127,4262191,336064,1
216,3945651,4281719,336068,1
217,3965207,4301313,336106,1
218,3984763,4320838,336075,1
219,4004305,4340463,336158,1
220,4023865,4359997,336132,1
221,4043405,4379628,336223,1
222,4062958,4399132,336174,1
223,4082556,4418657,336101,1
224,4102096,4438243,336147,1
225,4121653,4457753,336100,1
226,4141182,4477369,336187,1
227,4160755,4496826,336071,1
228,4180308,4516396,336088,1
229,4199897,4536026,336129,1
230,4219579,4555531,335952,1
231,4239169,4575105,335936,1
232,4258740,4594746,336006,1
233,4278288,4614297,336009,1
234,4297828,4633880,336052,1
235,4317396,4653431,336035,1
236,4336993,4673047,336054,1
237,4356550,4692557,336007,1
238,4376111,4712093,335982,1
239,4395646,4731638,335992,1
240,4415192,4751227,336035,1
241,4434791,4770729,335938,1
242,4454325,4790314,335989,1
243,4473881,4809855,335974,1
244,4493453,4829399,335946,1
245,4513007,4849070,336063,1
246,4532557,4868572,336015,1
247,4552157,4888171,336014,1
248,4571726,4907795,336069,1
249,4591349,4927302,335953,1
250,4610902,4946892,335990,1
251,4630513,4966512,335999,1
252,4650051,4986018,335967,1
253,4669586,5005571,335985,1
254,4689112,5025128,336016,1
255,4708664,5044665,336001,1
256,4728203,5064436,336233,1
257,4747779,5092884,345105,1
258,4767312,5115954,348642,1
259,4786826,5140808,353982,1
260,4806375,5165619,359244,1
261,4826065,5184642,358577,1
262,4845656,5203195,357539,1
263,4865158,5221626,356468,1
264,4884747,5240019,355272,1
265,4904324,5254774,350450,1
266,4923856,5269489,345633,1
267,4943454,5284379,340925,1
268,4962983,5301038,338055,1
269,4982581,5320651,338070,1
270,5002116,5340213,338097,1
271,5021701,5359887,338186,1
272,5041243,5379282,338039,1
273,5061129,5398343,337214,1
274,5399396,5491883,92487,2
275,5419259,5516599,97340,2
276,5439297,5555107,115810,2
277,5478468,5589512,111044,2
278,5502299,5624228,121929,2
279,5526604,5662631,136027,2
280,5564362,5700505,136143,2
281,5584336,5754663,170327,2
282,5604354,5790667,186313,2
283,5628105,5826585,198480,2
284,5651896,5876991,225095,2
285,5675738,5927877,252139,2
286,5699476,5963943,264467,2
287,5723248,5999964,276716,2
288,5747003,6044691,297688,2
289,5770797,6080331,309534,2
290,5794576,6116621,322045,2
291,5818343,6138605,320262,2
292,5842203,6160699,318496,2
293,5865975,6182828,316853,2
294,5889811,6204919,315108,2
295,5913619,6226955,313336,2
296,5937402,6248988,311586,2
297,5961223,6271123,309900,2
298,5984975,6293285,308310,2
299,6008779,6315392,306613,2
300,6038396,6337357,298961,2
301,6076321,6359462,283141,2
302,6100099,6381569,281470,2
303,6150340,6403598,253258,2
304,6186330,6425619,239289,2
305,6238340,6447779,209439,2
306,6264415,6467830,203415,2
307,6299307,6489825,190518,2
308,6334118,6541929,207811,2
309,6370177,6577934,207757,2
310,6406225,6614050,207825,2
311,6429975,6650154,220179,2
312,6453780,6686231,232451,2
313,6477546,6722304,244758,2
314,6501294,6742404,241110,2
315,6525043,6762421,237378,2
316,6548828,6782459,233631,2
317,6572565,6807812,235247,2
318,6596368,6881410,285042,2
319,6620156,6921606,301450,2
320,6644014,6955410,311396,2
321,6664038,6995560,331522,2
322,6684201,7035703,351502,2
323,6732930,7075905,342975,2
324,6773592,7115972,342380,2
325,6799354,7156173,356819,2
326,6825170,7196372,371202,2
327,6857777,7238567,380790,2
328,6885623,7270650,385027,2
329,6909450,7292744,383294,2
330,6933257,7328652,395395,2
331,6957003,7356364,399361,2
332,6980791,7378410,397619,2
333,7004637,7400433,395796,2
334,7028386,7422568,394182,2
335,7052183,7444634,392451,2
336,7075887,7466720,390833,2
337,7099640,7488751,389111,2
338,7123460,7526859,403399,2
339,7147210,7560663,413453,2
340,7170971,7596680,425709,2
341,7194800,7648653,453853,2
342,7218618,7670651,452033,2
343,7242516,7692754,450238,2
344,7266315,7714856,448541,2
345,7290109,7736897,446788,2
346,7326340,7772663,446323,2
347,7362339,7803821,441482,2
348,7398339,7829070,430731,2
349,7422095,7862986,440891,2
