iteration,start,end,latency,execution
1,0,79697,79697,120534
2,40909,120236,79327,81399
3,81789,161684,79895,82286
4,122662,202937,80275,82204
5,163642,244127,80485,82074
6,204556,285191,80635,81941
7,245476,326047,80571,82107
8,286760,367691,80931,83045
9,328200,410443,82243,84044
10,369573,451963,82390,85454
11,413540,493800,80260,82882
12,454662,535354,80692,84095
13,497237,577472,80235,83084
14,538280,619779,81499,84810
15,580861,662461,81600,85192
16,623449,703906,80457,84114
17,666148,746104,79956,83177
18,707204,788425,81221,84656
19,749634,830294,80660,84331
20,792154,872653,80499,84618
21,834468,914371,79903,84007
22,876815,955807,78992,83727
23,919127,997978,78851,83304
24,960313,1040297,79984,84603
25,1002652,1082297,79645,84252
26,1044957,1124899,79942,84855
27,1087263,1167703,80440,85004
28,1129535,1209237,79702,84004
29,1172039,1251303,79264,82936
30,1212987,1293403,80416,84603
31,1255567,1335735,80168,84836
32,1298148,1378495,80347,85222
33,1340684,1419959,79275,83937
34,1383190,1461786,78596,82765
35,1424201,1503238,79037,84660
36,1467449,1545418,77969,83064
37,1508423,1587796,79373,84889
38,1551008,1630779,79771,85403
39,1593500,1673809,80309,85496
40,1636039,1714904,78865,83622
41,1678599,1756423,77824,82396
42,1719544,1799185,79641,84745
43,1761599,1840603,79004,83892
44,1804105,1883500,79395,83783
45,1845059,1924891,79832,83856
46,1887555,1966555,79000,82494
47,1928430,2008151,79721,83565
48,1970426,2051008,80582,83724
49,2011367,2092297,80930,83779
50,2053889,2134594,80705,83100
51,2094766,2176662,81896,84556
52,2137331,2219139,81808,84916
53,2179844,2262168,82324,85504
54,2222394,2304530,82136,84836
55,2264944,2347378,82434,85273
56,2307446,2389510,82064,84532
57,2349920,2431866,81946,84802
58,2392444,2473956,81512,84559
59,2434989,2516080,81091,85057
60,2477995,2558045,80050,84384
61,2520486,2600552,80066,84944
62,2562995,2643410,80415,85221
63,2605432,2685429,79997,84435
64,2647927,2726913,78986,84090
65,2690573,2769792,79219,83828
66,2731568,2811105,79537,81947
67,2772239,2853341,81102,83267
68,2813346,2896182,82836,85625
69,2856205,2937652,81447,84201
70,2898970,2980364,81394,83591
71,2939926,3022000,82074,84437
72,2982761,3064810,82049,83667
