iteration,start,end,latency,execution
1,0,79566,79566,140776
2,1129,120815,119686,308264
3,42105,161835,119730,255467
4,82960,204485,121525,288294
5,123962,246569,122607,320456
6,168244,287817,119573,293154
7,211268,329085,117817,294165
8,254304,370184,115880,288471
9,294267,412571,118304,314310
10,336157,454618,118461,289904
11,379090,496885,117795,302244
12,421459,538886,117427,312152
13,463883,581222,117339,278107
14,506352,623286,116934,293481
15,548805,665462,116657,302157
16,591307,707418,116111,294506
17,633695,749804,116109,293572
18,676166,792583,116417,297512
19,718627,834065,115438,286821
20,762933,875891,112958,287833
21,802591,917428,114837,309760
22,845232,959481,114249,274243
23,886241,1001467,115226,317586
24,928867,1043911,115044,315801
25,971490,1086225,114735,278035
26,1013965,1128158,114193,292647
27,1056317,1170077,113760,301730
28,1098682,1211200,112518,280707
29,1141056,1253600,112544,280884
30,1182051,1294768,112717,304040
31,1224551,1337203,112652,288774
32,1266770,1380005,113235,307341
33,1308114,1421358,113244,293834
34,1350495,1463333,112838,274054
35,1391475,1504679,113204,302872
36,1433955,1546642,112687,288886
37,1474892,1587972,113080,285767
38,1517223,1630129,112906,291611
39,1558468,1672250,113782,317494
40,1601104,1713373,112269,282477
41,1643475,1755597,112122,281380
42,1684331,1796815,112484,303323
43,1726960,1838458,111498,289153
44,1769442,1881012,111570,305534
45,1810628,1922381,111753,294223
46,1853100,1964443,111343,274951
47,1894073,2006460,112387,319243
48,1936811,2048757,111946,312223
49,1979306,2090849,111543,277793
50,2021631,2132988,111357,294763
51,2063985,2175201,111216,300925
52,2106330,2217353,111023,292139
53,2148814,2259502,110688,296028
54,2191150,2301767,110617,297467
55,2233601,2343787,110186,321073
56,2281021,2385831,104810,275708
57,2319290,2426989,107699,293273
58,2361618,2468431,106813,272121
59,2402326,2511306,108980,319985
60,2444993,2553778,108785,315834
61,2487632,2595869,108237,278212
62,2530041,2638116,108075,293030
63,2572374,2681003,108629,302855
64,2614860,2722163,107303,279803
65,2657191,2764361,107170,283034
66,2698228,2805488,107260,302597
67,2740673,2847548,106875,289921
68,2783455,2888894,105439,293188
69,2824223,2930830,106607,293233
70,2865349,2973340,107991,304229
71,2907785,3015379,107594,301164
72,2950110,3057218,107108,312293
73,2992656,3098669,106013,268648
74,3035254,3140859,105605,281105
75,3076261,3182772,106511,317911
