iteration,start,end,latency,execution
1,0,78688,78688,137410
2,1134,119799,118665,280600
3,42045,161056,119011,286009
4,82911,202113,119202,287727
5,123833,243505,119672,288652
6,165325,284887,119562,296360
7,206170,325792,119622,285594
8,247563,367251,119688,290447
9,288921,408515,119594,295329
10,330341,450897,120556,288420
11,371265,492912,121647,310689
12,413690,535022,121332,278771
13,456169,577321,121152,332822
14,499529,619510,119981,285796
15,541885,661790,119905,288732
16,584196,703655,119459,304054
17,626550,746177,119627,285965
18,668879,788660,119781,296336
19,711197,830303,119106,287740
20,753469,872249,118780,282867
21,794538,914518,119980,334193
22,837007,956846,119839,278604
23,879310,999019,119709,293739
24,921629,1041162,119533,293761
25,964023,1083339,119316,309117
26,1006335,1126133,119798,290499
27,1048676,1167319,118643,277806
28,1090929,1208796,117867,283521
29,1131644,1251025,119381,306515
30,1173642,1292936,119294,297512
31,1215985,1335096,119111,297988
32,1258250,1376203,117953,281854
33,1300635,1418714,118079,290124
34,1341409,1461479,120070,310146
35,1383956,1502836,118880,282070
36,1426243,1545175,118932,279173
37,1466989,1588044,121055,326311
38,1509487,1630179,120692,289485
39,1551772,1671565,119793,277533
40,1594079,1713659,119580,287175
41,1634855,1755834,120979,304711
42,1676837,1797892,121055,297245
43,1719197,1840781,121584,299952
44,1761525,1882251,120726,282060
45,1803890,1924184,120294,290225
46,1844643,1966543,121900,308328
47,1887084,2008511,121427,296001
48,1929625,2051048,121423,293644
49,1972214,2092997,120783,311460
50,2014718,2135329,120611,293457
51,2057221,2177407,120186,287359
52,2099567,2219625,120058,306073
53,2141852,2261767,119915,286459
54,2184193,2304144,119951,297822
55,2226711,2345960,119249,286406
56,2269177,2388049,118872,282505
57,2310287,2430301,120014,337618
58,2352939,2472291,119352,274779
59,2395262,2514396,119134,296147
60,2437827,2555930,118103,288145
61,2480399,2598001,117602,284749
62,2521262,2640156,118894,314922
63,2563695,2682516,118821,287748
64,2605989,2725453,119464,309834
65,2648459,2767911,119452,285911
66,2690973,2810806,119833,300013
67,2733519,2853658,120139,301663
68,2776113,2894852,118739,281500
69,2818609,2936500,117891,286437
70,2859509,2979396,119887,304850
71,2901509,3022152,120643,303898
72,2944128,3063485,119357,281121
73,2986563,3105701,119138,287109
74,3027364,3148029,120665,316537
75,3070087,3190125,120038,289949
76,3112627,3232117,119490,308395
77,3155184,3274442,119258,288052
78,3197745,3316704,118959,297578
79,3240270,3358861,118591,300110
80,3282765,3401761,118996,296270
81,3325361,3443760,118399,324127
82,3367867,3485190,117323,257943
83,3410360,3527489,117129,281451
84,3451144,3570538,119394,313097
85,3493617,3612754,119137,316440
86,3536254,3654759,118505,285357
87,3578709,3696957,118248,289878
88,3621204,3739137,117933,310492
89,3663759,3781408,117649,285631
90,3706269,3824144,117875,299708
91,3748788,3865607,116819,284527
92,3791281,3907793,116512,281866
93,3832239,3950837,118598,345430
94,3874961,3991922,116961,256467
95,3917514,4034465,116951,281829
96,3958438,4077357,118919,316333
97,4001173,4119546,118373,316851
98,4043722,4161691,117969,288314
99,4086278,4204576,118298,287507
100,4128775,4246942,118167,311307
101,4171314,4289000,117686,285529
102,4213859,4331032,117173,297093
103,4256381,4372466,116085,285428
104,4298904,4414456,115552,281792
105,4340004,4457424,117420,343240
106,4382655,4498742,116087,257882
107,4425332,4541142,115810,283069
108,4466257,4583110,116853,314824
109,4509023,4625454,116431,316098
110,4551603,4667516,115913,292807
111,4594244,4709700,115456,304762
