iteration,start,end,latency,execution
1,0,80514,80514,135301
2,1166,121673,120507,239665
3,42068,162904,120836,245651
4,83004,204263,121259,248367
5,124316,245340,121024,247084
6,165388,286397,121009,258358
7,207952,328393,120441,256658
8,250588,370207,119619,258446
9,292579,412913,120334,244657
10,334643,454526,119883,259553
11,378767,496762,117995,247043
12,419226,538897,119671,282446
13,463489,581172,117683,251964
14,506980,623138,116158,253381
15,550202,665502,115300,259293
16,593600,707439,113839,261947
17,637103,749803,112700,256105
18,680725,791770,111045,250536
19,722288,833735,111447,259977
20,764838,876081,111243,263807
21,807301,918064,110763,246159
22,851005,959334,108329,245902
23,893290,1000650,107360,244891
24,934259,1042658,108399,277027
25,976819,1084833,108014,245146
26,1019398,1127067,107669,249574
27,1061896,1168855,106959,253907
28,1104252,1210523,106271,247609
29,1146786,1252490,105704,241318
30,1187647,1294576,106929,265926
31,1230262,1336961,106699,257263
32,1272840,1378744,105904,265531
33,1315260,1421267,106007,257490
34,1357673,1462044,104371,229943
35,1400179,1503535,103356,244178
36,1440879,1545311,104432,275918
37,1483563,1587899,104336,245217
38,1525909,1629669,103760,247971
39,1568257,1672189,103932,253907
40,1610449,1714100,103651,256466
41,1652975,1756794,103819,252541
42,1695451,1799511,104060,253977
43,1737778,1841985,104207,257566
44,1780125,1883896,103771,264430
45,1822599,1925072,102473,239355
46,1865056,1967109,102053,236196
47,1905921,2009020,103099,276032
48,1948496,2051569,103073,257629
49,1990933,2093410,102477,244700
50,2033428,2134736,101308,227275
51,2073884,2176817,102933,257803
52,2115605,2219200,103595,268481
53,2159486,2261205,101719,251866
54,2201977,2303642,101665,254664
55,2244395,2345579,101184,259095
56,2286912,2388152,101240,263356
57,2329309,2430933,101624,259674
58,2371773,2473476,101703,235785
59,2414186,2516265,102079,266839
60,2456504,2558788,102284,256727
61,2499023,2601285,102262,245952
62,2541506,2642541,101035,235564
63,2583917,2683888,99971,248314
64,2624921,2725695,100774,267352
65,2667560,2768270,100710,251859
66,2709875,2809472,99597,246855
67,2752208,2850397,98189,242433
68,2793112,2892433,99321,277598
69,2835749,2933610,97861,238644
70,2878173,2975278,97105,236424
71,2919043,3017214,98171,276879
72,2961647,3060177,98530,256826
73,3004026,3102812,98786,246625
74,3046568,3145262,98694,249233
75,3088995,3186807,97812,247771
76,3131459,3228425,96966,242968
77,3172406,3270483,98077,264547
78,3215029,3313218,98189,255260
79,3257602,3355526,97924,259855
80,3300038,3398486,98448,263185
81,3342552,3439753,97201,232218
82,3385033,3481672,96639,246803
83,3426226,3523133,96907,260052
84,3468705,3564191,95486,243377
85,3509687,3606869,97182,266476
86,3552244,3648317,96073,241240
87,3594751,3690089,95338,243725
88,3635763,3731937,96174,266986
89,3678427,3774329,95902,252066
90,3720793,3815121,94328,247095
91,3763308,3856445,93137,242948
92,3804137,3903625,99488,283548
93,3846835,3945356,98521,258817
94,3889298,3988138,98840,235640
95,3931783,4030683,98900,267017
96,3974263,4073473,99210,257534
97,4016665,4116223,99558,246455
98,4059225,4158695,99470,248320
99,4101700,4200649,98949,254250
100,4144113,4243428,99315,257686
101,4186694,4285981,99287,251747
102,4228956,4327711,98755,247056
103,4271326,4369071,97745,244606
104,4312339,4412048,99709,277568
105,4354939,4454646,99707,258878
106,4397282,4497438,100156,237236
107,4439805,4539699,99894,265352
108,4482274,4581642,99368,256948
109,4524589,4624411,99822,246272
110,4567135,4665698,98563,235233
111,4609615,4707843,98228,250221
112,4650654,4749247,98593,259272
113,4693335,4791167,97832,242698
114,4734436,4832687,98251,258573
115,4777067,4874217,97150,244766
116,4818187,4918214,100027,279278
117,4860651,4960254,99603,258732
118,4903187,5002781,99594,235085
119,4945654,5045330,99676,267096
120,4987931,5088131,100200,257672
121,5030453,5130801,100348,245288
122,5072885,5173322,100437,248811
123,5115379,5216082,100703,254288
124,5157680,5258639,100959,257345
125,5200201,5300530,100329,251939
126,5242710,5341615,98905,246713
127,5285087,5382705,97618,245034
128,5326173,5426733,100560,280986
129,5368706,5469238,100532,256406
130,5411096,5511117,100021,235983
131,5453643,5553504,99861,266201
132,5496080,5596515,100435,259208
133,5538549,5638919,100370,243782
134,5580942,5680915,99973,249399
135,5623461,5723410,99949,254544
136,5665956,5765708,99752,256152
137,5708239,5807812,99573,252369
138,5750777,5849306,98529,246656
139,5793108,5890858,97750,244858
140,5834166,5934753,100587,280587
141,5876684,5976114,99430,236885
142,5919213,6018143,98930,236892
143,5960142,6059976,99834,277677
144,6002805,6103821,101016,261021
145,6045263,6146527,101264,243827
146,6087775,6189118,101343,249588
147,6130337,6230326,99989,245598
148,6172651,6272342,99691,247558
149,6278226,6586793,308567,1861789
150,6411766,6754591,342825,1946458
151,6576287,6921168,344881,2004334
152,6743732,7089628,345896,2088315
153,6915514,7256376,340862,1934203
154,7078491,7424087,345596,2011673
155,7245806,7592475,346669,2078015
156,7418295,7758959,340664,1990554
157,7586447,7927748,341301,2060069
158,7754993,8094445,339452,1951550
159,7920824,8261113,340289,2021930
160,8089299,8437656,348357,2072506
161,8258072,8605761,347689,1984851
162,8426993,8772968,345975,2026288
163,8595873,8943080,347207,1983739
164,8760064,9111646,351582,2055143
165,8932393,9278401,346008,2007983
166,9098555,9448383,349828,1992747
167,9263883,9615161,351278,2038081
168,9434228,9781617,347389,2024765
169,9602615,9949731,347116,1993576
170,9769166,10116439,347273,2028180
171,9938206,10281005,342799,2022776
172,10106804,10446404,339600,1998381
173,10274270,10617232,342962,2045690
174,10442770,10783768,340998,2003269
175,10611107,10958603,347496,2051598
176,10779710,11123312,343602,2008202
177,10949442,11287850,338408,2004963
178,11116525,11463218,346693,1999103
179,11284005,11627794,343789,2050104
180,11454030,11794564,340534,2003816
181,11620976,11961050,340074,2016847
182,11789995,12127646,337651,2027702
183,11958368,12298603,340235,2005706
184,12125289,12468041,342752,2028623
185,12292917,12633579,340662,2003584
186,12461428,12802442,341014,2021074
187,12629633,12976590,346957,2047405
188,12797609,13143441,345832,2030854
189,12967312,13309424,342112,1994888
190,13135692,13478753,343061,2036535
191,13304126,13652438,348312,2036190
192,13472404,13818063,345659,2002441
193,13641862,13986705,344843,1991595
194,13808432,14152069,343637,2065269
195,13978881,14318791,339910,1965228
196,14144573,14490462,345889,2021419
197,14312889,14656361,343472,2019305
198,14481320,14823907,342587,2054035
199,14650415,14995070,344655,1974900
200,14816899,15162007,345108,2021784
201,14985389,15328627,343238,2053454
202,15154634,15501417,346783,2030456
203,15322772,15667065,344293,1980240
204,15490723,15840592,349869,2070728
205,15659868,16007367,347499,1978924
206,15827982,16173054,345072,2023384
207,15996768,16340473,343705,2054140
208,16165862,16510191,344329,1971864
209,16332467,16675521,343054,2023088
210,16501146,16845145,343999,2055348
211,16670349,17014888,344539,1974484
212,16836818,17180456,343638,2018408
213,17005412,17349120,343708,2057080
214,17174546,17517958,343412,1977861
215,17341333,17683593,342260,2019954
216,17509964,17853101,343137,2057466
217,17679283,18022869,343586,1974341
218,17845772,18188708,342936,2014397
219,18013982,18357174,343192,2059012
