iteration,start,end
1,0,92883
2,743,144481
3,1473,196543
4,2192,249481
5,2875,301611
6,3566,353568
7,4241,406409
8,4927,459274
9,5724,512123
10,6601,564276
11,7457,616280
12,8378,669050
13,9163,721539
14,9853,774635
15,10516,827594
16,11200,880409
17,11933,933395
18,12701,985584
19,13409,1038120
20,14188,1090321
21,15018,1143013
22,15909,1195943
23,16766,1248902
24,17667,1300810
25,18424,1352819
26,19091,1404734
27,19752,1457167
28,20435,1510572
29,21224,1562676
30,22074,1614796
31,22884,1666060
32,23727,1717250
33,24550,1769620
34,25420,1821819
35,93852,1874330
36,147015,1927323
37,199154,1981354
38,251386,2035328
39,304147,2088289
40,356131,2141211
41,409339,2193844
42,461898,2246079
43,514784,2298891
44,567024,2351547
45,619278,2403331
46,671841,2455803
47,724406,2508030
48,777346,2560370
49,830446,2611586
50,883231,2663794
51,936162,2716708
52,988496,2769612
53,1040722,2821689
54,1093135,2874694
55,1146041,2927290
56,1198790,2979280
57,1251641,3032452
58,1303426,3085248
59,1355517,3137230
60,1407311,3189258
61,1460137,3241438
62,1513442,3294141
63,1565804,3346860
64,1616190,3399085
65,1667152,3452271
66,1719823,3504800
67,1772367,3557065
68,1825248,3609504
69,3,3694829
70,7142,3746445
71,7989,3797577
72,8851,3849063
73,12629,3901781
74,16565,3953746
75,20306,4006007
76,21803,4058646
77,23782,4110581
78,27353,4163278
79,30490,4215629
80,36547,4266790
81,37601,4317739
82,40728,4368312
83,40984,4419212
84,41284,4471520
85,42544,4523968
86,43184,4576479
87,44173,4628991
88,45725,4681038
89,46552,4733139
90,48556,4785006
91,48943,4836944
92,49349,4889233
93,49969,4941692
94,51111,4994391
95,51813,5047013
96,53379,5099950
97,54256,5152044
98,58470,5203924
99,59809,5256545
100,60574,5307843
101,61063,5359815
102,62807,5412012
103,63019,5463192
104,63214,5515846
105,63482,5567895
106,64614,5620243
107,64743,5672324
108,65375,5724045
109,66246,5776071
110,66816,5828285
111,67353,5880409
112,68023,5933109
113,68727,5985193
114,69423,6037169
115,70411,6089670
116,70968,6140820
117,72446,6192979
118,72574,6244816
119,73051,6296165
120,73176,6347909
121,73756,6399084
122,75061,6449777
123,75543,6501684
124,76100,6553597
125,77171,6605766
126,77828,6658475
127,78167,6710359
128,80065,6762303
129,80535,6815148
130,81092,6867432
131,81609,6919473
132,82126,6971341
133,82646,7023492
134,84299,7076298
135,85109,7128431
136,135617,7181240
137,187767,7233275
138,241631,7285501
139,294399,7336842
140,346059,7389234
141,398969,7441986
142,452715,7494029
143,503168,7546047
144,555188,7598128
145,604899,7649341
146,656081,7700684
147,707044,7752040
148,757883,7803336
149,812102,7855087
150,863848,7906033
151,916658,7957490
152,969531,8009353
153,1023190,8061220
154,1072969,8112332
155,1125495,8164937
156,1176949,8216328
157,1229147,8268324
158,1281864,8320349
159,1334070,8372275
160,1388233,8424191
161,1440515,8475213
162,1492535,8527095
163,1543822,8579502
164,1595890,8630852
165,1645774,8682783
166,1699755,8733991
167,1751636,8785964
168,1801395,8838039
169,1856177,8890068
170,1908465,8942478
171,1960152,8994693
172,2012244,9046932
173,2064941,9098785
174,2116065,9150970
175,2167932,9203008
176,2221030,9255106
177,2273189,9307548
178,2325464,9359599
179,2377839,9411796
180,2429905,9464408
181,2479011,9516420
182,2533186,9568429
183,2583333,9620462
184,2634767,9672451
185,2686144,9725110
186,2738194,9777281
187,2788636,9830484
188,2842398,9883194
189,2894220,9935083
190,2945884,9987313
191,2998348,10039234
192,3050481,10091639
193,3102467,10143923
194,3154430,10196731
195,3207193,10248944
196,3259677,10301722
197,3312182,10353954
198,3363561,10405843
199,3415981,10458581
200,3468875,10511422
201,3520799,10563384
202,3574527,10615480
203,3625855,10667469
204,3675293,10719526
205,3728540,10771453
206,3782587,10832232
207,3834320,10883594
208,3886492,10935355
209,3938961,10987450
210,3987416,11038582
211,4038501,11089671
212,4090034,11140787
213,4141401,11192540
214,4195530,11244681
215,4244810,11296632
216,4295881,11348951
217,4349416,11400841
218,4399888,11452960
219,4451623,11505733
220,4505040,11558322
221,4557199,11610635
222,4608666,11663481
223,4660696,11715591
224,4712544,11768381
225,4762551,11820569
226,4814462,11873076
227,4867674,11925148
228,4919493,11977921
229,4969927,12030366
230,5021415,12082208
231,5072642,12134435
232,5126995,12185285
233,5178203,12236651
234,5230040,12287632
235,5282589,12338513
236,5336226,12389680
237,5387408,12440916
238,5438886,12492395
239,5491568,12544051
240,5543562,12596076
241,5595537,12647520
242,5647980,12699496
243,5699998,12751625
244,5752375,12803587
245,5804831,12855839
246,5857056,12907701
247,5908819,12959393
248,5961191,13011548
249,6013079,13063422
250,6064798,13115389
251,6117848,13167399
252,6170281,13219280
253,6223209,13271386
254,6275936,13324110
255,6327611,13375198
256,6379801,13427322
257,6432274,13480243
258,6484703,13533057
259,6536721,13585027
260,6589617,13636926
261,6641507,13689195
262,6694451,13741625
263,6746403,13793921
264,6798660,13846853
265,6851291,13899058
266,6904701,13951963
267,6955984,14004809
268,7008005,14057508
269,7059897,14110308
270,7112047,14162387
271,7164305,14214497
272,7221898,14266478
273,7275976,14318406
274,7328060,14370353
275,7377853,14422747
276,7429159,14475185
277,7479849,14527380
278,7531847,14580192
279,7584554,14632421
280,7636584,14685066
281,7688857,14737253
282,7741472,14789226
283,7793598,14841762
284,7845536,14893961
285,7898731,14945829
286,7951542,14997941
287,8002723,15049938
288,8056571,15101909
289,8108159,15154113
290,8160752,15206931
291,8213056,15260174
292,8266527,15312542
293,8317415,15365353
294,8370041,15417592
295,8422716,15470391
296,8474713,15522378
297,8524437,15574276
298,8574507,15625916
299,8625762,15678267
300,8676813,15731083
301,8727586,15783246
302,8778776,15835289
303,8831887,15888086
304,8895216,15940241
305,8934954,15992914
306,8986936,16044891
307,9038611,16097658
308,9093678,16149685
309,9143900,16201846
310,9197206,16254179
311,9247901,16307098
312,9299836,16359330
313,9351513,16411533
314,9403703,16464346
315,9456672,16516272
316,9507484,16568320
317,9560844,16620582
318,9612197,16672489
319,9664211,16725347
320,9714773,16777223
321,9768060,16829300
322,9820560,16882080
323,9873225,16934224
324,9925549,16986263
325,9977428,17039058
326,10029227,17092006
327,10082275,17144504
328,10135563,17196809
329,10187230,17248887
330,10239432,17301061
331,10291633,17352516
332,10344993,17403957
333,10397625,17456596
334,10450542,17509497
335,10504352,17561350
336,10555646,17613560
337,10607452,17666448
338,10659081,17718513
339,10711103,17771288
340,10763029,17823646
341,10815897,17876194
342,10868036,17928580
343,10920107,17981198
344,10972782,18033076
345,11025088,18085111
346,11077811,18137245
347,11130020,18189206
348,11182559,18241903
349,11235011,18294043
350,11287247,18345930
351,11338788,18397908
352,11390528,18449916
353,11442547,18501893
354,11494462,18554046
355,11546608,18607017
356,11600008,18659505
357,11654114,18711687
358,11705801,18764330
359,11758162,18816504
360,11810357,18868487
361,11863243,18920322
362,11915139,18972476
363,11966483,19025179
364,12018074,19077171
365,12071549,19129269
366,12123876,19181993
367,12176180,19234077
368,12227759,19286069
369,12280859,19338235
370,12333394,19390784
371,12386177,19442933
372,12438647,19495043
373,12490337,19547863
374,12542488,19599992
375,12594557,19652054
376,12646988,19705006
377,12700047,19757492
378,12752533,19809576
379,12804564,19862297
380,12856935,19914307
381,12909157,19966478
382,12961639,20018529
383,13013280,20070455
384,13065053,20122329
385,13118044,20174272
386,13170295,20226228
387,13221740,20278614
388,13274550,20329861
389,13326832,20381139
390,13379431,20433254
391,13431414,20485783
392,13484559,20538032
393,13537327,20590064
394,13589395,20642653
395,13641495,20694725
396,13690921,20746637
397,13742185,20798758
398,13796579,20850763
399,13849543,20902757
400,13902991,20954805
401,13954397,21007028
402,14006631,21059424
403,14059178,21112332
404,14111119,21164335
405,14164016,21216515
406,14216412,21269334
407,14269250,21321295
408,14321034,21373272
409,14373759,21425179
410,14426242,21477167
411,14477100,21529050
412,14529886,21580921
413,14581547,21633436
414,14635154,21685977
415,14686971,21738082
416,14739157,21790742
417,14790448,21842760
418,14842340,21894961
419,14894469,21947004
420,14946841,21999946
421,14999537,22052837
422,15051999,22104846
423,15104774,22156973
424,15157004,22209429
425,15209159,22261420
426,15261003,22313424
427,15313282,22365396
428,15365231,22417324
429,15417673,22469376
430,15469817,22521434
431,15521830,22574081
432,15575139,22626129
433,15627124,22678093
434,15679620,22730963
435,15731602,22783125
436,15783139,22835163
437,15835424,22887118
438,15887520,22939400
439,15940547,22991684
440,15992731,23043682
441,16044380,23095963
442,16098475,23148735
443,16149905,23201057
444,16202228,23253837
445,16255725,23306727
446,16307808,23359353
447,16359127,23411528
448,16410987,23464331
449,16462826,23516349
450,16514936,23568448
451,16567586,23621301
452,16618835,23674005
453,16668602,23726112
454,16719500,23778133
455,16774339,23830279
456,16825793,23883059
457,16878983,23935141
458,16931209,23987111
459,16982389,24039346
460,17035261,24091853
461,17087355,24143710
462,17139560,24195853
463,17191058,24247717
464,17243298,24299864
465,17295057,24352743
466,17346746,24404839
467,17400801,24457327
468,17452223,24509310
469,17504874,24561361
470,17557639,24613287
471,17609515,24665368
472,17661826,24717365
473,17713836,24769377
474,17765671,24821335
475,17817658,24874047
476,17869922,24926144
477,17921395,24978147
478,17973266,25030144
479,18025997,25082233
480,18078518,25134151
481,18130417,25185970
482,18183041,25238150
483,18235104,25290627
484,18287499,25342686
485,18339373,25394585
486,18392254,25447330
487,18445163,25499511
488,18497898,25551666
489,18549903,25603932
490,18601874,25656476
491,18654151,25709493
492,18706061,25761366
493,18758022,25813235
494,18809614,25865282
495,18861785,25917251
496,18913847,25969289
497,18966521,26021264
498,19018719,26073351
499,19070413,26126032
500,19123763,26177995
501,19175933,26230120
502,19227521,26282091
503,19279681,26334850
504,19332138,26387011
505,19384006,26439244
506,19436034,26491744
507,19488443,26544561
508,19541272,26596768
509,19593402,26648703
510,19646195,26700497
511,19699191,26752591
512,19751850,26804792
513,19804145,26857375
514,19856576,26909482
515,19908738,26962341
516,19960953,27014324
517,20013646,27066247
518,20066302,27118253
519,20118716,27170355
520,20170647,27222237
521,20222660,27274823
522,20275765,27327260
523,20327424,27380172
524,20379453,27432183
525,20431640,27485208
526,20484792,27537114
527,20535978,27588960
528,20588189,27641513
529,20639946,27693718
530,20692180,27745747
531,20744976,27797754
532,20797592,27849645
533,20849806,27901812
534,20901651,27954588
535,20953450,28007451
536,21005950,28060286
537,21058016,28112448
538,21110514,28165303
539,21161648,28217337
540,21213646,28269363
541,21266357,28322337
542,21318683,28375054
543,21370502,28427077
544,21422424,28479112
545,21474755,28531083
546,21526565,28583041
547,21578451,28635109
548,21630451,28688059
549,21683068,28740543
550,21735038,28792701
551,21787882,28844761
552,21839683,28896763
553,21891619,28949553
554,21944021,29001790
555,21996289,29053855
556,22049116,29105766
557,22102418,29158251
558,22154564,29210614
559,22206331,29263391
560,22257937,29315547
561,22309668,29368413
562,22361963,29421379
563,22414314,29474058
564,22465978,29526011
565,22518495,29578014
566,22570469,29630225
567,22623121,29682201
568,22674533,29734090
569,22726762,29787117
570,22779795,29839077
571,22832213,29891660
572,22884232,29943910
573,22937000,29996581
574,22989268,30048733
575,23041059,30100753
576,23093146,30152590
577,23145276,30204804
578,23197298,30256817
579,23249870,30308967
580,23302219,30361248
581,23354744,30413561
582,23406737,30466254
583,23458720,30518451
584,23510737,30570329
585,23562964,30622481
586,23614953,30675041
587,23667154,30727079
588,23719637,30779176
589,23773034,30831112
590,23824996,30883216
591,23877509,30935267
592,23929654,30988068
593,23982441,31040781
594,24033840,31092690
595,24086028,31144777
596,24138475,31196704
597,24190334,31248610
598,24242242,31300747
599,24294437,31352755
600,24347550,31404715
601,24400202,31457283
602,24452933,31509514
603,24504906,31562205
604,24557668,31614429
605,24609735,31667173
606,24661717,31719545
607,24714826,31772393
608,24767434,31824942
609,24819585,31877145
610,24871534,31929067
611,24924312,31981144
612,24975864,32033963
613,25027382,32085943
614,25080807,32138102
615,25133386,32190614
616,25185015,32243584
617,25237038,32295750
618,25289432,32347938
619,25341840,32400713
620,25394468,32452738
621,25446426,32504920
622,25498397,32557239
623,25550775,32609254
624,25603688,32661118
625,25655833,32713283
626,25707741,32765129
627,25760655,32817051
628,25813667,32869312
629,25866510,32922216
630,25918153,32974205
631,25970268,33026192
632,26022394,33078001
633,26074808,33130058
634,26126969,33182065
635,26179630,33234086
636,26231546,33286178
637,26284835,33338056
638,26336089,33390970
639,26389125,33443737
640,26441258,33496725
641,26493105,33548774
642,26545063,33600886
643,26597190,33653478
644,26649491,33705831
645,26701082,33758402
646,26753358,33810310
647,26806569,33862414
648,26858374,33915173
649,26910670,33967121
650,26962416,34019563
651,27014923,34072256
652,27067523,34125080
653,27119484,34176949
654,27171718,34228997
655,27223404,34281098
656,27275534,34333008
657,27327881,34384948
658,27380600,34437198
659,27433146,34489939
660,27485291,34542926
661,27537367,34595739
662,27588956,34647773
663,27640867,34700436
664,27693423,34752715
665,27745377,34804705
666,27797204,34856506
667,27851583,34908359
668,27902084,34960312
669,27954488,35013080
670,28007075,35065147
671,28059537,35117339
672,28112180,35170100
673,28164984,35222441
674,28218168,35275040
675,28269530,35327097
676,28321588,35379026
677,28373675,35431806
678,28426711,35483915
679,28478273,35535938
680,28530617,35588034
681,28583910,35640762
682,28636200,35692651
683,28688188,35745458
684,28740683,35797555
685,28793256,35849648
686,28845278,35901694
687,28897693,35954570
688,28950209,36007335
689,29001951,36060270
690,29053996,36112349
691,29106188,36165098
692,29157680,36217411
693,29209730,36269331
694,29261696,36322359
695,29314763,36375102
696,29366541,36427103
697,29419048,36480033
698,29470635,36532044
699,29522977,36584119
700,29574633,36636803
701,29627383,36689000
702,29678815,36741626
703,29730943,36793685
704,29783500,36845689
705,29837160,36897646
706,29889419,36950478
707,29941113,37002608
708,29993572,37054689
709,30046192,37107216
710,30098478,37160058
711,30150823,37212477
712,30202934,37265096
713,30255382,37317191
714,30307697,37369246
715,30359578,37421051
716,30412043,37471692
717,30464883,37522643
718,30517596,37573735
719,30569736,37626004
720,30621842,37678006
721,30673661,37730759
722,30725702,37782936
723,30777258,37834984
724,30829958,37886957
725,30882274,37939037
726,30935397,37991526
727,30988715,38043534
728,31040548,38095584
729,31092838,38147734
